start_yardline_bucket,td_prob,fg_prob,punt_prob,turnover_prob,downs_prob,end_half_prob,total_drives
opp_10,,,,,,,0
opp_20,0.0,0.3333333333333333,0.6666666666666666,0.0,0.0,0.0,3
opp_35,0.009521477750644417,0.15975635090218424,0.35316379222629224,0.10250199260615926,0.05649017263600596,0.31856621387871387,10132
midfield,0.0,0.285,0.16166666666666668,0.08166666666666667,0.05333333333333333,0.41833333333333333,165
own_35,0.007154882154882154,0.18695286195286195,0.3593434343434343,0.08232323232323233,0.04259259259259259,0.3216329966329966,667
own_20,0.012349914236706689,0.1453892019929756,0.41649922404639383,0.09799885648942253,0.046283590623213265,0.28147921261128805,2073
own_10,0.017646520146520146,0.09626831501831502,0.4852014652014652,0.10492673992673993,0.03469780219780219,0.26125915750915746,1816
