posteam,season,week,punt_net_yards,field_goal_make_pct,kick_return_avg,punt_return_avg
BAL,2022,3,16.833332,1.0,5.0,27.5
BAL,2022,4,50.666668,1.0,8.0,0.0
BAL,2022,5,38.5,1.0,3.75,1.0
BAL,2022,6,44.5,0.6666666666666666,0.0,3.0
BAL,2022,7,45.0,1.0,0.0,15.333333
BAL,2022,8,47.1,0.6666666666666666,14.4,5.4
BAL,2022,9,48.25,1.0,3.0,0.0
BAL,2022,11,35.02381,1.0,0.0,0.8333333
BAL,2022,12,53.0,0.8,5.8333335,0.0
BAL,2022,13,50.07143,1.0,15.5,0.42857143
BAL,2022,14,38.333332,1.0,19.333334,3.0
BAL,2022,15,38.666668,0.3333333333333333,10.25,2.3333333
BAL,2022,16,33.666664,0.75,21.666666,4.6666665
BAL,2022,17,43.75,1.0,16.6,1.0
BAL,2022,18,44.52381,1.0,8.5,1.1428572
BAL,2022,19,38.666664,1.0,13.0,8.666667
BAL,2023,1,49.8,1.0,6.0,0.0
BAL,2023,2,57.833332,0.6666666666666666,0.0,0.6666667
BAL,2023,3,40.57143,0.5,2.857143,6.428571
BAL,2023,4,41.839287,0.8725490196078431,22.0,5.875
BAL,2023,5,28.633333,1.0,0.0,2.1666667
BAL,2023,6,30.466667,1.0,10.25,18.2
BAL,2023,7,56.0,1.0,0.0,0.0
BAL,2023,8,40.65,0.5,0.0,7.75
BAL,2023,9,52.642857,1.0,0.0,3.857143
BAL,2023,10,47.666668,0.5,4.285714,6.0
BAL,2023,11,44.5,1.0,0.0,1.0
BAL,2023,12,39.333332,0.6666666666666666,0.0,1.0
BAL,2023,14,29.583334,1.0,2.625,18.166666
BAL,2023,15,42.0,1.0,0.0,1.0
BAL,2023,16,31.833332,1.0,11.0,11.5
BAL,2023,17,33.5,0.8725490196078431,20.2,2.0
BAL,2023,18,53.857143,1.0,0.0,0.0
BAL,2023,20,40.05,1.0,17.666666,2.2
BAL,2023,21,46.7,1.0,0.0,3.5
BAL,2024,1,36.5,0.6666666666666666,0.0,1.0
BAL,2024,2,38.25,0.75,6.571429,5.0
BAL,2024,3,35.5,0.0,12.75,7.25
BAL,2024,4,38.583332,0.7678571428571429,0.0,5.6666665
BAL,2024,5,53.8,1.0,3.142857,2.2
BAL,2024,6,48.666668,1.0,17.333334,1.3333334
BAL,2024,7,43.5,1.0,18.0,0.0
BAL,2024,8,48.916668,0.5,19.142857,3.3333333
BAL,2024,9,38.5,1.0,10.0,10.5
BAL,2024,10,46.2,0.7678571428571429,6.0,0.0
BAL,2024,11,52.0,0.3333333333333333,15.571428,2.25
BAL,2024,12,54.333332,1.0,0.0,0.0
BAL,2024,13,45.083332,0.5,12.4,2.6666667
BAL,2024,15,38.666668,0.7678571428571429,27.0,7.3333335
BAL,2024,16,31.8,1.0,0.0,3.2
BAL,2024,17,40.083332,1.0,23.0,1.1666666
BAL,2024,18,41.55,0.7678571428571429,15.666667,3.2
BAL,2024,19,44.95,0.7678571428571429,0.0,0.8
BAL,2025,1,49.166668,1.0,23.857143,1.5
BAL,2025,2,47.2,1.0,19.75,4.6
BAL,2025,3,42.0,1.0,15.0,10.333333
BAL,2025,4,50.0,1.0,20.5,0.0
BAL,2025,5,29.5,0.5,20.666666,16.0
BAL,2025,6,35.5,1.0,15.25,17.5
BAL,2025,8,47.5,1.0,30.8,0.0
BUF,2022,2,41.5,1.0,0.0,6.8333335
BUF,2022,3,23.0,0.5,3.4,8.0
BUF,2022,4,43.0,1.0,9.2,2.3333333
BUF,2022,5,55.0,0.5,18.0,0.0
BUF,2022,6,52.0,1.0,6.5,2.0
BUF,2022,8,28.0,1.0,18.0,8.5
BUF,2022,9,49.5,0.5,0.0,6.0
BUF,2022,10,42.333336,1.0,22.428572,8.333333
BUF,2022,11,37.166668,1.0,19.0,12.333333
BUF,2022,12,49.25,1.0,4.3333335,0.0
