season,week,team,qb_name,attempts,completions,comp_pct,yards,ypa,tds,ints,epa,cpoe,pressure_comp_pct,pressure_ypa,pressure_epa,clean_comp_pct,clean_ypa,clean_epa
2024,1,PIT,J.Fields,25,17.0,0.68,156.0,6.24,0.0,0.0,-0.05409105,4.855539,0.5,12.25,-0.18392372131347656,0.7142857142857143,5.095238095238095,-0.029361
2024,1,SEA,G.Smith,28,18.0,0.6428571428571429,171.0,6.107142857142857,1.0,1.0,-0.20498917,5.264541,0.2857142857142857,5.571428571428571,-1.069312334060669,0.7619047619047619,6.285714285714286,0.08311861
2024,1,SF,B.Purdy,31,19.0,0.6129032258064516,231.0,7.451612903225806,0.0,0.0,0.20972256,1.2239478,0.0,0.0,-1.3656139373779297,0.6785714285714286,8.25,0.3785086
2024,1,TB,B.Mayfield,31,24.0,0.7741935483870968,289.0,9.32258064516129,4.0,0.0,0.66425043,12.676063,0.5,7.75,0.05773979425430298,0.8148148148148148,9.555555555555555,0.7541039
2024,1,TEN,W.Levis,35,19.0,0.5428571428571428,127.0,3.6285714285714286,1.0,2.0,-0.5191766,4.8812213,0.3,4.5,-1.2844200134277344,0.64,3.28,-0.21307912
2024,1,WAS,J.Daniels,27,17.0,0.6296296296296297,184.0,6.814814814814815,0.0,0.0,-0.064402945,-3.1831493,0.0,0.0,-1.9648945331573486,0.68,7.36,0.0876364
2024,2,ARI,K.Murray,22,17.0,0.7727272727272727,266.0,12.090909090909092,3.0,0.0,0.82277673,17.547062,0.0,0.0,-1.7730027437210083,0.8095238095238095,12.666666666666666,0.94638526
2024,2,ATL,K.Cousins,31,20.0,0.6451612903225806,241.0,7.774193548387097,2.0,0.0,0.29300326,2.9128385,0.5,6.0,-0.0388447642326355,0.6551724137931034,7.896551724137931,0.31588936
2024,2,BAL,L.Jackson,36,21.0,0.5833333333333334,247.0,6.861111111111111,1.0,1.0,0.026488937,-0.5573772,0.0,0.0,-1.2904928922653198,0.6176470588235294,7.264705882352941,0.10395845
2024,2,BUF,J.Allen,19,13.0,0.6842105263157895,139.0,7.315789473684211,1.0,0.0,0.58691645,4.1978736,0.0,0.0,0.0,0.6842105263157895,7.315789473684211,0.58691645
