posteam,season,red_zone_trips_per_game,red_zone_td_pct,red_zone_fg_pct
ARI,2022,3.0588235294117645,0.6225490196078431,1.0
ARI,2023,3.5,0.6498511904761904,1.0
ARI,2024,4.0588235294117645,0.611764705882353,1.0
ARI,2025,4.0,0.5476190476190476,1.0
ATL,2022,3.588235294117647,0.6127450980392156,1.0
ATL,2023,3.3529411764705883,0.5392156862745098,1.0
ATL,2024,3.7058823529411766,0.5637254901960784,1.0
ATL,2025,3.857142857142857,0.5547619047619048,1.0
BAL,2022,3.9444444444444446,0.4824074074074074,1.0
BAL,2023,4.631578947368421,0.6508771929824562,1.0
BAL,2024,4.7894736842105265,0.7805764411027569,1.0
BAL,2025,4.5,0.6059523809523809,1.0
BUF,2022,5.166666666666667,0.6193783068783069,1.0
BUF,2023,4.473684210526316,0.7002506265664161,1.0
BUF,2024,4.9,0.7536904761904761,1.0
BUF,2025,4.875,0.7392857142857143,1.0
CAR,2022,3.1176470588235294,0.5941176470588235,1.0
CAR,2023,2.7333333333333334,0.4611111111111111,1.0
CAR,2024,3.588235294117647,0.6357142857142857,1.0
CAR,2025,3.3333333333333335,0.6055555555555555,1.0
CHI,2022,3.588235294117647,0.6137254901960785,1.0
CHI,2023,3.3529411764705883,0.6140056022408964,1.0
CHI,2024,2.764705882352941,0.6039215686274509,1.0
CHI,2025,4.5,0.6395833333333334,1.0
CIN,2022,4.2105263157894735,0.7330827067669173,1.0
CIN,2023,3.75,0.6458333333333334,1.0
CIN,2024,4.588235294117647,0.700280112044818,1.0
CIN,2025,3.7777777777777777,0.7238095238095238,1.0
CLE,2022,3.823529411764706,0.5607843137254902,1.0
CLE,2023,3.611111111111111,0.6387566137566137,1.0
CLE,2024,2.9411764705882355,0.5617647058823529,1.0
CLE,2025,2.875,0.5520833333333333,1.0
DAL,2022,4.277777777777778,0.7416666666666667,1.0
DAL,2023,4.888888888888889,0.6086640211640212,1.0
DAL,2024,3.5294117647058822,0.5284313725490195,1.0
DAL,2025,4.75,0.6979166666666666,1.0
DEN,2022,2.9375,0.6458333333333334,1.0
DEN,2023,3.9411764705882355,0.596078431372549,1.0
DEN,2024,3.8333333333333335,0.6509259259259259,1.0
DEN,2025,4.0,0.7174603174603175,1.0
DET,2022,4.529411764705882,0.6331932773109243,1.0
DET,2023,4.95,0.6923214285714285,1.0
DET,2024,5.388888888888889,0.7504629629629629,1.0
DET,2025,4.875,0.7260416666666667,1.0
GB,2022,4.0588235294117645,0.5843137254901961,1.0
GB,2023,4.526315789473684,0.5789473684210527,1.0
GB,2024,4.611111111111111,0.6284391534391535,1.0
GB,2025,4.5,0.63125,1.0
HOU,2022,3.176470588235294,0.526470588235294,1.0
HOU,2023,4.111111111111111,0.6123015873015873,1.0
HOU,2024,3.8421052631578947,0.5192982456140351,1.0
HOU,2025,3.875,0.4226190476190476,1.0
IND,2022,3.0588235294117645,0.446078431372549,1.0
IND,2023,3.8823529411764706,0.5794117647058823,1.0
IND,2024,4.1875,0.5604166666666667,1.0
IND,2025,5.0,0.7592592592592592,1.0
JAX,2022,4.052631578947368,0.6098997493734336,1.0
JAX,2023,4.0,0.5578431372549019,1.0
JAX,2024,3.1176470588235294,0.6235294117647059,1.0
JAX,2025,3.875,0.6145833333333333,1.0
KC,2022,4.6,0.7354761904761904,1.0
KC,2023,4.238095238095238,0.5071428571428571,1.0
KC,2024,4.578947368421052,0.5966165413533835,1.0
KC,2025,4.666666666666667,0.6931216931216931,1.0
LA,2022,3.0,0.6107843137254901,1.0
LA,2023,4.235294117647059,0.6607843137254902,1.0
LA,2024,4.157894736842105,0.4903508771929824,1.0
LA,2025,5.0,0.6526785714285714,1.0
LAC,2022,4.277777777777778,0.5824074074074074,1.0
LAC,2023,3.4705882352941178,0.5696078431372549,1.0
LAC,2024,3.6666666666666665,0.5798941798941799,1.0
LAC,2025,4.444444444444445,0.5669312169312168,1.0
LV,2022,3.764705882352941,0.6029411764705882,1.0
LV,2023,3.3529411764705883,0.5554621848739496,1.0
LV,2024,3.235294117647059,0.6049019607843137,1.0
LV,2025,3.7142857142857144,0.5428571428571428,1.0
MIA,2022,3.7222222222222223,0.6600529100529101,1.0
MIA,2023,4.444444444444445,0.7361111111111112,1.0
MIA,2024,3.5294117647058822,0.5696078431372549,1.0
MIA,2025,3.3333333333333335,0.6203703703703703,1.0
MIN,2022,4.333333333333333,0.6425925925925926,1.0
MIN,2023,3.764705882352941,0.5941176470588235,1.0
MIN,2024,4.222222222222222,0.6333333333333333,1.0
MIN,2025,3.625,0.6020833333333333,1.0
NE,2022,3.3529411764705883,0.5694677871148459,1.0
NE,2023,2.8666666666666667,0.5911111111111111,1.0
NE,2024,3.411764705882353,0.5401960784313725,1.0
NE,2025,4.555555555555555,0.6398148148148147,1.0
NO,2022,3.6470588235294117,0.5803921568627451,1.0
NO,2023,4.0588235294117645,0.6049019607843137,1.0
NO,2024,3.6875,0.5785714285714285,1.0
NO,2025,3.111111111111111,0.4388888888888889,1.0
NYG,2022,3.263157894736842,0.7342105263157894,1.0
NYG,2023,3.125,0.6125,1.0
NYG,2024,3.2941176470588234,0.49649859943977587,1.0
NYG,2025,4.333333333333333,0.6000000000000001,1.0
NYJ,2022,3.3529411764705883,0.399859943977591,1.0
NYJ,2023,3.0,0.4276785714285714,1.0
NYJ,2024,3.823529411764706,0.607843137254902,1.0
NYJ,2025,3.125,0.5375,1.0
PHI,2022,4.85,0.7366666666666666,1.0
PHI,2023,4.166666666666667,0.6251322751322751,1.0
