posteam,season,punt_net_yards,field_goal_make_pct,kick_return_avg,punt_return_avg
NO,2023,36.986134,0.8055555555555556,7.752241,5.739216
NO,2024,38.40761,0.8809523809523809,11.456606,5.0362744
NO,2025,36.916664,0.625,19.16379,5.6145835
NYG,2022,43.319424,0.9388888888888889,6.9267755,2.3114033
NYG,2023,41.852066,0.7447916666666667,2.7235293,4.0367203
NYG,2024,41.289497,0.7692307692307692,11.154482,3.3338542
NYG,2025,38.785416,1.0,22.11637,4.304167
NYJ,2022,44.03866,0.8235294117647058,8.3450985,2.9149861
NYJ,2023,44.903786,0.9226190476190477,6.6105742,3.8524027
NYJ,2024,42.78341,0.7115384615384616,9.864332,3.7877448
NYJ,2025,41.054466,1.0,25.835714,5.18125
PHI,2022,39.271053,0.8823529411764707,9.225238,4.0175
PHI,2023,41.75728,0.9166666666666666,2.9633598,6.7911763
PHI,2024,42.816704,0.743859649122807,14.018934,3.7403789
PHI,2025,50.652084,0.7857142857142857,20.32232,2.0074406
PIT,2022,42.013725,0.7843137254901961,5.6273108,2.3794117
PIT,2023,41.041466,0.9375,6.228836,2.859017
PIT,2024,40.75238,0.9427083333333334,6.3738093,3.8513227
PIT,2025,42.80952,0.875,20.140137,3.7857144
SEA,2022,47.42983,0.953921568627451,9.612477,1.4537038
SEA,2023,44.972767,0.8186274509803921,7.882773,4.729167
SEA,2024,46.938377,0.8541666666666666,12.008403,2.5161066
SEA,2025,40.31888,0.7023809523809524,24.014286,6.99949
SF,2022,38.71595,0.8480392156862745,9.523334,4.662262
SF,2023,44.95,0.8125,5.9700003,3.5025
SF,2024,39.618305,0.7843137254901961,9.516527,4.651042
SF,2025,41.716667,0.9047619047619048,18.241667,3.4312499
TB,2022,45.053265,0.7872549019607843,7.441865,4.3581567
TB,2023,46.407017,0.9166666666666667,3.8973687,3.8679826
TB,2024,41.20784,0.9562499999999999,9.267857,2.5156863
TB,2025,38.833035,0.7291666666666667,20.29375,5.7190475
TEN,2022,49.963867,0.8263888888888888,10.106863,3.215686
TEN,2023,44.335716,0.9761904761904762,4.6630254,5.030392
TEN,2024,46.81863,0.8928571428571429,11.818113,3.398039
TEN,2025,43.880505,0.6875,21.6875,3.0997024
WAS,2022,42.57794,0.8910256410256411,11.980323,3.8301823
WAS,2023,40.50245,0.811111111111111,6.2313027,4.5963545
WAS,2024,43.377033,0.8096491228070175,12.103611,4.4223056
WAS,2025,39.55625,0.7,23.736904,6.8541665
