posteam,season,week,start_yardline_bucket,downs_prob,end_half_prob,fg_prob,punt_prob,td_prob,turnover_prob,total_drives
ARI,2024,6,opp_35,0.0,0.14285714285714285,0.14285714285714285,0.42857142857142855,0.0,0.2857142857142857,7
ARI,2024,7,opp_35,0.0,0.4,0.2,0.2,0.0,0.2,5
ARI,2024,7,own_20,0.0,0.0,0.0,1.0,0.0,0.0,3
ARI,2024,8,opp_35,0.0,0.5,0.16666666666666666,0.3333333333333333,0.0,0.0,6
ARI,2024,9,opp_35,0.0,0.5,0.0,0.25,0.0,0.25,4
ARI,2024,10,opp_35,0.0,1.0,0.0,0.0,0.0,0.0,3
ARI,2024,10,own_10,0.0,0.6666666666666666,0.0,0.3333333333333333,0.0,0.0,3
ARI,2024,12,opp_35,0.0,0.25,0.0,0.75,0.0,0.0,4
ARI,2024,12,own_10,0.0,0.0,0.0,0.6666666666666666,0.3333333333333333,0.0,3
ARI,2024,13,opp_35,0.0,0.0,0.5,0.16666666666666666,0.0,0.3333333333333333,6
ARI,2024,14,opp_35,0.0,0.42857142857142855,0.14285714285714285,0.14285714285714285,0.0,0.2857142857142857,7
ARI,2024,14,own_10,0.0,0.5,0.0,0.5,0.0,0.0,4
ARI,2024,15,opp_35,0.0,0.5,0.5,0.0,0.0,0.0,4
ARI,2024,16,opp_35,0.0,0.3333333333333333,0.3333333333333333,0.16666666666666666,0.0,0.16666666666666666,6
ARI,2024,16,own_20,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,0.0,3
ARI,2024,17,opp_35,0.0,0.5,0.0,0.25,0.0,0.25,4
ARI,2024,17,own_10,0.2,0.0,0.2,0.6,0.0,0.0,5
ARI,2024,18,opp_35,0.0,0.4,0.2,0.4,0.0,0.0,5
ARI,2024,18,midfield,0.0,1.0,0.0,0.0,0.0,0.0,3
ARI,2025,1,opp_35,0.0,0.5,0.0,0.5,0.0,0.0,4
ARI,2025,2,opp_35,0.2,0.2,0.0,0.4,0.0,0.2,5
ARI,2025,3,opp_35,0.0,0.75,0.0,0.25,0.0,0.0,4
ARI,2025,3,own_10,0.0,0.0,0.3333333333333333,0.6666666666666666,0.0,0.0,3
ARI,2025,4,opp_35,0.0,0.4,0.0,0.6,0.0,0.0,5
ARI,2025,4,own_35,0.0,0.3333333333333333,0.3333333333333333,0.0,0.0,0.3333333333333333,3
ARI,2025,5,opp_35,0.0,0.5,0.0,0.5,0.0,0.0,6
ARI,2025,5,own_10,0.0,0.0,0.0,0.6666666666666666,0.0,0.3333333333333333,3
ARI,2025,6,opp_35,0.14285714285714285,0.2857142857142857,0.2857142857142857,0.14285714285714285,0.0,0.14285714285714285,7
ARI,2025,7,opp_35,0.2,0.2,0.6,0.0,0.0,0.0,5
ARI,2025,7,own_20,0.3333333333333333,0.3333333333333333,0.0,0.0,0.0,0.3333333333333333,3
ATL,2022,1,opp_35,0.0,0.3333333333333333,0.16666666666666666,0.3333333333333333,0.0,0.16666666666666666,6
ATL,2022,1,own_20,0.0,0.3333333333333333,0.0,0.6666666666666666,0.0,0.0,3
ATL,2022,2,opp_35,0.16666666666666666,0.5,0.16666666666666666,0.16666666666666666,0.0,0.0,6
ATL,2022,3,opp_35,0.0,0.3333333333333333,0.3333333333333333,0.16666666666666666,0.0,0.16666666666666666,6
ATL,2022,3,own_10,0.0,0.6666666666666666,0.0,0.0,0.0,0.3333333333333333,3
ATL,2022,4,opp_35,0.0,0.5,0.16666666666666666,0.3333333333333333,0.0,0.0,6
ATL,2022,4,own_10,0.0,0.0,0.6666666666666666,0.0,0.0,0.3333333333333333,3
ATL,2022,5,opp_35,0.0,0.25,0.0,0.75,0.0,0.0,4
ATL,2022,5,own_20,0.0,0.3333333333333333,0.0,0.6666666666666666,0.0,0.0,3
ATL,2022,6,opp_35,0.0,0.6666666666666666,0.0,0.3333333333333333,0.0,0.0,3
ATL,2022,7,opp_35,0.0,0.2857142857142857,0.14285714285714285,0.5714285714285714,0.0,0.0,7
ATL,2022,8,opp_35,0.0,0.25,0.125,0.375,0.0,0.25,8
ATL,2022,9,opp_35,0.0,0.25,0.0,0.75,0.0,0.0,4
ATL,2022,9,own_20,0.0,0.3333333333333333,0.0,0.3333333333333333,0.0,0.3333333333333333,3
ATL,2022,10,opp_35,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.42857142857142855,0.0,0.14285714285714285,7
ATL,2022,11,opp_35,0.0,0.4,0.2,0.2,0.0,0.2,5
ATL,2022,11,own_35,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,0.0,3
ATL,2022,12,opp_35,0.2,0.0,0.4,0.4,0.0,0.0,5
