passer,season,completion_pct_clean,yards_per_att_clean,td_rate_clean,int_rate_clean,sack_rate_clean,scramble_rate_clean,epa_clean,completion_pct_pressure,yards_per_att_pressure,td_rate_pressure,int_rate_pressure,sack_rate_pressure,scramble_rate_pressure,epa_pressure,plays_clean,plays_pressure
A.Brown,2022,0.46153846153846156,7.0256410256410255,0.0,0.02564102564102564,0.0,0.0,-0.16880806,0.14285714285714285,0.2857142857142857,0.14285714285714285,0.14285714285714285,0.5714285714285714,0.0,-1.821226,39.0,7.0
A.Dalton,2022,0.7261904761904762,8.30952380952381,0.027777777777777776,0.04365079365079364,0.0,0.027777777777777776,0.14390253,0.17777777777777778,-1.3761904761904764,0.0,0.0,0.5746031746031746,0.0,-1.1832399,70.0,18.0
A.Dalton,2023,0.5961538461538461,6.5576923076923075,0.038461538461538464,0.0,0.0,0.019230769230769232,0.23965105,0.3,0.3,0.0,0.0,0.3,0.0,-0.6678518,52.0,10.0
A.Dalton,2024,0.64,4.0,0.0,0.04,0.0,0.04,-0.58783704,0.2857142857142857,2.7142857142857144,0.0,0.0,0.42857142857142855,0.0,-0.6912862,25.0,7.0
A.O'Connell,2023,0.601564748946699,5.539156204623075,0.01920088693344507,0.02571576245175566,0.0,0.0,-0.12681891,0.1875,-1.6944444444444446,0.0,0.027777777777777776,0.5291666666666667,0.0,-1.2447195,190.0,37.0
A.O'Connell,2024,0.6216216216216216,6.972972972972973,0.0,0.0,0.0,0.02702702702702703,0.13049784,0.2,0.0,0.0,0.0,0.4,0.0,-0.75813884,37.0,5.0
A.Richardson,2023,0.5945945945945946,5.945945945945946,0.02702702702702703,0.02702702702702703,0.0,0.10810810810810811,-0.039829303,0.25,1.375,0.0,0.0,0.5,0.0,-0.613667,37.0,8.0
A.Richardson,2024,0.4456286825074857,6.412878513474356,0.008928571428571428,0.02332657200811359,0.0,0.060133536173089926,-0.03926362,0.26111111111111107,1.05,0.027777777777777776,0.0,0.29444444444444445,0.0,-0.6889449,115.0,29.0
A.Rodgers,2022,0.6680891736539577,6.744054330682238,0.032709750566893424,0.019830722986869165,0.0,0.021871539313399777,0.032982025,0.2693877551020408,1.1528344671201813,0.028571428571428574,0.04897959183673469,0.40430839002267577,0.0,-0.81823105,229.0,43.0
A.Rodgers,2024,0.6323515611084598,6.2652255524496745,0.03969270343183386,0.030155131881474596,0.0,0.016875522138680033,-0.039561115,0.2445920745920746,0.7169638694638694,0.00909090909090909,0.0,0.4415675990675991,0.0,-0.6070811,325.0,69.0
B.Gabbert,2023,0.4230769230769231,5.538461538461538,0.0,0.0,0.0,0.15384615384615385,-0.1107544,0.4444444444444444,5.333333333333333,0.0,0.1111111111111111,0.1111111111111111,0.0,-0.329306,26.0,9.0
B.Mayfield,2022,0.5809986304694543,6.451068187832654,0.02214061409877036,0.026987552874280563,0.0,0.04585940783636109,-0.005026498,0.08979591836734693,-1.875340136054422,0.0,0.0,0.6176303854875284,0.0,-1.1233962,184.0,46.0
B.Mayfield,2023,0.6394399015415481,7.746769749824481,0.05235783861473964,0.016718570187872123,0.0,0.04619326485359231,0.32749656,0.13896103896103895,-1.354112554112554,0.03636363636363637,0.012987012987012986,0.5844155844155844,0.0,-1.1626775,369.0,69.0
B.Mayfield,2024,0.6436915235302332,8.017274705581157,0.052109982311595214,0.033379823581436485,0.0,0.06114177489177489,0.19702049,0.12412698412698413,-4.211428571428572,0.0,0.06190476190476191,0.7631746031746032,0.0,-1.7745869,158.0,32.0
B.Nix,2024,0.5803571428571429,6.52420634920635,0.030396825396825394,0.028769841269841268,0.0,0.10083333333333333,0.075435534,0.23047619047619045,-0.5860317460317461,0.0,0.02222222222222222,0.3815873015873016,0.0,-1.0262201,171.0,33.0
B.Perkins,2022,0.5652173913043478,5.521739130434782,0.043478260869565216,0.043478260869565216,0.0,0.13043478260869565,0.0636789,0.0,-4.0,0.0,0.16666666666666666,0.5,0.0,-1.7834774,23.0,6.0
B.Purdy,2022,0.69004329004329,7.053102453102454,0.0702020202020202,0.010101010101010102,0.0,0.05714285714285714,0.38265148,0.16984126984126982,-0.04444444444444443,0.0,0.0,0.4984126984126984,0.0,-1.0235635,81.0,18.0
