posteam,season,week,off_yards_per_play,off_yards_per_pass_attempt,def_yards_per_play_allowed,def_yards_per_pass_allowed
ATL,2024,13,4.5454545,5.85,4.3636365,4.4333334
ATL,2024,14,7.0140843,8.894737,8.226415,9.588235
ATL,2024,15,4.5789475,4.5238094,3.890625,4.688889
ATL,2024,16,5.269841,7.172414,4.2545457,4.5
ATL,2024,17,5.616667,5.631579,5.4342103,5.5833335
ATL,2024,18,6.974026,7.875,6.65625,7.5641026
ATL,2025,1,5.1285715,6.617021,4.7454543,5.3783784
ATL,2025,2,5.274194,4.5,4.304348,4.8
ATL,2025,3,5.030303,4.6666665,4.1666665,4.5185184
ATL,2025,4,7.180328,11.142858,5.8039217,5.7
ATL,2025,6,6.830769,6.857143,5.388889,5.852941
ATL,2025,7,4.866667,5.6190476,5.09375,5.642857
ATL,2025,8,4.4583335,5.25,5.2,7.035714
ATL,2025,9,5.3333335,5.9,5.1384616,6.1
BAL,2022,1,5.4117646,6.470588,4.810127,4.790323
BAL,2022,2,8.759259,11.193548,7.927536,9.039216
BAL,2022,3,7.089286,6.2941175,6.984375,8.121951
BAL,2022,4,4.714286,4.868421,5.4666667,5.928571
BAL,2022,5,5.4333334,5.0,4.9322033,5.0
BAL,2022,6,7.0,6.1666665,4.101695,4.96875
BAL,2022,7,4.112903,5.285714,6.0,7.0588236
BAL,2022,8,6.4084506,5.5238094,5.629032,6.510638
BAL,2022,9,4.9076924,5.24,4.9591837,5.6571426
BAL,2022,11,4.753846,5.189189,3.7962964,4.6410255
BAL,2022,12,6.147059,7.7894735,5.387097,6.9069767
BAL,2022,13,4.1911764,4.804348,5.230769,7.8846154
BAL,2022,14,5.5263157,5.173913,6.207547,8.0
BAL,2022,15,5.3114753,3.942857,4.655738,4.90625
BAL,2022,16,6.2040815,6.7777777,4.8088236,5.891892
BAL,2022,17,4.897959,5.7083335,5.1911764,5.275862
BAL,2022,18,5.287671,6.0,4.015625,4.6222224
BAL,2022,19,5.5151515,6.5454545,4.388889,4.85
BAL,2023,1,4.5254235,6.193548,3.774648,4.1538463
BAL,2023,2,6.0289855,6.85,4.9473686,5.139535
BAL,2023,3,5.0555553,5.65,3.892857,3.8367348
BAL,2023,4,5.3818183,6.923077,2.609375,2.2790697
BAL,2023,5,5.0,5.0,4.8688526,5.5135136
BAL,2023,6,5.231884,6.6486487,5.0652175,4.0333333
BAL,2023,7,9.333333,11.454545,4.6164384,4.2881355
BAL,2023,8,4.559322,4.34375,4.3472223,4.7380953
BAL,2023,9,7.1805553,6.7297297,3.3043478,3.878788
BAL,2023,10,6.12,7.4333334,5.0133333,5.0652175
BAL,2023,11,6.75,8.121212,4.6101694,4.4634147
BAL,2023,12,5.4179106,4.8055553,4.2272725,4.7058825
BAL,2023,14,6.366197,7.037037,5.630137,6.409091
BAL,2023,15,5.7391305,5.645161,5.4590163,6.2291665
BAL,2023,16,5.548387,7.179487,6.3088236,6.2156863
BAL,2023,17,9.301887,13.730769,5.597015,5.340909
BAL,2023,18,4.017857,4.0263157,4.7540984,5.826087
BAL,2023,20,5.2537313,6.2,4.652174,5.285714
BAL,2023,21,6.017857,6.173913,4.6,5.6363635
BAL,2024,1,6.108108,6.576923,7.2244897,9.193548
BAL,2024,2,5.8688526,6.9166665,4.423729,5.418605
BAL,2024,3,7.8965516,11.058824,5.7222223,6.4385967
BAL,2024,4,7.9074073,7.8,4.140351,4.5945945
BAL,2024,5,6.855263,7.893617,6.7272725,8.651163
BAL,2024,6,7.714286,10.433333,5.446429,6.547619
BAL,2024,7,9.407408,11.037037,6.126582,7.0555553
BAL,2024,8,6.45,7.243902,5.9850745,7.2954545
BAL,2024,9,7.4905663,12.772727,4.776119,5.571429
BAL,2024,10,6.7586207,8.611111,6.1842103,7.0
BAL,2024,11,6.111111,5.6944447,4.236111,4.487805
BAL,2024,12,6.6271186,7.375,4.75,5.25
BAL,2024,13,5.2394366,6.3636365,4.8846154,5.3333335
BAL,2024,15,7.6896553,10.206897,4.016949,4.525
BAL,2024,16,7.1355934,8.24,5.338983,6.027027
BAL,2024,17,7.0819674,10.6,3.9074075,4.2105265
BAL,2024,18,6.621212,7.0,4.2777777,4.783784
BAL,2024,19,6.642857,7.6,6.3863635,7.1666665
BAL,2024,20,7.1896553,8.606061,4.8245616,5.478261
BAL,2025,1,8.64,9.681818,6.5194807,7.703704
BAL,2025,2,4.92,6.3030305,4.4722223,4.2156863
BAL,2025,3,5.7818184,6.4615383,6.5692306,7.137931
BAL,2025,4,6.792453,5.875,5.6617646,6.585366
BAL,2025,5,5.175,7.7619047,6.546875,8.142858
BAL,2025,6,4.0,3.6923077,4.9591837,5.862069
BAL,2025,8,6.016949,8.28,6.0,7.3170733
BAL,2025,9,6.296296,7.5555553,5.442623,5.857143
BUF,2022,1,7.263158,8.736842,3.6818182,3.9387755
BUF,2022,2,6.6031747,7.6904764,3.528302,4.285714
BUF,2022,3,5.5842695,6.042857,5.4358974,7.7727275
BUF,2022,4,5.4666667,5.928571,4.714286,4.868421
BUF,2022,5,10.882353,12.153846,5.0555553,5.714286
BUF,2022,6,6.4428573,7.6363635,6.344262,7.2340426
BUF,2022,8,6.981132,8.533334,6.3174605,6.090909
BUF,2022,9,5.196721,5.047619,5.1833334,5.3103447
BUF,2022,10,6.75,7.9,6.179487,6.25
BUF,2022,11,5.774194,6.4,5.925373,7.688889
BUF,2022,12,5.418919,5.66,4.8235292,5.8974357
BUF,2022,13,5.279412,6.4054055,4.745098,4.9210525
BUF,2022,14,4.3962264,4.909091,4.232877,4.5686274
BUF,2022,15,6.352113,6.9069767,6.9827585,6.5882354
BUF,2022,16,7.254237,6.6875,3.6034484,4.375
BUF,2022,18,6.0,7.0,5.390625,5.5116277
