posteam,season,down,distance_bucket,score_diff_bucket,time_bucket,pass_count,run_count,total_plays,pass_rate,run_rate
TB,2023,1.0,long,down_1-6,Q2-Q3,11.0,15.0,26,0.4230769230769231,0.5769230769230769
TB,2023,1.0,long,tied,Q1-Q2,30.0,34.0,64,0.46875,0.53125
TB,2023,1.0,long,up_1-6,Q2-Q3,14.0,12.0,26,0.5384615384615384,0.46153846153846156
TB,2023,1.0,long,up_1-6,Q3-Q4,19.0,19.0,38,0.5,0.5
TB,2023,2.0,long,tied,Q1-Q2,17.0,9.0,26,0.6538461538461539,0.34615384615384615
TB,2024,1.0,long,down_7-13,Q2-Q3,19.0,12.0,31,0.6129032258064516,0.3870967741935484
TB,2024,1.0,long,down_7-13,Q3-Q4,13.0,12.0,25,0.52,0.48
TB,2024,1.0,long,down_1-6,Q2-Q3,12.0,10.0,22,0.5454545454545454,0.45454545454545453
TB,2024,1.0,long,down_1-6,Q3-Q4,10.0,23.0,33,0.30303030303030304,0.696969696969697
TB,2024,1.0,long,tied,Q1-Q2,34.0,27.0,61,0.5573770491803278,0.4426229508196721
TB,2024,1.0,long,up_1-6,Q1-Q2,10.0,15.0,25,0.4,0.6
TB,2024,1.0,long,up_1-6,Q2-Q3,10.0,17.0,27,0.37037037037037035,0.6296296296296297
TB,2024,1.0,long,up_14+,Q4_late,2.0,21.0,23,0.08695652173913043,0.9130434782608695
TEN,2022,1.0,long,down_14+,Q4_late,17.0,4.0,21,0.8095238095238095,0.19047619047619047
TEN,2022,1.0,long,down_7-13,Q2-Q3,19.0,12.0,31,0.6129032258064516,0.3870967741935484
TEN,2022,1.0,long,down_1-6,Q2-Q3,5.0,17.0,22,0.22727272727272727,0.7727272727272727
TEN,2022,1.0,long,tied,Q1-Q2,22.0,42.0,64,0.34375,0.65625
TEN,2022,1.0,long,tied,Q2-Q3,16.0,5.0,21,0.7619047619047619,0.23809523809523808
TEN,2022,1.0,long,up_1-6,Q2-Q3,7.0,13.0,20,0.35,0.65
TEN,2022,1.0,long,up_1-6,Q3-Q4,6.0,23.0,29,0.20689655172413793,0.7931034482758621
TEN,2022,1.0,long,up_1-6,Q4_late,3.0,18.0,21,0.14285714285714285,0.8571428571428571
