passer,season,week,completion_pct_clean,completion_pct_pressure,epa_clean,epa_pressure,int_rate_clean,int_rate_pressure,plays_clean,plays_pressure,sack_rate_clean,sack_rate_pressure,scramble_rate_clean,scramble_rate_pressure,td_rate_clean,td_rate_pressure,yards_per_att_clean,yards_per_att_pressure
A.Rodgers,2024,4,0.5526315789473685,0.23076923076923078,-0.101365246,-0.9342275,0.0,0.0,38.0,13.0,0.0,0.38461538461538464,0.10526315789473684,0.0,0.0,0.0,5.368421052631579,-0.15384615384615385
A.Rodgers,2024,5,0.5869565217391305,0.18181818181818182,-0.20334259,-0.6184154,0.06521739130434782,0.0,46.0,11.0,0.0,0.2727272727272727,0.0,0.0,0.043478260869565216,0.09090909090909091,4.934782608695652,-0.8181818181818182
A.Rodgers,2024,6,0.6666666666666666,0.2,0.29556933,0.2806526,0.030303030303030304,0.0,33.0,5.0,0.0,0.6,0.0,0.0,0.06060606060606061,0.0,8.151515151515152,0.6
A.Rodgers,2024,7,0.6060606060606061,0.5,-0.07115215,0.30409276,0.06060606060606061,0.0,33.0,8.0,0.0,0.125,0.0,0.0,0.030303030303030304,0.0,5.818181818181818,9.875
A.Rodgers,2024,8,0.6,0.4,0.23307787,-0.3222416,0.0,0.0,25.0,5.0,0.0,0.2,0.0,0.0,0.08,0.0,7.28,8.4
A.Rodgers,2024,10,0.6363636363636364,0.2,-0.0818174,-1.6386747,0.0,0.0,33.0,5.0,0.0,0.6,0.0,0.0,0.0,0.0,4.393939393939394,-3.4
A.Rodgers,2024,11,0.75,0.2,0.12904611,-0.8830786,0.0,0.0,28.0,5.0,0.0,0.6,0.03571428571428571,0.0,0.07142857142857142,0.0,6.821428571428571,-4.4
A.Rodgers,2024,13,0.5555555555555556,0.16666666666666666,-0.23487234,-0.74768394,0.027777777777777776,0.0,36.0,6.0,0.0,0.3333333333333333,0.027777777777777776,0.0,0.08333333333333333,0.0,5.027777777777778,-0.8333333333333334
A.Rodgers,2024,14,0.7222222222222222,0.16666666666666666,0.43526232,-0.14495759,0.0,0.0,36.0,6.0,0.0,0.5,0.0,0.0,0.027777777777777776,0.0,8.444444444444445,2.5
A.Rodgers,2024,17,0.6470588235294118,0.2,-0.79601705,-1.366277,0.11764705882352941,0.0,17.0,5.0,0.0,0.8,0.0,0.0,0.0,0.0,6.411764705882353,-4.6
B.Gabbert,2023,18,0.4230769230769231,0.4444444444444444,-0.1107544,-0.329306,0.0,0.1111111111111111,26.0,9.0,0.0,0.1111111111111111,0.15384615384615385,0.0,0.0,0.0,5.538461538461538,5.333333333333333
B.Mayfield,2022,3,0.5217391304347826,0.0,0.0022468152,-0.9672431,0.0,0.0,23.0,5.0,0.0,0.6,0.0,0.0,0.043478260869565216,0.0,7.391304347826087,-4.4
B.Mayfield,2022,5,0.5757575757575758,0.14285714285714285,-0.06812014,-1.2256393,0.030303030303030304,0.0,33.0,7.0,0.0,0.5714285714285714,0.0,0.0,0.030303030303030304,0.0,6.393939393939394,-1.7142857142857142
B.Mayfield,2022,11,0.59375,0.2857142857142857,-0.4235614,-0.49298182,0.0625,0.0,32.0,7.0,0.0,0.5714285714285714,0.0625,0.0,0.0,0.0,4.6875,4.428571428571429
B.Mayfield,2022,14,0.6,0.2,0.12740426,-0.52741563,0.0,0.0,35.0,5.0,0.0,0.8,0.05714285714285714,0.0,0.02857142857142857,0.0,6.542857142857143,-1.2
B.Mayfield,2022,15,0.631578947368421,0.0,0.23649569,-1.1318167,0.05263157894736842,0.0,19.0,8.0,0.0,0.625,0.05263157894736842,0.0,0.05263157894736842,0.0,5.894736842105263,-3.375
B.Mayfield,2022,17,0.5789473684210527,0.0,0.03031587,-2.1651645,0.0,0.0,19.0,5.0,0.0,0.6,0.10526315789473684,0.0,0.0,0.0,7.421052631578948,-4.2
B.Mayfield,2022,18,0.5652173913043478,0.0,0.06003342,-1.3535124,0.043478260869565216,0.0,23.0,9.0,0.0,0.5555555555555556,0.043478260869565216,0.0,0.0,0.0,6.826086956521739,-2.6666666666666665
B.Mayfield,2023,3,0.5833333333333334,0.2,0.031837326,-0.59661335,0.041666666666666664,0.0,24.0,5.0,0.0,0.4,0.041666666666666664,0.0,0.041666666666666664,0.0,5.583333333333333,0.6
B.Mayfield,2023,7,0.6923076923076923,0.0,0.13795632,-1.1026689,0.02564102564102564,0.0,39.0,7.0,0.0,0.42857142857142855,0.02564102564102564,0.0,0.02564102564102564,0.0,7.846153846153846,-2.7142857142857144
B.Mayfield,2023,8,0.631578947368421,0.1,0.2218081,-1.01582,0.0,0.0,38.0,10.0,0.0,0.3,0.07894736842105263,0.0,0.05263157894736842,0.0,6.605263157894737,-0.8
B.Mayfield,2023,9,0.6206896551724138,0.6,0.35506573,0.37189698,0.0,0.0,29.0,5.0,0.0,0.4,0.06896551724137931,0.0,0.034482758620689655,0.2,8.448275862068966,2.4
B.Mayfield,2023,10,0.5862068965517241,0.2,0.35712266,-0.21151285,0.034482758620689655,0.0,29.0,5.0,0.0,0.6,0.06896551724137931,0.0,0.034482758620689655,0.2,8.482758620689655,5.6
