posteam,season,start_yardline_bucket,td_prob,fg_prob,punt_prob,turnover_prob,downs_prob,end_half_prob,total_drives
ARI,2022,opp_35,0.0,0.1242296918767507,0.37030812324929974,0.1288515406162465,0.10938375350140056,0.2672268907563025,98
ARI,2022,own_10,0.05555555555555555,0.1111111111111111,0.375,0.20833333333333334,0.05555555555555555,0.19444444444444442,21
ARI,2023,opp_35,0.017156862745098037,0.1688375350140056,0.3554621848739496,0.0723389355742297,0.05952380952380952,0.32668067226890757,99
ARI,2023,own_20,0.0,0.08333333333333333,0.41666666666666663,0.14583333333333331,0.08333333333333333,0.2708333333333333,14
ARI,2024,opp_35,0.00980392156862745,0.18795518207282913,0.24663865546218489,0.1341736694677871,0.020168067226890758,0.40126050420168063,89
ARI,2024,own_10,0.06666666666666667,0.08,0.5399999999999999,0.0,0.08,0.2333333333333333,20
ARI,2025,opp_35,0.0,0.12653061224489795,0.34183673469387754,0.04897959183673469,0.07755102040816328,0.40510204081632656,36
ATL,2022,opp_35,0.0,0.18494397759103642,0.4083333333333333,0.06624649859943978,0.0515406162464986,0.2889355742296919,93
ATL,2023,opp_35,0.0,0.16143790849673204,0.33284313725490194,0.13905228758169935,0.07712418300653595,0.28954248366013075,95
ATL,2023,own_20,0.0,0.15277777777777776,0.5,0.15277777777777776,0.0,0.19444444444444442,20
ATL,2023,own_10,0.05,0.0,0.5,0.21666666666666665,0.03333333333333333,0.2,21
ATL,2024,opp_35,0.01911764705882353,0.18018207282913165,0.23956582633053222,0.13277310924369748,0.02857142857142857,0.3997899159663865,96
ATL,2024,own_10,0.0,0.11666666666666665,0.31333333333333335,0.10666666666666666,0.04,0.42333333333333334,18
ATL,2025,opp_35,0.0,0.13809523809523808,0.2575396825396825,0.075,0.15595238095238095,0.3734126984126984,35
BAL,2022,opp_35,0.0,0.13187830687830687,0.3771164021164021,0.14272486772486773,0.0496031746031746,0.29867724867724865,86
BAL,2022,own_20,0.0,0.21388888888888888,0.2722222222222222,0.15277777777777776,0.05555555555555555,0.3055555555555555,22
BAL,2022,own_10,0.08333333333333333,0.20833333333333331,0.41666666666666663,0.0625,0.0,0.22916666666666666,14
BAL,2023,opp_35,0.009523809523809523,0.2123015873015873,0.34579365079365076,0.0723015873015873,0.02666666666666667,0.3334126984126984,76
BAL,2023,own_35,0.0,0.15277777777777776,0.5,0.13888888888888887,0.041666666666666664,0.16666666666666666,21
BAL,2023,own_20,0.037037037037037035,0.12962962962962962,0.35,0.1388888888888889,0.0,0.3444444444444444,31
BAL,2024,opp_35,0.0,0.10853174603174603,0.27605820105820106,0.05476190476190476,0.05277777777777778,0.5078703703703703,96
BAL,2024,own_20,0.0,0.06666666666666667,0.5,0.18333333333333332,0.0,0.25,16
BAL,2024,own_10,0.0,0.03571428571428571,0.5,0.0,0.0,0.4642857142857143,25
BAL,2025,opp_35,0.0,0.18066893424036282,0.27726757369614513,0.14501133786848072,0.10255102040816326,0.29450113378684806,46
BUF,2022,opp_35,0.0,0.13851851851851854,0.3196825396825397,0.1175925925925926,0.07518518518518519,0.34902116402116407,82
BUF,2022,own_35,0.0,0.0,0.21666666666666667,0.08333333333333333,0.0,0.7,14
BUF,2022,own_20,0.022222222222222223,0.18888888888888888,0.2074074074074074,0.06481481481481481,0.0,0.5166666666666667,32
BUF,2023,opp_35,0.008771929824561403,0.1519423558897243,0.21040100250626567,0.1255639097744361,0.019736842105263157,0.4835839598997494,96
BUF,2023,own_20,0.0,0.07142857142857142,0.3333333333333333,0.08333333333333333,0.03571428571428571,0.47619047619047616,25
