game,bet_type,side,model,probability,edge,conviction,actual_bet,result
LV@NE W1,SPREAD,NE,NEW_2025,0.7692307692307693,24.523076923076925,HIGH,True,LOSS
LV@NE W1,SPREAD,LV,CURRENT,0.3214285714285714,-20.257142857142863,NEGATIVE,False,WIN
LV@NE W1,SPREAD,LV,NEW_2025,0.23076923076923078,-29.323076923076925,NEGATIVE,False,WIN
LV@NE W1,TOTAL,OVER,CURRENT,0.4867549668874172,-3.7245033112582817,NEGATIVE,False,LOSS
LV@NE W1,TOTAL,OVER,NEW_2025,0.5,-2.400000000000002,NEGATIVE,False,LOSS
LV@NE W1,TOTAL,UNDER,CURRENT,0.5132450331125828,-1.0754966887417172,NEGATIVE,False,WIN
LV@NE W1,TOTAL,UNDER,NEW_2025,0.5,-2.400000000000002,NEGATIVE,False,WIN
ARI@NO W1,SPREAD,NO,CURRENT,0.539568345323741,1.5568345323740962,LOW,True,LOSS
ARI@NO W1,SPREAD,NO,NEW_2025,0.6,7.599999999999996,HIGH,True,LOSS
ARI@NO W1,SPREAD,ARI,CURRENT,0.460431654676259,-6.3568345323741005,NEGATIVE,False,WIN
ARI@NO W1,SPREAD,ARI,NEW_2025,0.4,-12.4,NEGATIVE,False,WIN
ARI@NO W1,TOTAL,OVER,CURRENT,0.3837209302325581,-14.027906976744193,NEGATIVE,False,LOSS
ARI@NO W1,TOTAL,OVER,NEW_2025,0.43478260869565216,-8.921739130434785,NEGATIVE,False,LOSS
ARI@NO W1,TOTAL,UNDER,CURRENT,0.6162790697674418,9.227906976744183,HIGH,True,WIN
ARI@NO W1,TOTAL,UNDER,NEW_2025,0.5652173913043478,4.121739130434776,MEDIUM,True,WIN
PIT@NYJ W1,SPREAD,NYJ,CURRENT,0.4973262032085561,-2.6673796791443936,NEGATIVE,False,WIN
PIT@NYJ W1,SPREAD,NYJ,NEW_2025,0.5,-2.400000000000002,NEGATIVE,False,WIN
PIT@NYJ W1,SPREAD,PIT,CURRENT,0.5026737967914439,-2.132620320855616,NEGATIVE,False,LOSS
PIT@NYJ W1,SPREAD,PIT,NEW_2025,0.5,-2.400000000000002,NEGATIVE,False,LOSS
PIT@NYJ W1,TOTAL,OVER,CURRENT,0.4867549668874172,-3.7245033112582817,NEGATIVE,False,WIN
PIT@NYJ W1,TOTAL,OVER,NEW_2025,0.5,-2.400000000000002,NEGATIVE,False,WIN
PIT@NYJ W1,TOTAL,UNDER,CURRENT,0.5132450331125828,-1.0754966887417172,NEGATIVE,False,LOSS
PIT@NYJ W1,TOTAL,UNDER,NEW_2025,0.5,-2.400000000000002,NEGATIVE,False,LOSS
NYG@WAS W1,SPREAD,WAS,CURRENT,0.539568345323741,1.5568345323740962,LOW,True,WIN
NYG@WAS W1,SPREAD,WAS,NEW_2025,0.6,7.599999999999996,HIGH,True,WIN
NYG@WAS W1,SPREAD,NYG,CURRENT,0.460431654676259,-6.3568345323741005,NEGATIVE,False,LOSS
NYG@WAS W1,SPREAD,NYG,NEW_2025,0.4,-12.4,NEGATIVE,False,LOSS
NYG@WAS W1,TOTAL,OVER,CURRENT,0.4434389140271493,-8.056108597285071,NEGATIVE,False,LOSS
NYG@WAS W1,TOTAL,OVER,NEW_2025,0.4576271186440678,-6.637288135593222,NEGATIVE,False,LOSS
NYG@WAS W1,TOTAL,UNDER,CURRENT,0.5565610859728507,3.256108597285068,MEDIUM,True,WIN
