game_id,season,week,gameday,away_team,home_team,away_ol_grade,home_ol_grade,away_dl_grade,home_dl_grade,pressure_edge_away,pressure_edge_home,net_pressure_advantage,spread_line,total_line,away_score,home_score,actual_spread,point_differential,spread_result,total_result
2022_03_NO_CAR,2022,3,2022-09-25,NO,CAR,61.7,72.8,67.0,68.2,-5.799999999999997,6.5,12.299999999999997,-2.0,41.0,14.0,22.0,8.0,8.0,HOME_COVER,UNDER
2022_03_KC_IND,2022,3,2022-09-25,KC,IND,73.6,62.9,75.3,62.5,12.399999999999999,-11.099999999999994,-23.499999999999993,-4.5,51.0,17.0,20.0,3.0,3.0,HOME_COVER,UNDER
2022_03_BUF_MIA,2022,3,2022-09-25,BUF,MIA,64.1,59.2,78.8,80.4,19.599999999999994,16.30000000000001,-3.299999999999983,-4.0,54.0,19.0,21.0,2.0,2.0,HOME_COVER,UNDER
2022_03_DET_MIN,2022,3,2022-09-25,DET,MIN,63.4,66.6,71.2,75.2,4.6000000000000085,11.800000000000004,7.199999999999996,6.5,52.0,24.0,28.0,4.0,4.0,AWAY_COVER,UNDER
2022_03_CIN_NYJ,2022,3,2022-09-25,CIN,NYJ,56.1,59.2,70.8,81.6,11.599999999999994,25.499999999999993,13.899999999999999,-6.5,46.0,27.0,12.0,-15.0,-15.0,AWAY_COVER,UNDER
2022_03_LV_TEN,2022,3,2022-09-25,LV,TEN,73.0,52.4,69.4,71.8,17.000000000000007,-1.2000000000000028,-18.20000000000001,-1.5,45.5,22.0,24.0,2.0,2.0,HOME_COVER,OVER
2022_03_PHI_WAS,2022,3,2022-09-25,PHI,WAS,84.9,61.7,90.1,71.9,28.39999999999999,-13.0,-41.39999999999999,-6.0,47.0,24.0,8.0,-16.0,-16.0,AWAY_COVER,UNDER
2022_03_JAX_LAC,2022,3,2022-09-25,JAX,LAC,72.8,67.0,76.5,68.2,9.5,-4.599999999999994,-14.099999999999994,6.5,46.0,38.0,10.0,-28.0,-28.0,AWAY_COVER,OVER
2022_03_ATL_SEA,2022,3,2022-09-25,ATL,SEA,73.2,64.2,54.1,65.1,-10.100000000000001,-8.100000000000009,1.999999999999993,1.0,43.0,27.0,23.0,-4.0,-4.0,AWAY_COVER,OVER
2022_03_GB_TB,2022,3,2022-09-25,GB,TB,77.6,75.0,71.5,64.3,-3.5,-13.299999999999997,-9.799999999999997,1.0,41.5,14.0,12.0,-2.0,-2.0,AWAY_COVER,UNDER
2022_03_SF_DEN,2022,3,2022-09-25,SF,DEN,74.4,66.9,76.4,66.4,9.5,-8.0,-17.5,-1.0,44.0,10.0,11.0,1.0,1.0,HOME_COVER,UNDER
2022_03_DAL_NYG,2022,3,2022-09-26,DAL,NYG,69.6,62.0,84.5,68.8,22.5,-0.7999999999999972,-23.299999999999997,1.0,38.5,23.0,16.0,-7.0,-7.0,AWAY_COVER,OVER
2022_04_MIA_CIN,2022,4,2022-09-29,MIA,CIN,59.2,56.1,80.4,70.8,24.300000000000004,11.599999999999994,-12.70000000000001,4.0,48.5,15.0,27.0,12.0,12.0,HOME_COVER,UNDER
2022_04_MIN_NO,2022,4,2022-10-02,MIN,NO,66.6,61.7,75.2,67.0,13.5,0.4000000000000057,-13.099999999999994,-4.0,42.0,28.0,25.0,-3.0,-3.0,HOME_COVER,OVER
2022_04_WAS_DAL,2022,4,2022-10-02,WAS,DAL,61.7,69.6,71.9,84.5,2.3000000000000114,22.799999999999997,20.499999999999986,3.0,40.5,10.0,25.0,15.0,15.0,HOME_COVER,UNDER
2022_04_SEA_DET,2022,4,2022-10-02,SEA,DET,64.2,63.4,65.1,71.2,1.6999999999999957,7.0,5.300000000000004,3.0,48.5,48.0,45.0,-3.0,-3.0,AWAY_COVER,OVER
2022_04_TEN_IND,2022,4,2022-10-02,TEN,IND,52.4,62.9,71.8,62.5,8.899999999999999,10.100000000000001,1.2000000000000028,4.5,43.0,24.0,17.0,-7.0,-7.0,AWAY_COVER,UNDER
