game_id,season,week,away,home,ol_pass_stress_away,ol_pass_stress_home,ol_chaos_index_away,ol_chaos_index_home,stress_diff,away_ol_continuity_full,home_ol_continuity_full,away_ol_continuity_count,home_ol_continuity_count,away_center_missing,home_center_missing,away_left_tackle_missing,home_left_tackle_missing,stress_z_score
2022_03_PIT_CLE,2022,3,PIT,CLE,-8.326672684688674e-17,-8.326672684688674e-17,0,1,0.0,1,0,5,4,0,0,0,0,0.01242765424530827
2022_03_NO_CAR,2022,3,NO,CAR,-8.326672684688674e-17,0.0,1,4,-8.326672684688674e-17,0,0,4,2,0,0,0,0,-1.9675356433901883
2022_03_HOU_CHI,2022,3,HOU,CHI,-8.326672684688674e-17,-5.551115123125783e-17,3,0,-2.7755575615628914e-17,0,1,3,5,0,0,0,0,-0.6475601116331906
2022_03_KC_IND,2022,3,KC,IND,-2.7755575615628914e-17,0.0,4,5,-2.7755575615628914e-17,0,0,2,1,0,0,0,0,-0.6475601116331906
2022_03_BUF_MIA,2022,3,BUF,MIA,-8.326672684688674e-17,0.0,1,6,-8.326672684688674e-17,0,0,4,0,0,1,0,0,-1.9675356433901883
2022_03_DET_MIN,2022,3,DET,MIN,-5.551115123125783e-17,-5.551115123125783e-17,0,0,0.0,1,1,5,5,0,0,0,0,0.01242765424530827
2022_03_BAL_NE,2022,3,BAL,NE,0.0,-5.551115123125783e-17,1,0,5.551115123125783e-17,0,1,4,5,0,0,0,0,1.332403186002306
2022_03_CIN_NYJ,2022,3,CIN,NYJ,0.0,0.0,0,3,0.0,1,0,5,3,0,0,0,0,0.01242765424530827
2022_03_LV_TEN,2022,3,LV,TEN,-2.7755575615628914e-17,0.0,3,1,-2.7755575615628914e-17,0,0,1,4,1,0,0,0,-0.6475601116331906
2022_03_PHI_WAS,2022,3,PHI,WAS,-5.551115123125783e-17,-5.551115123125783e-17,0,5,0.0,1,0,5,0,0,1,0,0,0.01242765424530827
2022_03_JAX_LAC,2022,3,JAX,LAC,-4.85722573273506e-17,0.0,0,3,-4.85722573273506e-17,1,0,5,3,0,0,0,0,-1.1425509360420647
2022_03_LA_ARI,2022,3,LA,ARI,0.0,0.0,3,0,0.0,0,1,3,5,1,0,0,0,0.01242765424530827
2022_03_ATL_SEA,2022,3,ATL,SEA,-5.551115123125783e-17,-5.551115123125783e-17,3,3,0.0,0,0,2,2,0,0,0,0,0.01242765424530827
2022_03_GB_TB,2022,3,GB,TB,0.0,0.0,1,5,0.0,0,0,4,1,0,1,0,0,0.01242765424530827
2022_03_SF_DEN,2022,3,SF,DEN,0.0,-5.551115123125783e-17,3,3,5.551115123125783e-17,0,0,3,3,0,0,0,0,1.332403186002306
2022_03_DAL_NYG,2022,3,DAL,NYG,-6.938893903907228e-17,0.0,3,1,-6.938893903907228e-17,0,0,3,3,0,0,0,0,-1.6375417604509388
2022_04_MIA_CIN,2022,4,MIA,CIN,-8.326672684688674e-17,0.0,6,0,-8.326672684688674e-17,0,1,0,5,1,0,0,0,-1.9675356433901883
2022_04_MIN_NO,2022,4,MIN,NO,0.0,0.0,0,4,0.0,1,0,5,2,0,0,0,0,0.01242765424530827
2022_04_CLE_ATL,2022,4,CLE,ATL,0.0,0.0,3,3,0.0,0,0,3,2,0,0,0,0,0.01242765424530827
2022_04_BUF_BAL,2022,4,BUF,BAL,-2.7755575615628914e-17,-2.7755575615628914e-17,1,0,0.0,0,1,3,5,0,0,0,0,0.01242765424530827
2022_04_WAS_DAL,2022,4,WAS,DAL,0.0,-2.7755575615628914e-17,2,1,2.7755575615628914e-17,0,0,2,4,0,0,0,0,0.6724154201238071
2022_04_SEA_DET,2022,4,SEA,DET,-1.3877787807814457e-17,-8.326672684688674e-17,3,1,6.938893903907228e-17,0,0,3,4,0,0,0,0,1.6623970689415553
2022_04_LAC_HOU,2022,4,LAC,HOU,-4.85722573273506e-17,-5.551115123125783e-17,3,0,6.938893903907228e-18,0,1,1,5,0,0,0,0,0.17742459571493296
2022_04_TEN_IND,2022,4,TEN,IND,0.0,-5.551115123125783e-17,3,1,5.551115123125783e-17,0,0,2,4,0,0,0,0,1.332403186002306
2022_04_CHI_NYG,2022,4,CHI,NYG,0.0,-9.71445146547012e-17,2,0,9.71445146547012e-17,0,1,3,5,0,0,0,0,2.322384834820054
2022_04_JAX_PHI,2022,4,JAX,PHI,0.0,0.0,0,4,0.0,1,0,5,1,0,0,0,0,0.01242765424530827
2022_04_NYJ_PIT,2022,4,NYJ,PIT,-2.7755575615628914e-17,0.0,2,0,-2.7755575615628914e-17,0,1,2,5,0,0,0,0,-0.6475601116331906
2022_04_ARI_CAR,2022,4,ARI,CAR,0.0,0.0,4,0,0.0,0,1,1,5,0,0,0,0,0.01242765424530827
2022_04_NE_GB,2022,4,NE,GB,0.0,-4.163336342344337e-17,3,0,4.163336342344337e-17,0,1,3,5,0,0,0,0,1.0024093030630565
2022_04_DEN_LV,2022,4,DEN,LV,-5.551115123125783e-17,0.0,3,3,-5.551115123125783e-17,0,0,3,2,0,0,0,0,-1.3075478775116893
2022_04_KC_TB,2022,4,KC,TB,-5.551115123125783e-17,-4.163336342344337e-17,3,4,-1.3877787807814457e-17,0,0,3,1,0,1,0,0,-0.31756622869394113
2022_04_LA_SF,2022,4,LA,SF,0.0,-1.3877787807814457e-17,3,3,1.3877787807814457e-17,0,0,1,2,1,0,0,0,0.3424215371845577
2022_05_IND_DEN,2022,5,IND,DEN,0.0,0.0,3,3,0.0,0,0,1,3,1,0,0,0,0.01242765424530827
2022_05_NYG_GB,2022,5,NYG,GB,-2.7755575615628914e-17,-8.326672684688674e-17,2,1,5.551115123125783e-17,0,0,3,4,0,0,0,0,1.332403186002306
2022_05_PIT_BUF,2022,5,PIT,BUF,0.0,0.0,0,3,0.0,1,0,5,3,0,0,0,0,0.01242765424530827
2022_05_LAC_CLE,2022,5,LAC,CLE,0.0,-2.7755575615628914e-17,3,3,2.7755575615628914e-17,0,0,3,3,0,0,0,0,0.6724154201238071
2022_05_HOU_JAX,2022,5,HOU,JAX,-8.326672684688674e-17,0.0,0,2,-8.326672684688674e-17,1,0,5,3,0,0,0,0,-1.9675356433901883
2022_05_CHI_MIN,2022,5,CHI,MIN,0.0,0.0,3,0,0.0,0,1,3,5,0,0,0,0,0.01242765424530827
2022_05_DET_NE,2022,5,DET,NE,0.0,0.0,4,3,0.0,0,0,1,3,0,0,0,0,0.01242765424530827
2022_05_SEA_NO,2022,5,SEA,NO,-5.551115123125783e-17,-2.7755575615628914e-17,3,2,-2.7755575615628914e-17,0,0,3,3,0,0,0,0,-0.6475601116331906
2022_05_MIA_NYJ,2022,5,MIA,NYJ,0.0,-2.7755575615628914e-17,1,3,2.7755575615628914e-17,0,0,4,2,1,0,0,0,0.6724154201238071
2022_05_ATL_TB,2022,5,ATL,TB,-5.551115123125783e-17,-2.7755575615628914e-17,0,4,-2.7755575615628914e-17,1,0,5,2,0,0,0,0,-0.6475601116331906
2022_05_TEN_WAS,2022,5,TEN,WAS,0.0,-5.551115123125783e-17,4,1,5.551115123125783e-17,0,0,1,4,0,0,0,0,1.332403186002306
2022_05_SF_CAR,2022,5,SF,CAR,-5.551115123125783e-17,-5.551115123125783e-17,3,3,0.0,0,0,2,3,0,0,0,0,0.01242765424530827
2022_05_PHI_ARI,2022,5,PHI,ARI,-8.326672684688674e-17,-2.7755575615628914e-17,4,2,-5.551115123125783e-17,0,0,1,2,0,1,0,0,-1.3075478775116893
2022_05_DAL_LA,2022,5,DAL,LA,-5.551115123125783e-17,0.0,0,4,-5.551115123125783e-17,1,0,5,1,0,1,0,0,-1.3075478775116893
2022_05_CIN_BAL,2022,5,CIN,BAL,-5.551115123125783e-17,-5.551115123125783e-17,3,1,0.0,0,0,3,4,0,0,0,0,0.01242765424530827
2022_05_LV_KC,2022,5,LV,KC,-2.7755575615628914e-17,-2.7755575615628914e-17,2,3,0.0,0,0,3,2,0,0,0,0,0.01242765424530827
2022_06_WAS_CHI,2022,6,WAS,CHI,-8.326672684688674e-17,-5.551115123125783e-17,3,3,-2.7755575615628914e-17,0,0,2,3,0,0,0,0,-0.6475601116331906
2022_06_SF_ATL,2022,6,SF,ATL,-9.71445146547012e-17,-8.326672684688674e-17,0,0,-1.3877787807814457e-17,1,1,5,5,0,0,0,0,-0.31756622869394113
2022_06_NE_CLE,2022,6,NE,CLE,0.0,-8.326672684688674e-17,4,4,8.326672684688674e-17,0,0,1,1,0,0,0,0,1.9923909518808047
2022_06_NYJ_GB,2022,6,NYJ,GB,-2.7755575615628914e-17,-2.7755575615628914e-17,4,2,0.0,0,0,2,3,0,0,0,0,0.01242765424530827
2022_06_JAX_IND,2022,6,JAX,IND,-5.551115123125783e-17,0.0,3,3,-5.551115123125783e-17,0,0,3,1,0,0,0,0,-1.3075478775116893
2022_06_MIN_MIA,2022,6,MIN,MIA,0.0,-5.551115123125783e-17,3,0,5.551115123125783e-17,0,1,3,5,0,1,0,0,1.332403186002306
2022_06_CIN_NO,2022,6,CIN,NO,0.0,-5.551115123125783e-17,3,3,5.551115123125783e-17,0,0,3,3,0,0,0,0,1.332403186002306
2022_06_BAL_NYG,2022,6,BAL,NYG,0.0,0.0,1,5,0.0,0,0,4,1,0,0,0,0,0.01242765424530827
2022_06_TB_PIT,2022,6,TB,PIT,0.0,0.0,0,3,0.0,1,0,5,3,0,0,0,0,0.01242765424530827
2022_06_CAR_LA,2022,6,CAR,LA,-8.326672684688674e-17,-1.3877787807814457e-17,0,3,-6.938893903907228e-17,1,0,5,1,0,1,0,0,-1.6375417604509388
2022_06_ARI_SEA,2022,6,ARI,SEA,0.0,0.0,4,4,0.0,0,0,1,1,0,0,0,0,0.01242765424530827
2022_06_BUF_KC,2022,6,BUF,KC,0.0,-5.551115123125783e-17,3,2,5.551115123125783e-17,0,0,2,3,0,0,0,0,1.332403186002306
2022_06_DAL_PHI,2022,6,DAL,PHI,0.0,-5.551115123125783e-17,3,1,5.551115123125783e-17,0,0,3,3,0,0,0,0,1.332403186002306
2022_06_DEN_LAC,2022,6,DEN,LAC,0.0,-5.551115123125783e-17,1,1,5.551115123125783e-17,0,0,3,4,0,0,0,0,1.332403186002306
2022_07_NO_ARI,2022,7,NO,ARI,-6.245004513516506e-17,0.0,3,1,-6.245004513516506e-17,0,0,2,3,0,0,0,0,-1.4725448189813142
2022_07_CLE_BAL,2022,7,CLE,BAL,0.0,-5.551115123125783e-17,3,1,5.551115123125783e-17,0,0,3,4,0,0,0,0,1.332403186002306
2022_07_TB_CAR,2022,7,TB,CAR,-2.7755575615628914e-17,-5.551115123125783e-17,0,4,2.7755575615628914e-17,1,0,5,1,0,0,0,0,0.6724154201238071
2022_07_ATL_CIN,2022,7,ATL,CIN,-5.551115123125783e-17,-5.551115123125783e-17,3,0,0.0,0,1,3,5,0,0,0,0,0.01242765424530827
2022_07_DET_DAL,2022,7,DET,DAL,-5.551115123125783e-17,-2.7755575615628914e-17,1,3,-2.7755575615628914e-17,0,0,3,3,0,0,0,0,-0.6475601116331906
2022_07_NYG_JAX,2022,7,NYG,JAX,-2.7755575615628914e-17,0.0,3,0,-2.7755575615628914e-17,0,1,1,5,0,0,0,0,-0.6475601116331906
2022_07_IND_TEN,2022,7,IND,TEN,0.0,0.0,3,0,0.0,0,1,3,5,0,0,0,0,0.01242765424530827
2022_07_GB_WAS,2022,7,GB,WAS,0.0,0.0,1,3,0.0,0,0,3,3,0,0,0,0,0.01242765424530827
2022_07_NYJ_DEN,2022,7,NYJ,DEN,-5.551115123125783e-17,0.0,2,5,-5.551115123125783e-17,0,0,3,1,0,0,0,0,-1.3075478775116893
2022_07_HOU_LV,2022,7,HOU,LV,-8.326672684688674e-17,-2.7755575615628914e-17,0,2,-5.551115123125783e-17,1,0,5,3,0,0,0,0,-1.3075478775116893
2022_07_SEA_LAC,2022,7,SEA,LAC,-8.326672684688674e-17,0.0,3,1,-8.326672684688674e-17,0,0,3,4,0,0,0,0,-1.9675356433901883
