season,week,home_team,away_team,home_pass_mismatch_z,away_pass_mismatch_z,home_run_mismatch_z,away_run_mismatch_z
2024,6,CHI,JAX,1.1419224035213271,-0.025187736403307195,-0.03985753886651121,-0.9533072831607727
2024,6,NO,TB,-1.6032932438581986,2.3031061994560305,-0.22952296405613676,1.5023105463799429
2024,6,TEN,IND,-0.6627276346692828,1.4596645485165225,-3.206625392160726,0.1771438115992766
2024,6,DEN,LAC,1.679913930087467,-0.3492602942968388,-0.828359952795395,-0.837722924391785
2024,6,LV,PIT,-2.180344764903429,-0.04182508911500915,-1.0067189740422837,-0.35526392297707265
2024,6,CAR,ATL,1.463839927236702,2.693352997723418,0.4320751408135069,4.4336801885557815
2024,6,DAL,DET,-1.065032338019789,-0.9101843227394547,-1.0381063052812345,3.094769993675744
2024,6,NYG,CIN,-0.5183212488384497,-2.1031259743665185,-0.8754206301325456,-1.5919364049097169
2024,6,NYJ,BUF,-0.4630216052579502,1.0819438864096713,0.6600267199868034,0.6299808265037696
2024,7,NO,DEN,-2.7379676959648913,2.36000822934888,-0.040581360912319175,1.938430228782095
2024,7,JAX,NE,0.7935204559728865,-1.2789767501394511,-0.12494334285133679,-1.8761323224622204
2024,7,ATL,SEA,0.5331420352477151,0.3845326725526197,1.657227767965414,-0.8474235752905468
2024,7,BUF,TEN,1.620731773725216,-1.5181039813761268,-0.6419512283707525,-1.2341336377279206
2024,7,IND,MIA,0.8088130964860306,0.028573069442208332,0.2139465102045326,-2.047248788274322
2024,7,MIN,DET,-0.40489393508999877,0.7178497895566904,-0.7074958511685585,0.4156807919808645
2024,7,NYG,PHI,-3.620443102678224,-0.09029562425990145,-1.7942730908511133,1.2073013432706992
2024,7,WAS,CAR,1.4586665055225794,0.2629826318116004,1.83867209396724,2.327959900425465
2024,7,SF,KC,-0.20757488730678864,0.27614060987037303,0.5708622998880449,1.6969381293038155
2024,7,PIT,NYJ,-0.3356778791353057,-2.344919031053691,0.9707198317211416,-0.4388071419914227
2024,8,CIN,PHI,-3.8148875729275673,1.4083976312922397,-2.8244003124836485,0.9795849838666664
2024,8,DET,TEN,1.1429149463049821,-1.3234872101841098,0.6704171447387895,-2.700379566892865
2024,8,JAX,GB,0.07876911492404952,2.0244368116269773,-0.376156579080781,-0.4589636772307999
2024,8,NE,NYJ,-1.4553561707781888,1.0945874382997407,-1.4654107767573632,0.8161841238554322
2024,8,TB,ATL,3.2093862411618943,0.9125400028874601,-0.32568725293429046,1.411005518887166
2024,8,LAC,NO,1.0094832842212758,-2.084311680365979,1.2697175990058565,-0.6965445965790045
2024,8,SEA,BUF,-1.5170399919510418,0.6825595278071268,-0.14995299807609297,0.013605021908310089
2024,8,DEN,CAR,4.092440464255273,-0.6111723103169537,2.9668469031048317,0.434695951739758
2024,8,LV,KC,-0.42979243670606876,0.8164008300871445,-1.1487553086219187,0.0746920798613292
2024,8,WAS,CHI,-0.5737584461605814,0.7068901722600953,-1.044804423509855,1.546992952720851
2024,8,SF,DAL,-0.5873726809332749,-0.47699722713623777,3.1607258087704206,0.8063783852436117
2024,8,PIT,NYG,-1.5051705209774469,-3.7062265392113853,0.33236905301711367,-1.302612363309946
