season,week,home_team,away_team,home_score_sim,away_score_sim,home_pass_rate,home_pressure_rate,home_avg_base_pressure,home_avg_final_pressure,home_clean_comp_rate,home_pressure_comp_rate,home_explosive_rate,home_avg_plays_per_drive,home_td_rate,home_input_epa,away_pass_rate,away_pressure_rate,away_avg_base_pressure,away_avg_final_pressure,away_clean_comp_rate,away_pressure_comp_rate,away_explosive_rate,away_avg_plays_per_drive,away_td_rate,away_input_epa,game_id,home_score,away_score,home_pass_rate_real,home_epa_real,home_pressure_rate_real,home_comp_rate_real,home_explosive_rate_real,home_td_rate_real,home_avg_plays_per_drive_real,away_pass_rate_real,away_epa_real,away_pressure_rate_real,away_comp_rate_real,away_explosive_rate_real,away_td_rate_real,away_avg_plays_per_drive_real
2025,9,TEN,LAC,0,10,0.6440677966101694,0.18421052631578946,0.21200000000000005,0.23959999999999992,0.8416244421298371,0.31371506386124615,0.03954802259887006,4.4,0.075,-0.13960034400224683,0.6053811659192825,0.32592592592592595,0.212,0.2817659259259259,0.8500547514267719,0.3131565756767794,0.07623318385650224,5.512820512820513,0.15384615384615385,0.04398764597135594,2025_09_LAC_TEN,20.0,27.0,0.421875,-0.10395413,0.3333333333333333,0.4444444444444444,0.0625,0.0,1.032258064516129,0.46987951807228917,0.13954458,0.41025641025641024,0.48717948717948717,0.08433734939759036,0.060240963855421686,1.0
2025,9,BUF,KC,42,14,0.4845814977973568,0.22727272727272727,0.21200000000000002,0.2071636363636364,0.8662352941176467,0.34961117676471715,0.07048458149779736,7.703703703703703,0.4074074074074074,0.16298084706068033,0.6058823529411764,0.30097087378640774,0.21200000000000002,0.24279999999999988,0.8649999999999998,0.3434062874625096,0.06470588235294118,6.206896551724138,0.3103448275862069,0.09343568887561554,2025_09_KC_BUF,28.0,21.0,0.3924050632911392,0.34815034,0.25806451612903225,0.7419354838709677,0.10126582278481013,0.05063291139240506,1.0,0.5405405405405406,-0.019584835,0.425,0.375,0.10810810810810811,0.02702702702702703,1.0
2025,9,PIT,IND,24,42,0.7102272727272727,0.296,0.21200000000000005,0.24035840000000003,0.869090909090909,0.33478419558004047,0.08522727272727272,6.8076923076923075,0.2692307692307692,0.057853409110975876,0.5489130434782609,0.21782178217821782,0.21200000000000002,0.2615128712871287,0.8663291139240502,0.3384322893202295,0.09239130434782608,6.6923076923076925,0.5384615384615384,0.1654055793769657,2025_09_IND_PIT,27.0,20.0,0.49382716049382713,-0.07913996,0.15,0.625,0.024691358024691357,0.037037037037037035,1.0,0.6413043478260869,-0.26847526,0.1864406779661017,0.5254237288135594,0.08695652173913043,0.021739130434782608,1.0
2025,9,WAS,SEA,10,17,0.5186915887850467,0.2702702702702703,0.21200000000000002,0.24919999999999995,0.8674074074074073,0.33813460145368135,0.08411214953271028,6.205882352941177,0.3235294117647059,0.07770173031167357,0.547085201793722,0.28688524590163933,0.21200000000000008,0.23857704918032782,0.8685318803219998,0.3332460251753958,0.08968609865470852,6.484848484848484,0.36363636363636365,0.021155251073651,2025_09_SEA_WAS,14.0,38.0,0.4634146341463415,-0.102747805,0.23684210526315788,0.42105263157894735,0.024390243902439025,0.024390243902439025,1.0,0.4153846153846154,0.8929349,0.037037037037037035,0.7777777777777778,0.12307692307692308,0.07692307692307693,1.0
2025,9,CIN,CHI,7,35,0.6906474820143885,0.19791666666666666,0.21200000000000005,0.26920000000000005,0.842461016554383,0.31033343587949,0.05755395683453238,5.708333333333333,0.16666666666666666,-0.06675545487087219,0.41,0.18292682926829268,0.212,0.1864,0.8483636111453358,0.316645817870025,0.055,7.72,0.48,-0.049617883982136804,2025_09_CHI_CIN,42.0,47.0,0.6022727272727273,0.3129391,0.1509433962264151,0.5849056603773585,0.13636363636363635,0.05747126436781609,1.0114942528735633,0.46078431372549017,0.4724987,0.19148936170212766,0.46808510638297873,0.09803921568627451,0.058823529411764705,1.0
2025,9,NE,ATL,35,28,0.5631067961165048,0.31896551724137934,0.21200000000000005,0.24433103448275867,0.8634241533001452,0.3464768557564602,0.1262135922330097,7.0,0.4074074074074074,0.028772602207027355,0.6790123456790124,0.20909090909090908,0.21200000000000002,0.22840000000000008,0.8571393605085401,0.3155127163756643,0.10493827160493827,6.071428571428571,0.25,-0.022892813081853113,2025_09_ATL_NE,24.0,23.0,0.4878048780487805,0.01882925,0.3,0.475,0.07317073170731707,0.036585365853658534,1.0,0.5753424657534246,0.118275985,0.11904761904761904,0.5238095238095238,0.0547945205479452,0.0410958904109589,1.0
2025,9,LV,JAX,21,14,0.6681614349775785,0.2550335570469799,0.212,0.22119999999999998,0.8323775349817203,0.3093409044874374,0.08968609865470852,5.918918918918919,0.21621621621621623,-0.07698582112789149,0.5454545454545454,0.24242424242424243,0.212,0.19992727272727273,0.8398241631517499,0.3154759624965271,0.07024793388429752,6.5,0.3055555555555556,0.036162705568131025,2025_09_JAX_LV,29.0,30.0,0.5822784810126582,0.29084238,0.10869565217391304,0.6304347826086957,0.0379746835443038,0.05128205128205128,1.0128205128205128,0.422680412371134,-0.10984744,0.07317073170731707,0.5609756097560976,0.061855670103092786,0.030927835051546393,1.0
2025,9,HOU,DEN,35,7,0.735,0.22448979591836735,0.212,0.26066394557823136,0.8673684210526316,0.33302127656433267,0.1,8.681818181818182,0.4090909090909091,-0.05089178646448998,0.4550561797752809,0.2345679012345679,0.212,0.25079999999999997,0.865967741935484,0.34155261073597737,0.09550561797752809,7.416666666666667,0.375,0.005292142275720802,2025_09_DEN_HOU,15.0,18.0,0.5161290322580645,-0.06517031,0.20833333333333334,0.4791666666666667,0.03225806451612903,0.0,1.0108695652173914,0.5061728395061729,-0.03993598,0.12195121951219512,0.43902439024390244,0.06172839506172839,0.024691358024691357,1.0
2025,9,GB,CAR,24,17,0.5358490566037736,0.22535211267605634,0.212,0.20093521126760563,0.869453372287377,0.3365546602891514,0.052830188679245285,6.575,0.25,0.10386708797886962,0.6014760147601476,0.3496932515337423,0.212,0.28219141104294476,0.8550541641809385,0.3257768561156255,0.033210332103321034,6.525,0.15,-0.036181956354994285,2025_09_CAR_GB,13.0,16.0,0.5,0.15526313,0.18421052631578946,0.6842105263157895,0.07894736842105263,0.013333333333333334,1.0133333333333334,0.352112676056338,0.103778705,0.12,0.44,0.07042253521126761,0.028169014084507043,1.0
2025,9,MIA,BAL,7,7,0.6834862385321101,0.19463087248322147,0.212,0.27159999999999995,0.8563518407629805,0.0,0.08256880733944955,5.4,0.2,-0.0015239230706356466,0.5523012552301255,0.2803030303030303,0.212,0.22158181818181819,0.8645263157894734,0.34920809675027037,0.1087866108786611,5.725,0.225,0.13864758901763705,2025_09_BAL_MIA,6.0,28.0,0.5641025641025641,-0.11735639,0.11363636363636363,0.5681818181818182,0.08974358974358974,0.0,1.0,0.38028169014084506,0.45414606,0.2222222222222222,0.6666666666666666,0.08450704225352113,0.056338028169014086,1.0
