game_id,season,week,away_team,home_team,spread_line,total_line,spread_mean,total_mean,p_home_cover,p_over,bet_spread,bet_total,actual_home_score,actual_away_score,spread_sd,total_sd,actual_spread,actual_total,home_covered,over_hit,spread_result,total_result
2024_02_ATL_PHI,2024,2,ATL,PHI,-5.5,46.0,-5.535649350649346,46.03564935064936,0.46,0.4,,UNDER,21.0,22.0,16.263594395219584,14.272991006065766,-1.0,43.0,1.0,0.0,,1.0
2024_03_NE_NYJ,2024,3,NE,NYJ,-6.0,38.5,-6.006139581928523,38.50613958192853,0.5,0.52,,,24.0,3.0,17.428767917453076,11.997480890817302,21.0,27.0,1.0,0.0,,
2024_03_CHI_IND,2024,3,CHI,IND,-1.0,44.0,-1.1155660377358587,44.115566037735846,0.58,0.56,HOME,OVER,21.0,16.0,13.121650643178912,15.618644132712728,5.0,37.0,1.0,0.0,1.0,0.0
2024_03_HOU_MIN,2024,3,HOU,MIN,1.5,46.5,1.4999999999999936,46.5,0.44,0.48,AWAY,,34.0,7.0,13.108077030509886,12.800970094205386,27.0,41.0,1.0,0.0,0.0,
2024_03_PHI_NO,2024,3,PHI,NO,-3.0,49.5,-2.9999999999999987,49.49999999999999,0.42,0.42,AWAY,UNDER,12.0,15.0,14.339422974050716,11.062257654902117,-3.0,27.0,,0.0,0.5,1.0
2024_03_LAC_PIT,2024,3,LAC,PIT,-2.5,35.0,-2.5000000000000004,35.0,0.4,0.44,AWAY,UNDER,20.0,10.0,11.077863901322713,7.898338509785367,10.0,30.0,1.0,0.0,0.0,1.0
2024_03_DEN_TB,2024,3,DEN,TB,-6.5,41.0,-6.499999999999999,40.99999999999999,0.5,0.46,,,7.0,26.0,12.769037782406125,11.13890782456727,-19.0,33.0,0.0,0.0,,
2024_03_GB_TEN,2024,3,GB,TEN,-3.0,37.5,-3.0,37.50000000000001,0.54,0.42,,UNDER,14.0,30.0,10.97455656650086,9.217118646126954,-16.0,44.0,0.0,1.0,,0.0
2024_03_DET_ARI,2024,3,DET,ARI,3.0,51.5,2.999999999999998,51.49999999999999,0.48,0.46,,,13.0,20.0,19.432574502037056,14.285746426346098,-7.0,33.0,0.0,0.0,,
2024_03_KC_ATL,2024,3,KC,ATL,3.0,46.5,3.0507631578947394,46.550763157894735,0.46,0.52,,,17.0,22.0,18.431616018422098,13.434498875945614,-5.0,39.0,0.0,0.0,,
2024_03_JAX_BUF,2024,3,JAX,BUF,-5.5,45.5,-5.5000000000000036,45.5,0.46,0.48,,,47.0,10.0,14.719886700356597,12.139778881977744,37.0,57.0,1.0,1.0,,
2024_03_WAS_CIN,2024,3,WAS,CIN,-7.5,46.5,-7.40381531853973,46.59618468146027,0.52,0.52,,,33.0,38.0,17.251713616366196,14.846851337533959,-5.0,71.0,1.0,1.0,,
2024_04_DAL_NYG,2024,4,DAL,NYG,6.0,45.0,6.09424028268551,45.094240282685504,0.5,0.42,,UNDER,15.0,20.0,19.49391545209391,18.52247964826911,-5.0,35.0,0.0,0.0,,1.0
2024_04_NO_ATL,2024,4,NO,ATL,-3.0,41.5,-3.0046862348178163,41.50468623481782,0.54,0.5,,,26.0,24.0,14.299767684916446,11.655047716786283,2.0,50.0,1.0,1.0,,
2024_04_CIN_CAR,2024,4,CIN,CAR,5.0,47.0,5.000000000000004,46.99999999999999,0.5,0.42,,UNDER,24.0,34.0,19.176108307220154,17.06123951176814,-10.0,58.0,0.0,1.0,,0.0
2024_04_MIN_GB,2024,4,MIN,GB,-3.0,44.0,-2.9999999999999973,44.0,0.58,0.48,HOME,,29.0,31.0,12.578641207601862,10.90796743866816,-2.0,60.0,1.0,1.0,1.0,
2024_04_PIT_IND,2024,4,PIT,IND,2.0,40.0,1.8927950310559027,40.107204968944096,0.6,0.4,HOME,UNDER,27.0,24.0,15.470787111762316,14.025651377525072,3.0,51.0,1.0,1.0,1.0,0.0
2024_04_DEN_NYJ,2024,4,DEN,NYJ,-8.0,39.5,-7.948384530992871,39.55161546900713,0.46,0.48,,,9.0,10.0,11.282885257767047,12.206153277585303,-1.0,19.0,1.0,0.0,,
