season,week,bets,roi,cum_bets,cum_roi
2025,1,20,0.14540000000000003,20,0.14540000000000003
2025,2,28,0.2953928571428572,48,0.23289583333333339
2025,3,22,0.30159090909090913,70,0.2544857142857143
2025,4,24,0.034041666666666685,94,0.1982021276595745
2025,5,22,-0.045499999999999985,116,0.1519827586206897
2025,6,22,-0.13227272727272726,138,0.10666666666666669
2025,7,23,0.328,161,0.13828571428571432
2025,8,19,0.30615789473684213,180,0.15600555555555556
