game_id,season,week,away_team,home_team,spread_line,total_line,spread_mean,total_mean,spread_sd,total_sd,spread_raw,spread_raw_sd,total_raw,total_raw_sd,p_home_cover,p_away_cover,p_over,p_under,p_home_cover_centered,p_over_centered,calibration_method,spread_bet,spread_edge,spread_conviction,total_bet,total_edge,total_conviction,actual_home_score,actual_away_score,actual_spread,actual_total,spread_result,total_result
2023_01_DET_KC,2023,1,DET,KC,4.0,53.0,4.000000000000011,53.0,16.56689351798584,12.017514582636952,-1.43,12.931554430925928,41.37,9.380463741201712,0.3547739497383736,0.6452260502616264,0.3774787283394476,0.6225212716605524,0.55,0.56,linear,AWAY,0.12122605026162636,HIGH,UNDER,0.09852127166055236,HIGH,20.0,21.0,-1.0,41.0,1.0,1.0
2023_01_CAR_ATL,2023,1,CAR,ATL,3.5,40.5,3.5563265306122487,40.55632653061224,17.52634944252057,17.205402331470047,4.74,11.504451312426857,26.46,11.283988656499083,0.4725068190070889,0.5274931809929111,0.5373737936590024,0.4626262063409976,0.54,0.5,linear,AWAY,0.0034931809929110713,LOW,OVER,0.013373793659002375,LOW,24.0,10.0,14.0,34.0,0.0,0.0
2023_01_HOU_BAL,2023,1,HOU,BAL,9.5,43.5,9.509460610361966,43.509460610361955,16.94381713831672,16.49550240986734,7.38,10.984334299355606,28.18,10.69801850811635,0.3151755888928792,0.6848244111071208,0.46427737713027395,0.535722622869726,0.48,0.39,linear,AWAY,0.16082441110712076,HIGH,UNDER,0.01172262286972603,LOW,25.0,9.0,16.0,34.0,0.0,1.0
2023_01_CIN_CLE,2023,1,CIN,CLE,-1.0,46.5,-1.0000000000000033,46.49999999999999,18.331098891375685,17.11070816949264,4.42,11.495372982204623,29.16,10.730069897256028,0.6204041747112602,0.3795958252887398,0.3756851697481688,0.6243148302518312,0.47,0.45,linear,HOME,0.09640417471126017,HIGH,UNDER,0.10031483025183119,HIGH,24.0,3.0,21.0,27.0,1.0,1.0
2023_01_JAX_IND,2023,1,JAX,IND,-4.0,45.5,-4.016121304791027,45.51612130479104,19.452666958370312,15.630057791113558,-3.63,12.614004122403005,29.43,10.103717137766676,0.560717317464936,0.439282682535064,0.4120627618457514,0.5879372381542486,0.5,0.46,linear,HOME,0.036717317464936006,MEDIUM,UNDER,0.06393723815424857,HIGH,21.0,31.0,-10.0,52.0,0.0,0.0
2023_01_TB_MIN,2023,1,TB,MIN,4.0,45.0,3.9933529907329364,45.00664700926706,15.586368827680754,14.677182302325347,2.99,12.341389711049562,35.61,11.621441390808629,0.4263109760704733,0.5736890239295267,0.5609782851222038,0.4390217148777962,0.5,0.45,linear,AWAY,0.04968902392952668,MEDIUM,OVER,0.0369782851222038,MEDIUM,17.0,20.0,-3.0,37.0,1.0,0.0
2023_01_TEN_NO,2023,1,TEN,NO,3.0,41.0,3.020260513583917,41.02026051358391,17.306931162858874,16.34897974372172,2.63,11.365434439562792,26.87,10.726280809301983,0.44756060418258836,0.5524393958174116,0.5294586514149126,0.47054134858508745,0.51,0.53,linear,AWAY,0.028439395817411617,LOW,OVER,0.00545865141491253,LOW,16.0,15.0,1.0,31.0,1.0,0.0
2023_01_SF_PIT,2023,1,SF,PIT,-1.5,41.5,-1.52471367651538,41.52471367651538,15.20811792575948,13.888407876605624,-2.49,12.054455607782543,32.83,11.022753739424646,0.5025883422581987,0.4974116577418013,0.6313006260988445,0.3686993739011555,0.53,0.48,linear,,0.0,,OVER,0.1073006260988445,HIGH,7.0,30.0,-23.0,37.0,,0.0
2023_01_ARI_WAS,2023,1,ARI,WAS,7.0,38.0,6.989800298062588,38.01019970193741,12.16257504593613,12.285697378956371,5.73,10.751609181885287,33.55,10.856679971335621,0.3643878415611329,0.6356121584388671,0.7582483849105266,0.2417516150894734,0.56,0.49,linear,AWAY,0.11161215843886707,HIGH,OVER,0.23424838491052657,HIGH,20.0,16.0,4.0,36.0,1.0,0.0
2023_01_GB_CHI,2023,1,GB,CHI,1.0,41.0,0.853857041755133,41.146142958244866,16.931397389590483,15.727840187344942,-3.34,11.860202359150538,28.26,10.910197065131317,0.40318282945058626,0.5968171705494137,0.5578067134470905,0.44219328655290946,0.45,0.44,linear,AWAY,0.07281717054941372,HIGH,OVER,0.03380671344709052,MEDIUM,20.0,38.0,-18.0,58.0,1.0,1.0
