game_id,season,week,away_team,home_team,spread_line,total_line,spread_mean,total_mean,p_home_cover,p_over,bet_spread,bet_total,actual_home_score,actual_away_score,spread_sd,total_sd,actual_spread,actual_total,home_covered,over_hit,spread_result,total_result
2024_02_NYG_WAS,2024,2,NYG,WAS,-1.5,42.5,-1.4999999999999993,42.5,0.59,0.495,HOME,,21.0,18.0,9.83346200480787,10.133556878016721,3.0,39.0,1.0,0.0,1.0,
2024_02_PIT_DEN,2024,2,PIT,DEN,2.5,36.5,2.51035,36.510349999999995,0.435,0.56,AWAY,OVER,6.0,13.0,12.077906736165005,10.559845175356502,-7.0,19.0,0.0,0.0,1.0,0.0
2024_02_CIN_KC,2024,2,CIN,KC,-6.0,47.5,-6.000000000000003,47.49999999999999,0.505,0.42,,UNDER,26.0,25.0,12.350626502327726,10.23576938974301,1.0,51.0,1.0,1.0,,0.0
2024_02_CHI_HOU,2024,2,CHI,HOU,-6.5,45.5,-6.452550000000001,45.54745,0.43,0.495,AWAY,,19.0,13.0,10.300494077834323,10.502802875780349,6.0,32.0,1.0,0.0,0.0,
2024_02_ATL_PHI,2024,2,ATL,PHI,-5.5,46.5,-5.488525000000001,46.511475,0.51,0.415,,UNDER,21.0,22.0,10.898559948423232,8.881948403890613,-1.0,43.0,1.0,0.0,,1.0
2024_03_NE_NYJ,2024,3,NE,NYJ,-6.0,39.0,-5.967800000000002,39.032199999999996,0.535,0.46,,,24.0,3.0,11.952745758192966,9.989381720607136,21.0,27.0,1.0,0.0,,
2024_03_NYG_CLE,2024,3,NYG,CLE,-6.5,38.0,-6.500000000000003,37.99999999999999,0.46,0.495,,,15.0,21.0,9.205475272901449,9.770515595402323,-6.0,36.0,1.0,0.0,,
2024_03_CHI_IND,2024,3,CHI,IND,-1.0,43.0,-1.000000000000002,43.0,0.51,0.505,,,21.0,16.0,12.200589125120148,11.292385708963364,5.0,37.0,1.0,0.0,,
2024_03_HOU_MIN,2024,3,HOU,MIN,1.5,46.0,1.492449999999999,46.007549999999995,0.45,0.555,,OVER,34.0,7.0,11.664289369588701,10.270642068415198,27.0,41.0,1.0,0.0,,0.0
2024_03_PHI_NO,2024,3,PHI,NO,-3.0,49.0,-2.999999999999996,49.00000000000001,0.51,0.465,,,12.0,15.0,12.580937961853241,11.03030371295369,-3.0,27.0,,0.0,,
2024_03_LAC_PIT,2024,3,LAC,PIT,-2.5,36.0,-2.485200000000002,36.01480000000001,0.475,0.5,,,20.0,10.0,11.523653802505523,10.889690030482962,10.0,30.0,1.0,0.0,,
2024_03_DEN_TB,2024,3,DEN,TB,-6.5,40.5,-6.490700000000001,40.5093,0.515,0.455,,,7.0,26.0,12.009081917865329,10.81764126369515,-19.0,33.0,0.0,0.0,,
2024_03_GB_TEN,2024,3,GB,TEN,-3.0,37.0,-3.0109249999999976,37.01092500000001,0.495,0.52,,,14.0,30.0,11.219223436556339,8.79707874918572,-16.0,44.0,0.0,1.0,,
2024_03_CAR_LV,2024,3,CAR,LV,-6.0,40.0,-6.0,40.00000000000001,0.515,0.505,,,22.0,36.0,8.883961672587294,9.660371369673115,-14.0,58.0,0.0,1.0,,
2024_03_MIA_SEA,2024,3,MIA,SEA,-4.5,41.5,-4.499999999999997,41.5,0.47,0.49,,,24.0,3.0,13.120281056440826,10.417906459553187,21.0,27.0,1.0,0.0,,
2024_03_DET_ARI,2024,3,DET,ARI,3.0,51.5,2.9999999999999973,51.50000000000001,0.545,0.49,,,13.0,20.0,12.203760690869023,9.83864701064125,-7.0,33.0,0.0,0.0,,
2024_03_BAL_DAL,2024,3,BAL,DAL,1.0,47.5,1.000000000000001,47.5,0.515,0.505,,,25.0,28.0,12.042968903057085,9.624572717788565,-3.0,53.0,0.0,1.0,,
2024_03_KC_ATL,2024,3,KC,ATL,3.0,46.0,3.0000000000000013,46.0,0.41,0.485,AWAY,,17.0,22.0,11.337494211685403,9.888416202810236,-5.0,39.0,0.0,0.0,1.0,
2024_03_JAX_BUF,2024,3,JAX,BUF,-5.5,46.5,-5.481324999999999,46.518675,0.47,0.465,,,47.0,10.0,12.608761759957835,10.664067100284724,37.0,57.0,1.0,1.0,,
2024_03_WAS_CIN,2024,3,WAS,CIN,-7.5,46.0,-7.5,46.0,0.49,0.405,,UNDER,33.0,38.0,11.08047720091513,10.923734480478734,-5.0,71.0,1.0,1.0,,0.0
2024_04_DAL_NYG,2024,4,DAL,NYG,6.0,45.0,5.999999999999999,45.0,0.47,0.47,,,15.0,20.0,11.769180090388623,11.163440329934136,-5.0,35.0,0.0,0.0,,
2024_04_NO_ATL,2024,4,NO,ATL,-3.0,41.5,-2.978175,41.521825,0.59,0.565,HOME,OVER,26.0,24.0,12.177164429553171,10.155688383579669,2.0,50.0,1.0,1.0,1.0,1.0
2024_04_CIN_CAR,2024,4,CIN,CAR,5.0,47.0,5.000000000000001,47.00000000000001,0.45,0.535,,,24.0,34.0,10.349294661956437,9.889342748636029,-10.0,58.0,0.0,1.0,,
2024_04_MIN_GB,2024,4,MIN,GB,-3.0,44.0,-2.991099999999999,44.0089,0.47,0.55,,OVER,29.0,31.0,13.387812042675234,9.940749935995775,-2.0,60.0,1.0,1.0,,1.0
2024_04_JAX_HOU,2024,4,JAX,HOU,-5.5,44.5,-5.5,44.5,0.555,0.57,,OVER,24.0,20.0,10.969845030810598,9.966724637512566,4.0,44.0,1.0,0.0,,0.0
2024_04_PIT_IND,2024,4,PIT,IND,2.0,40.0,1.9999999999999978,39.999999999999986,0.495,0.43,,UNDER,27.0,24.0,12.038371982955171,10.514632661201246,3.0,51.0,1.0,1.0,,0.0
