season,week,game_id,team,opponent,pred_points_for,pred_points_against,act_points_for,act_points_against,res_points_for,res_points_against,venue,res_spread,res_total
2025,1,2025_01_ARI_NO,ARI,NO,19.94567,18.877900000000004,20.0,13.0,0.05433000000000021,-5.877900000000004,away,-5.932230000000004,-5.823570000000004
2025,1,2025_01_TB_ATL,ATL,TB,25.398719999999997,28.46499,20.0,23.0,-5.398719999999997,-5.46499,home,0.06627000000000294,-10.863709999999998
2025,1,2025_01_BAL_BUF,BAL,BUF,31.582649999999994,31.50271,40.0,41.0,8.417350000000006,9.49729,away,1.0799399999999935,17.914640000000006
2025,1,2025_01_BAL_BUF,BUF,BAL,31.50271,31.582649999999994,41.0,40.0,9.49729,8.417350000000006,home,1.0799399999999935,17.914640000000006
2025,1,2025_01_CAR_JAX,CAR,JAX,17.107799999999997,22.863479999999996,10.0,26.0,-7.1077999999999975,3.1365200000000044,away,10.244320000000002,-3.971279999999993
2025,1,2025_01_MIN_CHI,CHI,MIN,31.11443,15.703140000000003,24.0,27.0,-7.114429999999999,11.296859999999997,home,-18.411289999999994,4.1824299999999965
2025,1,2025_01_CIN_CLE,CIN,CLE,17.81584,17.558889999999998,17.0,16.0,-0.8158400000000015,-1.558889999999998,away,-0.7430499999999967,-2.3747299999999996
2025,1,2025_01_CIN_CLE,CLE,CIN,17.558889999999998,17.81584,16.0,17.0,-1.558889999999998,-0.8158400000000015,home,-0.7430499999999967,-2.3747299999999996
2025,1,2025_01_DAL_PHI,DAL,PHI,30.332160000000002,22.937709999999996,20.0,24.0,-10.332160000000002,1.0622900000000044,away,11.394450000000006,-9.269869999999997
2025,1,2025_01_TEN_DEN,DEN,TEN,20.659419999999997,14.732439999999997,20.0,12.0,-0.6594199999999972,-2.732439999999997,home,2.0730199999999996,-3.391859999999994
2025,1,2025_01_DET_GB,DET,GB,29.26439,34.31203,13.0,27.0,-16.26439,-7.31203,away,8.952359999999999,-23.57642
2025,1,2025_01_DET_GB,GB,DET,34.31203,29.26439,27.0,13.0,-7.31203,-16.26439,home,8.952359999999999,-23.57642
2025,1,2025_01_HOU_LA,HOU,LA,24.359499999999997,38.16628,9.0,14.0,-15.359499999999997,-24.16628,away,-8.806780000000003,-39.52578
2025,1,2025_01_MIA_IND,IND,MIA,36.88153,20.550929999999994,33.0,8.0,-3.881529999999998,-12.550929999999994,home,8.669399999999996,-16.432459999999992
2025,1,2025_01_CAR_JAX,JAX,CAR,22.863479999999996,17.107799999999997,26.0,10.0,3.1365200000000044,-7.1077999999999975,home,10.244320000000002,-3.971279999999993
2025,1,2025_01_KC_LAC,KC,LAC,36.253429999999994,33.58685999999999,21.0,27.0,-15.253429999999994,-6.586859999999987,away,8.666570000000007,-21.84028999999998
2025,1,2025_01_HOU_LA,LA,HOU,38.16628,24.359499999999997,14.0,9.0,-24.16628,-15.359499999999997,home,-8.806780000000003,-39.52578
2025,1,2025_01_KC_LAC,LAC,KC,33.58685999999999,36.253429999999994,27.0,21.0,-6.586859999999987,-15.253429999999994,home,8.666570000000007,-21.84028999999998
2025,1,2025_01_LV_NE,LV,NE,21.184739999999998,28.721939999999996,20.0,13.0,-1.184739999999998,-15.721939999999996,away,-14.537199999999999,-16.906679999999994
2025,1,2025_01_MIA_IND,MIA,IND,20.550929999999994,36.88153,8.0,33.0,-12.550929999999994,-3.881529999999998,away,8.669399999999996,-16.432459999999992
2025,1,2025_01_MIN_CHI,MIN,CHI,15.703140000000003,31.11443,27.0,24.0,11.296859999999997,-7.114429999999999,away,-18.411289999999994,4.1824299999999965
2025,1,2025_01_LV_NE,NE,LV,28.721939999999996,21.184739999999998,13.0,20.0,-15.721939999999996,-1.184739999999998,home,-14.537199999999999,-16.906679999999994
2025,1,2025_01_ARI_NO,NO,ARI,18.877900000000004,19.94567,13.0,20.0,-5.877900000000004,0.05433000000000021,home,-5.932230000000004,-5.823570000000004
2025,1,2025_01_NYG_WAS,NYG,WAS,15.617490000000002,28.516379999999998,6.0,21.0,-9.617490000000002,-7.516379999999998,away,2.101110000000004,-17.13387
2025,1,2025_01_PIT_NYJ,NYJ,PIT,22.38384,22.74357,32.0,34.0,9.61616,11.256430000000002,home,-1.640270000000001,20.872590000000002
2025,1,2025_01_DAL_PHI,PHI,DAL,22.937709999999996,30.332160000000002,24.0,20.0,1.0622900000000044,-10.332160000000002,home,11.394450000000006,-9.269869999999997
2025,1,2025_01_PIT_NYJ,PIT,NYJ,22.74357,22.38384,34.0,32.0,11.256430000000002,9.61616,away,-1.640270000000001,20.872590000000002
2025,1,2025_01_SF_SEA,SEA,SF,32.068,31.497,13.0,17.0,-19.067999999999998,-14.497,home,-4.570999999999998,-33.565
2025,1,2025_01_SF_SEA,SF,SEA,31.497,32.068,17.0,13.0,-14.497,-19.067999999999998,away,-4.570999999999998,-33.565
2025,1,2025_01_TB_ATL,TB,ATL,28.46499,25.398719999999997,23.0,20.0,-5.46499,-5.398719999999997,away,0.06627000000000294,-10.863709999999998
2025,1,2025_01_TEN_DEN,TEN,DEN,14.732439999999997,20.659419999999997,12.0,20.0,-2.732439999999997,-0.6594199999999972,away,2.0730199999999996,-3.391859999999994
2025,1,2025_01_NYG_WAS,WAS,NYG,28.516379999999998,15.617490000000002,21.0,6.0,-7.516379999999998,-9.617490000000002,home,2.101110000000004,-17.13387
2025,2,2025_02_CAR_ARI,ARI,CAR,,,27.0,22.0,,,home,,
2025,2,2025_02_ATL_MIN,ATL,MIN,,,22.0,6.0,,,away,,
2025,2,2025_02_CLE_BAL,BAL,CLE,,,41.0,17.0,,,home,,
2025,2,2025_02_BUF_NYJ,BUF,NYJ,,,30.0,10.0,,,away,,
2025,2,2025_02_CAR_ARI,CAR,ARI,,,22.0,27.0,,,away,,
2025,2,2025_02_CHI_DET,CHI,DET,,,21.0,52.0,,,away,,
2025,2,2025_02_JAX_CIN,CIN,JAX,,,31.0,27.0,,,home,,
2025,2,2025_02_CLE_BAL,CLE,BAL,,,17.0,41.0,,,away,,
2025,2,2025_02_NYG_DAL,DAL,NYG,,,40.0,37.0,,,home,,
2025,2,2025_02_DEN_IND,DEN,IND,,,28.0,29.0,,,away,,
2025,2,2025_02_CHI_DET,DET,CHI,,,52.0,21.0,,,home,,
2025,2,2025_02_WAS_GB,GB,WAS,,,27.0,18.0,,,home,,
2025,2,2025_02_TB_HOU,HOU,TB,,,19.0,20.0,,,home,,
2025,2,2025_02_DEN_IND,IND,DEN,,,29.0,28.0,,,home,,
2025,2,2025_02_JAX_CIN,JAX,CIN,,,27.0,31.0,,,away,,
2025,2,2025_02_PHI_KC,KC,PHI,,,17.0,20.0,,,home,,
2025,2,2025_02_LA_TEN,LA,TEN,,,33.0,19.0,,,away,,
2025,2,2025_02_LAC_LV,LAC,LV,,,20.0,9.0,,,away,,
2025,2,2025_02_LAC_LV,LV,LAC,,,9.0,20.0,,,home,,
2025,2,2025_02_NE_MIA,MIA,NE,,,27.0,33.0,,,home,,
2025,2,2025_02_ATL_MIN,MIN,ATL,,,6.0,22.0,,,home,,
2025,2,2025_02_NE_MIA,NE,MIA,,,33.0,27.0,,,away,,
2025,2,2025_02_SF_NO,NO,SF,21.60852,41.88225,21.0,26.0,-0.6085199999999986,-15.882249999999999,home,15.27373,-16.490769999999998
2025,2,2025_02_NYG_DAL,NYG,DAL,,,37.0,40.0,,,away,,
2025,2,2025_02_BUF_NYJ,NYJ,BUF,,,10.0,30.0,,,home,,
2025,2,2025_02_PHI_KC,PHI,KC,,,20.0,17.0,,,away,,
2025,2,2025_02_SEA_PIT,PIT,SEA,,,17.0,31.0,,,home,,
2025,2,2025_02_SEA_PIT,SEA,PIT,,,31.0,17.0,,,away,,
2025,2,2025_02_SF_NO,SF,NO,41.88225,21.60852,26.0,21.0,-15.882249999999999,-0.6085199999999986,away,15.27373,-16.490769999999998
2025,2,2025_02_TB_HOU,TB,HOU,,,20.0,19.0,,,away,,
2025,2,2025_02_LA_TEN,TEN,LA,,,19.0,33.0,,,home,,
2025,2,2025_02_WAS_GB,WAS,GB,,,18.0,27.0,,,away,,
2025,3,2025_03_ARI_SF,ARI,SF,,,15.0,16.0,,,away,,
2025,3,2025_03_ATL_CAR,ATL,CAR,,,0.0,30.0,,,away,,
2025,3,2025_03_DET_BAL,BAL,DET,,,30.0,38.0,,,home,,
2025,3,2025_03_MIA_BUF,BUF,MIA,32.89595,16.17707,31.0,21.0,-1.8959499999999991,4.8229299999999995,home,-6.718879999999999,2.9269800000000004
2025,3,2025_03_ATL_CAR,CAR,ATL,,,30.0,0.0,,,home,,
2025,3,2025_03_DAL_CHI,CHI,DAL,26.3009,19.87144,31.0,14.0,4.699100000000001,-5.87144,home,10.570540000000001,-1.1723399999999984
2025,3,2025_03_CIN_MIN,CIN,MIN,,,10.0,48.0,,,away,,
2025,3,2025_03_GB_CLE,CLE,GB,,,13.0,10.0,,,home,,
2025,3,2025_03_DAL_CHI,DAL,CHI,19.87144,26.3009,14.0,31.0,-5.87144,4.699100000000001,away,10.570540000000001,-1.1723399999999984
2025,3,2025_03_DEN_LAC,DEN,LAC,,,20.0,23.0,,,away,,
2025,3,2025_03_DET_BAL,DET,BAL,,,38.0,30.0,,,away,,
2025,3,2025_03_GB_CLE,GB,CLE,,,10.0,13.0,,,away,,
2025,3,2025_03_HOU_JAX,HOU,JAX,22.62366,25.170320000000004,10.0,17.0,-12.623660000000001,-8.170320000000004,away,4.453339999999997,-20.793980000000005
2025,3,2025_03_IND_TEN,IND,TEN,,,41.0,20.0,,,away,,
2025,3,2025_03_HOU_JAX,JAX,HOU,25.170320000000004,22.62366,17.0,10.0,-8.170320000000004,-12.623660000000001,home,4.453339999999997,-20.793980000000005
2025,3,2025_03_KC_NYG,KC,NYG,,,22.0,9.0,,,away,,
2025,3,2025_03_LA_PHI,LA,PHI,,,26.0,33.0,,,away,,
2025,3,2025_03_DEN_LAC,LAC,DEN,,,23.0,20.0,,,home,,
2025,3,2025_03_LV_WAS,LV,WAS,24.53651,30.343579999999996,24.0,41.0,-0.5365099999999998,10.656420000000004,away,11.192930000000004,10.119910000000004
2025,3,2025_03_MIA_BUF,MIA,BUF,16.17707,32.89595,21.0,31.0,4.8229299999999995,-1.8959499999999991,away,-6.718879999999999,2.9269800000000004
2025,3,2025_03_CIN_MIN,MIN,CIN,,,48.0,10.0,,,home,,
2025,3,2025_03_PIT_NE,NE,PIT,19.450139999999998,18.43699,14.0,21.0,-5.4501399999999975,2.5630099999999985,home,-8.013149999999996,-2.887129999999999
2025,3,2025_03_NO_SEA,NO,SEA,,,13.0,44.0,,,away,,
2025,3,2025_03_KC_NYG,NYG,KC,,,9.0,22.0,,,home,,
2025,3,2025_03_NYJ_TB,NYJ,TB,,,27.0,29.0,,,away,,
2025,3,2025_03_LA_PHI,PHI,LA,,,33.0,26.0,,,home,,
2025,3,2025_03_PIT_NE,PIT,NE,18.43699,19.450139999999998,21.0,14.0,2.5630099999999985,-5.4501399999999975,away,-8.013149999999996,-2.887129999999999
2025,3,2025_03_NO_SEA,SEA,NO,,,44.0,13.0,,,home,,
2025,3,2025_03_ARI_SF,SF,ARI,,,16.0,15.0,,,home,,
2025,3,2025_03_NYJ_TB,TB,NYJ,,,29.0,27.0,,,home,,
2025,3,2025_03_IND_TEN,TEN,IND,,,20.0,41.0,,,home,,
2025,3,2025_03_LV_WAS,WAS,LV,30.343579999999996,24.53651,41.0,24.0,10.656420000000004,-0.5365099999999998,home,11.192930000000004,10.119910000000004
2025,4,2025_04_SEA_ARI,ARI,SEA,,,20.0,23.0,,,home,,
2025,4,2025_04_WAS_ATL,ATL,WAS,,,34.0,27.0,,,home,,
2025,4,2025_04_BAL_KC,BAL,KC,,,20.0,37.0,,,away,,
2025,4,2025_04_NO_BUF,BUF,NO,,,31.0,19.0,,,home,,
2025,4,2025_04_CAR_NE,CAR,NE,16.39405,31.79963,13.0,42.0,-3.39405,10.20037,away,13.59442,6.8063199999999995
2025,4,2025_04_CHI_LV,CHI,LV,,,25.0,24.0,,,away,,
2025,4,2025_04_CIN_DEN,CIN,DEN,17.270479058545824,30.654830941454172,3.0,28.0,-14.270479058545824,-2.654830941454172,away,11.615648117091652,-16.925309999999996
2025,4,2025_04_CLE_DET,CLE,DET,,,10.0,34.0,,,away,,
2025,4,2025_04_GB_DAL,DAL,GB,,,40.0,40.0,,,home,,
2025,4,2025_04_CIN_DEN,DEN,CIN,30.654830941454172,17.270479058545824,28.0,3.0,-2.654830941454172,-14.270479058545824,home,11.615648117091652,-16.925309999999996
2025,4,2025_04_CLE_DET,DET,CLE,,,34.0,10.0,,,home,,
2025,4,2025_04_GB_DAL,GB,DAL,,,40.0,40.0,,,away,,
2025,4,2025_04_TEN_HOU,HOU,TEN,,,26.0,0.0,,,home,,
2025,4,2025_04_IND_LA,IND,LA,,,20.0,27.0,,,away,,
2025,4,2025_04_JAX_SF,JAX,SF,,,26.0,21.0,,,away,,
2025,4,2025_04_BAL_KC,KC,BAL,,,37.0,20.0,,,home,,
2025,4,2025_04_IND_LA,LA,IND,,,27.0,20.0,,,home,,
2025,4,2025_04_LAC_NYG,LAC,NYG,,,18.0,21.0,,,away,,
2025,4,2025_04_CHI_LV,LV,CHI,,,24.0,25.0,,,home,,
2025,4,2025_04_NYJ_MIA,MIA,NYJ,,,27.0,21.0,,,home,,
2025,4,2025_04_MIN_PIT,MIN,PIT,,,21.0,24.0,,,away,,
2025,4,2025_04_CAR_NE,NE,CAR,31.79963,16.39405,42.0,13.0,10.20037,-3.39405,home,13.59442,6.8063199999999995
2025,4,2025_04_NO_BUF,NO,BUF,,,19.0,31.0,,,away,,
2025,4,2025_04_LAC_NYG,NYG,LAC,,,21.0,18.0,,,home,,
2025,4,2025_04_NYJ_MIA,NYJ,MIA,,,21.0,27.0,,,away,,
2025,4,2025_04_PHI_TB,PHI,TB,,,31.0,25.0,,,away,,
2025,4,2025_04_MIN_PIT,PIT,MIN,,,24.0,21.0,,,home,,
2025,4,2025_04_SEA_ARI,SEA,ARI,,,23.0,20.0,,,away,,
2025,4,2025_04_JAX_SF,SF,JAX,,,21.0,26.0,,,home,,
2025,4,2025_04_PHI_TB,TB,PHI,,,25.0,31.0,,,home,,
2025,4,2025_04_TEN_HOU,TEN,HOU,,,0.0,26.0,,,away,,
2025,4,2025_04_WAS_ATL,WAS,ATL,,,27.0,34.0,,,away,,
2025,5,2025_05_TEN_ARI,ARI,TEN,,,21.0,22.0,,,home,,
2025,5,2025_05_HOU_BAL,BAL,HOU,,,10.0,44.0,,,home,,
2025,5,2025_05_NE_BUF,BUF,NE,,,20.0,23.0,,,home,,
2025,5,2025_05_MIA_CAR,CAR,MIA,,,27.0,24.0,,,home,,
