game_id,season,week,away_team,home_team,spread_line,total_line,p_home_cover,p_over,actual_spread,actual_total,home_covered,over_hit,has_pff
2024_04_PHI_TB,2024,4,PHI,TB,1.5,42.0,0.54,0.44,17.0,49.0,1.0,1.0,True
2024_04_WAS_ARI,2024,4,WAS,ARI,-3.5,49.0,0.52,0.52,-28.0,56.0,0.0,1.0,False
2024_04_NE_SF,2024,4,NE,SF,-10.5,41.5,0.52,0.48,17.0,43.0,1.0,1.0,True
2024_04_KC_LAC,2024,4,KC,LAC,7.0,41.5,0.46,0.44,-7.0,27.0,0.0,0.0,True
2024_04_CLE_LV,2024,4,CLE,LV,2.5,36.5,0.44,0.56,4.0,36.0,1.0,0.0,False
2024_04_BUF_BAL,2024,4,BUF,BAL,-2.5,46.5,0.44,0.48,25.0,45.0,1.0,0.0,False
2024_04_TEN_MIA,2024,4,TEN,MIA,-2.5,37.0,0.44,0.44,-19.0,43.0,0.0,1.0,True
2024_04_SEA_DET,2024,4,SEA,DET,-4.5,46.5,0.48,0.5,13.0,71.0,1.0,1.0,True
2024_05_TB_ATL,2024,5,TB,ATL,-1.5,44.0,0.58,0.44,6.0,66.0,1.0,1.0,True
2024_05_NYJ_MIN,2024,5,NYJ,MIN,-2.5,42.0,0.46,0.54,6.0,40.0,1.0,0.0,True
2024_05_CAR_CHI,2024,5,CAR,CHI,-4.0,40.0,0.54,0.58,26.0,46.0,1.0,1.0,True
2024_05_BAL_CIN,2024,5,BAL,CIN,2.5,48.5,0.4,0.58,-3.0,79.0,0.0,1.0,False
2024_05_BUF_HOU,2024,5,BUF,HOU,-1.0,48.0,0.5,0.44,3.0,43.0,1.0,0.0,False
2024_05_IND_JAX,2024,5,IND,JAX,-3.5,45.0,0.58,0.46,3.0,71.0,1.0,1.0,True
2024_05_MIA_NE,2024,5,MIA,NE,1.0,37.0,0.42,0.42,-5.0,25.0,0.0,0.0,True
2024_05_CLE_WAS,2024,5,CLE,WAS,-3.0,44.0,0.46,0.5,21.0,47.0,1.0,1.0,False
2024_05_LV_DEN,2024,5,LV,DEN,-2.5,36.0,0.38,0.46,16.0,52.0,1.0,1.0,True
