game_id,season,week,away,home,ol_pass_stress_away,ol_pass_stress_home,ol_chaos_index_away,ol_chaos_index_home,stress_diff,away_ol_continuity_full,home_ol_continuity_full,away_ol_continuity_count,home_ol_continuity_count,away_center_missing,home_center_missing,away_left_tackle_missing,home_left_tackle_missing,stress_z_score,spread_open,spread_close,total_open,total_close,away_score,home_score,margin,total,spread_movement,total_movement,implied_away_win_prob,stress_differential,chaos_differential,away_ol_disrupted,home_ol_disrupted,away_key_missing,home_key_missing,week_early,week_mid,week_late,predicted_spread_close,predicted_total_close,spread_clv,total_clv,bet_spread,bet_total,spread_bet_side,total_bet_side,spread_result,total_result
2025_01_DAL_PHI,2025,1,DAL,PHI,-4.163336342344337e-17,-2.775557561562892e-17,1,1,-1.3877787807814457e-17,0,0,0,0,0,0,0,0,-0.3175662286939411,8.5,8.5,47.5,47.5,20.0,24.0,-4.0,44.0,0.0,0.0,0.8933094060543487,-1.387778780781445e-17,0,1,1,0,0,1,0,0,7.906976,47.343636,0.0,0.0,False,False,HOME,UNDER,WIN,WIN
2025_01_KC_LAC,2025,1,KC,LAC,-5.551115123125783e-17,-2.775557561562892e-17,1,1,-2.775557561562892e-17,0,0,0,0,0,0,0,0,-0.6475601116331906,-3.0,-3.0,47.5,47.5,21.0,27.0,-6.0,48.0,0.0,0.0,0.320821300824607,-2.7755575615628907e-17,0,1,1,0,0,1,0,0,-2.8488517,47.09551,0.0,0.0,False,False,AWAY,UNDER,LOSS,LOSS
2025_01_TB_ATL,2025,1,TB,ATL,-2.775557561562892e-17,-1.3877787807814457e-17,1,1,-1.3877787807814457e-17,0,0,0,0,0,0,0,0,-0.3175662286939411,-1.5,-1.5,47.5,47.5,23.0,20.0,3.0,43.0,0.0,0.0,0.40733340004593027,-1.3877787807814463e-17,0,1,1,0,0,1,0,0,-1.2929249,47.434635,0.0,0.0,False,False,AWAY,UNDER,WIN,WIN
2025_01_CIN_CLE,2025,1,CIN,CLE,0.0,0.0,1,1,0.0,0,0,0,0,0,0,0,0,0.0124276542453082,-5.5,-5.5,47.5,47.5,17.0,16.0,1.0,33.0,0.0,0.0,0.20181322226037884,0.0,0,1,1,0,0,1,0,0,-5.2821116,47.30878,0.0,0.0,False,False,AWAY,UNDER,WIN,WIN
2025_01_MIA_IND,2025,1,MIA,IND,-5.551115123125783e-17,-6.938893903907227e-17,1,1,1.3877787807814457e-17,0,0,0,0,0,0,0,0,0.3424215371845577,1.5,1.5,47.5,47.5,8.0,33.0,-25.0,41.0,0.0,0.0,0.5926665999540697,1.3877787807814444e-17,0,1,1,0,0,1,0,0,1.5800523,47.31084,0.0,0.0,False,False,AWAY,UNDER,LOSS,WIN
2025_01_CAR_JAX,2025,1,CAR,JAX,-2.775557561562892e-17,-3.469446951953614e-18,1,1,-2.4286128663675302e-17,0,0,0,0,0,0,0,0,-0.5650616408983782,4.5,4.5,45.5,45.5,10.0,26.0,-16.0,36.0,0.0,0.0,0.7549149868676283,-2.4286128663675305e-17,0,1,1,0,0,1,0,0,4.627703,45.66246,0.0,0.0,False,False,AWAY,OVER,LOSS,LOSS
2025_01_LV_NE,2025,1,LV,NE,0.0,-2.775557561562892e-17,1,1,2.775557561562892e-17,0,0,0,0,0,0,0,0,0.6724154201238071,2.5,2.5,44.5,44.5,20.0,13.0,7.0,33.0,0.0,0.0,0.6513548646660542,2.775557561562892e-17,0,1,1,0,0,1,0,0,2.5791414,44.211155,0.0,0.0,False,False,AWAY,UNDER,WIN,WIN
2025_01_ARI_NO,2025,1,ARI,NO,-2.775557561562892e-17,-6.938893903907228e-18,1,1,-2.0816681711721685e-17,0,0,0,0,0,0,0,0,-0.4825631701635658,-6.0,-6.0,44.5,44.5,20.0,13.0,7.0,33.0,0.0,0.0,0.18242552380635635,-2.081668171172169e-17,0,1,1,0,0,1,0,0,-5.7394147,44.414524,0.0,0.0,False,False,AWAY,UNDER,WIN,WIN
2025_01_PIT_NYJ,2025,1,PIT,NYJ,0.0,0.0,1,1,0.0,0,0,0,0,0,0,0,0,0.0124276542453082,-3.0,-3.0,37.5,37.5,34.0,32.0,2.0,66.0,0.0,0.0,0.320821300824607,0.0,0,1,1,0,0,1,0,0,-2.869812,37.795876,0.0,0.0,False,False,AWAY,OVER,WIN,WIN
2025_01_NYG_WAS,2025,1,NYG,WAS,-2.775557561562892e-17,-8.326672684688674e-17,1,1,5.551115123125783e-17,0,0,0,0,0,0,0,0,1.332403186002306,6.0,6.0,45.5,45.5,6.0,21.0,-15.0,27.0,0.0,0.0,0.8175744761936437,5.551115123125782e-17,0,1,1,0,0,1,0,0,6.0304675,45.487602,0.0,0.0,False,False,AWAY,UNDER,LOSS,WIN
2025_01_TEN_DEN,2025,1,TEN,DEN,0.0,0.0,1,1,0.0,0,0,0,0,0,0,0,0,0.0124276542453082,8.5,8.5,42.5,42.5,12.0,20.0,-8.0,32.0,0.0,0.0,0.8933094060543487,0.0,0,1,1,0,0,1,0,0,7.903357,42.376297,0.0,0.0,False,False,HOME,UNDER,WIN,WIN
2025_01_SF_SEA,2025,1,SF,SEA,-8.326672684688674e-17,-9.714451465470121e-17,1,1,1.3877787807814457e-17,0,0,0,0,0,0,0,0,0.3424215371845577,-2.5,-2.5,43.5,43.5,17.0,13.0,4.0,30.0,0.0,0.0,0.34864513533394575,1.387778780781447e-17,0,1,1,0,0,1,0,0,-2.2473166,43.488968,0.0,0.0,False,False,AWAY,UNDER,WIN,WIN
2025_01_DET_GB,2025,1,DET,GB,0.0,-2.775557561562892e-17,1,1,2.775557561562892e-17,0,0,0,0,0,0,0,0,0.6724154201238071,1.5,1.5,48.5,48.5,13.0,27.0,-14.0,40.0,0.0,0.0,0.5926665999540697,2.775557561562892e-17,0,1,1,0,0,1,0,0,1.5810884,47.937275,0.0,0.0,False,False,AWAY,UNDER,LOSS,WIN
2025_01_HOU_LA,2025,1,HOU,LA,0.0,0.0,1,1,0.0,0,0,0,0,0,0,0,0,0.0124276542453082,3.5,3.5,43.5,43.5,9.0,14.0,-5.0,23.0,0.0,0.0,0.7057850278370112,0.0,0,1,1,0,0,1,0,0,3.5633945,43.645027,0.0,0.0,False,False,AWAY,OVER,LOSS,LOSS
2025_01_BAL_BUF,2025,1,BAL,BUF,0.0,-2.775557561562892e-17,1,1,2.775557561562892e-17,0,0,0,0,0,1,0,0,0.6724154201238071,-1.5,-1.5,50.5,50.5,40.0,41.0,-1.0,81.0,0.0,0.0,0.40733340004593027,2.775557561562892e-17,0,1,1,0,1,1,0,0,-1.3080034,49.792747,0.0,0.0,False,False,AWAY,UNDER,WIN,LOSS
2025_01_MIN_CHI,2025,1,MIN,CHI,-5.551115123125783e-17,-4.163336342344337e-17,1,1,-1.3877787807814457e-17,0,0,0,0,0,0,0,0,-0.3175662286939411,-1.5,-1.5,43.5,43.5,27.0,24.0,3.0,51.0,0.0,0.0,0.40733340004593027,-1.3877787807814457e-17,0,1,1,0,0,1,0,0,-1.2965437,43.594696,0.0,0.0,False,False,AWAY,OVER,WIN,WIN
2025_02_WAS_GB,2025,2,WAS,GB,0.0,-5.551115123125783e-17,3,4,5.551115123125783e-17,0,0,3,1,0,0,0,0,1.332403186002306,3.5,3.5,48.5,48.5,18.0,27.0,-9.0,45.0,0.0,0.0,0.7057850278370112,5.551115123125783e-17,-1,1,1,0,0,1,0,0,3.4242792,47.994003,0.0,0.0,False,False,HOME,UNDER,WIN,WIN
2025_02_CLE_BAL,2025,2,CLE,BAL,-2.775557561562892e-17,-5.551115123125783e-17,3,1,2.775557561562892e-17,0,0,3,4,0,0,0,0,0.6724154201238071,12.5,12.5,46.5,46.5,17.0,41.0,-24.0,58.0,0.0,0.0,0.9579122720843811,2.7755575615628907e-17,2,1,1,0,0,1,0,0,12.43415,46.445023,0.0,0.0,False,False,HOME,UNDER,WIN,LOSS
2025_02_JAX_CIN,2025,2,JAX,CIN,0.0,-2.775557561562892e-17,1,0,2.775557561562892e-17,0,1,0,5,0,0,0,0,0.6724154201238071,3.5,3.5,49.5,49.5,27.0,31.0,-4.0,58.0,0.0,0.0,0.7057850278370112,2.775557561562892e-17,1,1,0,0,0,1,0,0,3.5742373,48.986397,0.0,0.0,False,False,AWAY,UNDER,LOSS,LOSS
2025_02_NYG_DAL,2025,2,NYG,DAL,0.0,-5.551115123125783e-17,1,1,5.551115123125783e-17,0,0,0,4,0,0,0,0,1.332403186002306,4.5,4.5,44.5,44.5,37.0,40.0,-3.0,77.0,0.0,0.0,0.7549149868676283,5.551115123125783e-17,0,1,1,0,0,1,0,0,4.6320086,44.589085,0.0,0.0,False,False,AWAY,OVER,LOSS,WIN
2025_02_CHI_DET,2025,2,CHI,DET,-2.775557561562892e-17,-2.775557561562892e-17,1,1,0.0,0,0,0,0,0,0,0,0,0.0124276542453082,6.0,6.0,46.5,46.5,21.0,52.0,-31.0,73.0,0.0,0.0,0.8175744761936437,0.0,0,1,1,0,0,1,0,0,6.0261626,46.570885,0.0,0.0,False,False,AWAY,OVER,LOSS,WIN
2025_02_NE_MIA,2025,2,NE,MIA,0.0,-8.326672684688674e-17,1,1,8.326672684688674e-17,0,0,0,0,0,0,0,0,1.9923909518808047,1.5,1.5,43.5,43.5,33.0,27.0,6.0,60.0,0.0,0.0,0.5926665999540697,8.326672684688674e-17,0,1,1,0,0,1,0,0,1.5810884,43.73115,0.0,0.0,False,False,AWAY,OVER,WIN,WIN
2025_02_SF_NO,2025,2,SF,NO,-5.551115123125783e-17,-2.775557561562892e-17,1,1,-2.775557561562892e-17,0,0,0,0,0,0,0,0,-0.6475601116331906,-3.0,-3.0,40.5,40.5,26.0,21.0,5.0,47.0,0.0,0.0,0.320821300824607,-2.7755575615628907e-17,0,1,1,0,0,1,0,0,-2.8524706,40.50271,0.0,0.0,False,False,AWAY,OVER,WIN,WIN
2025_02_BUF_NYJ,2025,2,BUF,NYJ,-6.938893903907227e-17,0.0,3,1,-6.938893903907227e-17,0,0,3,0,1,0,0,0,-1.6375417604509388,-6.0,-6.0,47.5,47.5,30.0,10.0,20.0,40.0,0.0,0.0,0.18242552380635635,-6.938893903907227e-17,2,1,1,1,0,1,0,0,-5.7932553,46.54778,0.0,0.0,False,False,AWAY,UNDER,WIN,WIN
2025_02_SEA_PIT,2025,2,SEA,PIT,0.0,-8.326672684688674e-17,0,0,8.326672684688674e-17,1,1,5,5,0,0,0,0,1.9923909518808047,3.5,3.5,40.5,40.5,31.0,17.0,14.0,48.0,0.0,0.0,0.7057850278370112,8.326672684688674e-17,0,0,0,0,0,1,0,0,3.5377955,40.84481,0.0,0.0,False,False,AWAY,OVER,WIN,WIN
2025_02_LA_TEN,2025,2,LA,TEN,-5.551115123125783e-17,0.0,1,1,-5.551115123125783e-17,0,0,0,0,0,0,0,0,-1.307547877511689,-5.5,-5.5,41.5,41.5,33.0,19.0,14.0,52.0,0.0,0.0,0.20181322226037884,-5.551115123125783e-17,0,1,1,0,0,1,0,0,-5.3541346,41.638927,0.0,0.0,False,False,AWAY,OVER,WIN,WIN
2025_02_CAR_ARI,2025,2,CAR,ARI,0.0,-8.326672684688674e-17,1,1,8.326672684688674e-17,0,0,4,0,0,0,0,0,1.9923909518808047,7.0,7.0,45.5,45.5,22.0,27.0,-5.0,49.0,0.0,0.0,0.8519528019683106,8.326672684688674e-17,0,1,1,0,0,1,0,0,6.936994,45.156048,0.0,0.0,False,False,HOME,UNDER,WIN,LOSS
2025_02_DEN_IND,2025,2,DEN,IND,0.0,0.0,5,0,0.0,0,1,1,5,0,0,0,0,0.0124276542453082,-2.5,-2.5,43.5,43.5,28.0,29.0,-1.0,57.0,0.0,0.0,0.34864513533394575,0.0,5,1,0,0,0,1,0,0,-2.3940804,43.789196,0.0,0.0,False,False,AWAY,OVER,WIN,WIN
2025_02_PHI_KC,2025,2,PHI,KC,-2.775557561562892e-17,0.0,1,4,-2.775557561562892e-17,0,0,4,2,0,0,0,0,-0.6475601116331906,-1.5,-1.5,46.5,46.5,20.0,17.0,3.0,37.0,0.0,0.0,0.40733340004593027,-2.775557561562892e-17,-3,1,1,0,0,1,0,0,-1.3306706,46.693985,0.0,0.0,False,False,AWAY,OVER,WIN,LOSS
