away,home,Exp score (away-home),Model spread home-,Spread used (home-),Edge_pts,Model total,Total used,Edge_total_pts,Home win %,Home cover %,Over %,EV_spread,EV_total,Kelly_spread_pct,Kelly_total_pct,Stake_spread,Stake_total,Rec_spread,Rec_total,Best_bet
PIT,CIN,27.8-23.9,-4.168333375362616,-3.9419177418443,-0.22641563351831628,51.70956148786306,51.64451965935873,0.06504182850433438,35.4,23.6,50.4,0.4585454545454546,-0.03781818181818175,25.0,0.0,2500.0,0.0,"BET PIT +3.9 @ 25.0% (EV: +45.9%, Prob: 76.4%)",SKIP,"SPREAD: BET PIT +3.9 @ 25.0% (EV: +45.9%, Prob: 76.4%)"
LA,JAX,26.1-21.8,-4.242504744247131,3.0,-7.242504744247131,47.79022273960941,44.5,3.290222739609412,35.4,45.5,61.6,0.040454545454545354,0.17600000000000005,4.449999999999989,19.360000000000003,444.99999999999886,1936.0000000000002,"BET LA -3.0 @ 4.4% (EV: +4.0%, Prob: 54.5%)","BET OVER 44.5 @ 19.4% (EV: +17.6%, Prob: 61.6%)","TOTAL: BET OVER 44.5 @ 19.4% (EV: +17.6%, Prob: 61.6%)"
LV,KC,19.3-30.4,11.064110708908705,-12.0,23.064110708908707,49.72440181179751,45.5,4.224401811797513,83.9,46.3,64.9,0.025181818181818305,0.2390000000000001,2.7700000000000133,25.0,277.00000000000136,2500.0,"BET LV +12.0 @ 2.8% (EV: +2.5%, Prob: 53.7%)","BET OVER 45.5 @ 25.0% (EV: +23.9%, Prob: 64.9%)","TOTAL: BET OVER 45.5 @ 25.0% (EV: +23.9%, Prob: 64.9%)"
MIA,CLE,21.9-11.1,-10.762433269626177,-2.5,-8.262433269626177,32.92466813541863,35.0,-2.075331864581372,17.1,12.0,42.8,0.68,0.09200000000000019,25.0,10.12000000000002,2500.0,1012.000000000002,"BET MIA +2.5 @ 25.0% (EV: +68.0%, Prob: 88.0%)","BET UNDER 35.0 @ 10.1% (EV: +9.2%, Prob: 57.2%)","SPREAD: BET MIA +2.5 @ 25.0% (EV: +68.0%, Prob: 88.0%)"
NE,TEN,25.9-11.8,-14.11372598867775,7.0,-21.11372598867775,37.85477133219951,42.5,-4.645228667800488,10.3,26.3,33.9,0.40700000000000003,0.261909090909091,25.0,25.0,2500.0,2500.0,"BET NE -7.0 @ 25.0% (EV: +40.7%, Prob: 73.7%)","BET UNDER 42.5 @ 25.0% (EV: +26.2%, Prob: 66.1%)","SPREAD: BET NE -7.0 @ 25.0% (EV: +40.7%, Prob: 73.7%)"
NO,CHI,16.3-27.7,11.345993687820476,-4.0,15.345993687820476,44.12804831083586,44.5,-0.3719516891641419,84.0,74.0,48.4,0.4127272727272727,-0.014909090909090816,25.0,0.0,2500.0,0.0,"BET CHI -4.0 @ 25.0% (EV: +41.3%, Prob: 74.0%)",SKIP,"SPREAD: BET CHI -4.0 @ 25.0% (EV: +41.3%, Prob: 74.0%)"
PHI,MIN,25.1-24.5,-0.5449389484682042,2.0,-2.544938948468204,49.67982222334532,43.5,6.179822223345319,48.2,55.2,70.4,0.05381818181818199,0.3440000000000002,5.920000000000019,25.0,592.0000000000018,2500.0,"BET MIN +2.0 @ 5.9% (EV: +5.4%, Prob: 55.2%)","BET OVER 43.5 @ 25.0% (EV: +34.4%, Prob: 70.4%)","TOTAL: BET OVER 43.5 @ 25.0% (EV: +34.4%, Prob: 70.4%)"
CAR,NYJ,25.0-21.6,-3.4616004469709427,1.0,-4.461600446970943,46.58820505094056,41.0,5.588205050940559,38.0,41.7,68.9,0.11299999999999999,0.3153636363636365,12.429999999999998,25.0,1242.9999999999998,2500.0,"BET CAR -1.0 @ 12.4% (EV: +11.3%, Prob: 58.3%)","BET OVER 41.0 @ 25.0% (EV: +31.5%, Prob: 68.9%)","TOTAL: BET OVER 41.0 @ 25.0% (EV: +31.5%, Prob: 68.9%)"
IND,LAC,29.8-21.8,-8.277660752442603,-2.0,-6.277660752442603,51.62540273691359,48.5,3.1254027369135926,23.5,18.4,61.4,0.557818181818182,0.1721818181818182,25.0,18.94,2500.0,1894.0000000000002,"BET IND +2.0 @ 25.0% (EV: +55.8%, Prob: 81.6%)","BET OVER 48.5 @ 18.9% (EV: +17.2%, Prob: 61.4%)","SPREAD: BET IND +2.0 @ 25.0% (EV: +55.8%, Prob: 81.6%)"
NYG,DEN,18.8-22.2,3.447937093221081,-7.5,10.947937093221082,40.915855679243236,40.5,0.4158556792432364,62.2,35.9,51.6,0.22372727272727277,-0.014909090909090816,24.610000000000003,0.0,2461.0000000000005,0.0,"BET NYG +7.5 @ 24.6% (EV: +22.4%, Prob: 64.1%)",SKIP,"SPREAD: BET NYG +7.5 @ 24.6% (EV: +22.4%, Prob: 64.1%)"
WAS,DAL,28.4-33.4,4.888747399140225,-1.5,6.388747399140225,61.88877224381573,54.0,7.88877224381573,66.4,61.5,75.8,0.17409090909090907,0.4470909090909092,19.15,25.0,1914.9999999999998,2500.0,"BET DAL -1.5 @ 19.1% (EV: +17.4%, Prob: 61.5%)","BET OVER 54.0 @ 25.0% (EV: +44.7%, Prob: 75.8%)","TOTAL: BET OVER 54.0 @ 25.0% (EV: +44.7%, Prob: 75.8%)"
