week,games,winner_accuracy,avg_spread_error,avg_total_error,spread_bet_accuracy,spread_bets
1,16,62.5,10.209346929416924,21.194300733637277,68.75,16
2,16,75.0,9.488508246410976,13.20143648061602,50.0,16
3,16,50.0,11.762676359414339,15.047828754523003,68.75,16
4,16,68.75,7.874440835713478,11.881849140201759,31.25,16
5,14,35.714285714285715,11.59784182842009,8.99998916724079,42.857142857142854,14
6,15,66.66666666666666,8.462346406403293,13.410182738395577,53.333333333333336,15
7,15,86.66666666666667,7.955581311175449,12.186301071995599,46.666666666666664,15
