week,pass,game,away,home,bet_type,collected_at_utc,kickoff_utc,open_line,adj_line,bet_side,stake,edge_pts,weather_adj,injury_adj,close_line,actual_result,clv_points,result,profit
9,sunday,BAL@MIA,BAL,MIA,total,2025-10-28T16:26:33.126258+00:00,2025-11-02T18:00:00+00:00,48.68028259277344,45.7,under,5.0,2.9802825927734347,-2.9802825927734347,0.0,,,,,
9,sunday,CAR@GB,CAR,GB,total,2025-10-28T16:26:48.064088+00:00,2025-11-02T18:00:00+00:00,44.0,41.0,under,5.0,3.0,-3.0,0.0,,,,,
9,sunday,ATL@NE,ATL,NE,total,2025-10-28T16:26:59.083055+00:00,2025-11-02T18:00:00+00:00,45.0,42.0,under,5.0,3.0,-3.0,0.0,,,,,
9,sunday,SF@NYG,SF,NYG,total,2025-10-28T16:27:03.870062+00:00,2025-11-02T18:00:00+00:00,48.5,45.5,under,5.0,3.0,-3.0,0.0,,,,,
9,sunday,SEA@WAS,SEA,WAS,total,2025-10-28T16:27:35.608893+00:00,2025-11-02T18:00:00+00:00,45.5,42.5,under,5.0,3.0,-3.0,0.0,,,,,
