away,home,pred_score,actual_score,winner_correct,spread_error,total_error,model_spread,actual_margin,model_total,actual_total,spread_bet_correct,week
DAL,PHI,34.2-29.5,20-24,False,8.685232748955773,19.794870739404253,-4.685232748955773,4,63.79487073940425,44,True,1
KC,LAC,37.4-33.1,21-27,False,10.26294761253283,22.455295481959084,-4.262947612532831,6,70.45529548195908,48,True,1
TB,ATL,28.7-22.0,23-20,True,3.6621202370311483,7.712862871625312,-6.662120237031148,-3,50.71286287162531,43,False,1
CIN,CLE,29.0-17.8,17-16,True,10.163811279235633,13.79492157001831,-11.163811279235633,-1,46.79492157001831,33,True,1
MIA,IND,29.1-41.4,8-33,True,12.66157021718076,29.606152536352624,12.33842978281924,25,70.60615253635262,41,True,1
LV,NE,16.0-33.4,20-13,False,24.43145117580599,16.33158483512392,17.43145117580599,-7,49.33158483512392,33,False,1
ARI,NO,26.3-18.8,20-13,True,0.45802597866360717,11.96868819011381,-7.458025978663607,-7,44.96868819011381,33,True,1
PIT,NYJ,28.0-21.3,34-32,True,4.69501035451314,16.61478461170357,-6.69501035451314,-2,49.38521538829643,66,False,1
NYG,WAS,24.5-27.2,6-21,True,12.351832633565225,24.736374533498733,2.6481673664347753,15,51.73637453349873,27,True,1
CAR,JAX,24.3-24.4,10-26,True,15.854650164473506,12.753523509866781,0.1453498355264939,16,48.75352350986678,36,True,1
TEN,DEN,15.5-35.3,12-20,True,11.85080295816195,18.90790736650775,19.85080295816195,8,50.90790736650775,32,True,1
SF,SEA,23.4-33.6,17-13,False,14.127519174357486,27.02396799460844,10.127519174357486,-4,57.02396799460844,30,True,1
DET,GB,36.0-31.4,13-27,False,18.624357715140334,27.3729321885193,-4.6243577151403334,14,67.3729321885193,40,False,1
HOU,LA,31.6-36.8,9-14,True,0.17490426928441938,45.402667306170684,5.174904269284419,5,68.40266730617068,23,True,1
BAL,BUF,17.2-28.8,40-41,True,10.746153998925807,35.04580456511493,11.746153998925807,1,45.95419543488507,81,False,1
MIN,CHI,19.9-21.5,27-24,False,4.599160352843185,9.586473437608923,1.5991603528431848,-3,41.41352656239108,51,True,1
WAS,GB,30.5-31.4,18-27,True,8.026462849002428,16.72190005130853,0.9735371509975712,9,61.72190005130853,45,True,2
JAX,CIN,23.1-35.4,27-31,True,8.19700813913792,0.4871562921144914,12.19700813913792,4,58.48715629211449,58,True,2
NYG,DAL,28.7-40.7,37-40,True,9.141517248757498,7.626238712403008,12.141517248757498,3,69.37376128759699,77,False,2
CHI,DET,23.9-37.1,21-52,True,17.75501939862675,12.212066784665105,13.244980601373252,31,60.787933215334895,73,True,2
LA,TEN,35.0-16.6,33-19,True,4.382702281859839,0.45541653248788094,-18.38270228185984,-14,51.54458346751212,52,False,2
NE,MIA,32.3-30.4,33-27,True,4.329878839239109,2.552682799497177,-1.6701211607608908,-6,62.55268279949718,60,False,2
SF,NO,23.4-18.2,26-21,True,0.09975190196788208,5.459089332403167,-5.099751901967882,-5,41.54091066759683,47,True,2
BUF,NYJ,27.3-21.3,30-10,True,13.881644154833875,8.492529290094431,-6.118355845166124,-20,48.49252929009443,40,True,2
SEA,PIT,32.0-34.0,31-17,False,16.056587321707294,18.159198612392117,2.056587321707295,-14,66.15919861239212,48,False,2
CLE,BAL,17.3-18.5,17-41,True,22.75035819129842,22.179813192481475,1.2496418087015788,24,35.820186807518525,58,False,2
DEN,IND,34.0-41.7,28-29,True,6.682216089990667,18.626863559625733,7.682216089990667,1,75.62686355962573,57,True,2
CAR,ARI,24.2-27.7,22-27,True,1.4300726497419083,3.0909703636187444,3.5699273502580917,5,52.090970363618744,49,True,2
PHI,KC,33.1-39.6,20-17,False,9.54506136208191,35.61434224940781,6.545061362081909,-3,72.61434224940781,37,False,2
ATL,MIN,20.7-24.7,22-6,False,20.23181391722932,17.38257523600832,4.23181391722932,-16,45.38257523600832,28,False,2
TB,HOU,28.5-33.0,20-19,False,5.558100823959382,22.548600720403925,4.558100823959382,-1,61.548600720403925,39,False,2
LAC,LV,31.7-17.0,20-9,True,3.7479367731414293,19.613539960944387,-14.74793677314143,-11,48.61353996094439,29,True,2
MIA,BUF,24.8-28.5,21-31,True,6.3151649370063865,1.2852689777540718,3.684835062993614,10,53.28526897775407,52,True,3
GB,CLE,25.7-17.8,10-13,False,10.849659431491524,20.419616264324873,-7.849659431491523,3,43.41961626432487,23,True,3
IND,TEN,39.8-17.0,41-20,True,1.746161201423753,4.104207598050522,-22.746161201423753,-21,56.89579240194948,61,True,3
CIN,MIN,34.0-24.7,10-48,False,47.25154127572362,0.6868455271833795,-9.25154127572362,38,58.68684552718338,58,True,3
PIT,NE,32.8-33.0,21-14,False,7.286346308886027,30.8553037076439,0.2863463088860269,-7,65.8553037076439,35,False,3
LA,PHI,30.2-29.5,26-33,False,7.638372047737674,0.6669200769346872,-0.6383720477376736,7,59.66692007693469,59,True,3
NYJ,TB,21.5-27.3,27-29,True,3.840349488801852,7.040226952314811,5.840349488801852,2,48.95977304768519,56,False,3
LV,WAS,14.1-27.2,24-41,True,3.8644344726893785,23.658287950576003,13.135565527310622,17,41.341712049424,65,True,3
ATL,CAR,20.0-24.6,0-30,True,25.26958965205155,14.550233672459612,4.73041034794845,30,44.55023367245961,30,True,3
HOU,JAX,31.8-24.4,10-17,False,14.337666618289749,29.276792502775336,-7.337666618289748,7,56.276792502775336,27,False,3
DEN,LAC,34.0-33.1,20-23,False,3.904759140297554,24.012083571006826,-0.904759140297554,3,67.01208357100683,43,False,3
