game_id,season,week,away,home,ol_pass_stress_away,ol_pass_stress_home,ol_chaos_index_away,ol_chaos_index_home,stress_diff,away_ol_continuity_full,home_ol_continuity_full,away_ol_continuity_count,home_ol_continuity_count,away_center_missing,home_center_missing,away_left_tackle_missing,home_left_tackle_missing,stress_z_score,spread_home_first,spread_home_last,total_first,total_last,spread_movement,total_movement,days_tracked,away_score,home_score,actual_margin,actual_total,spread_direction,predicted_direction,predicted_spread_close,bet,bet_side,clv,result
2024_01_BAL_KC,2024,1,BAL,KC,-5.551115123125783e-17,-2.775557561562892e-17,1,1,-2.775557561562892e-17,0,0,0,0,0,0,0,0,-0.6475601116331906,-3.0,-3.0,46.5,47.0,0.0,0.5,4,20.0,27.0,-7.0,47.0,0,0,-4.5,True,HOME,0.0,WIN
2024_01_GB_PHI,2024,1,GB,PHI,-5.551115123125783e-17,0.0,1,1,-5.551115123125783e-17,0,0,0,0,0,1,0,0,-1.307547877511689,-2.5,-2.0,48.5,49.5,0.5,1.0,5,29.0,34.0,-5.0,63.0,1,0,-4.0,True,HOME,-0.5,WIN
2024_01_PIT_ATL,2024,1,PIT,ATL,0.0,0.0,1,1,0.0,0,0,0,0,0,0,0,0,0.0124276542453082,-3.0,-4.0,41.0,42.0,-1.0,1.0,7,18.0,10.0,8.0,28.0,0,0,-4.5,True,HOME,1.0,LOSS
2024_01_ARI_BUF,2024,1,ARI,BUF,-8.326672684688674e-17,0.0,1,1,-8.326672684688674e-17,0,0,0,0,0,0,0,0,-1.9675356433901885,-6.0,-6.5,48.0,46.5,-0.5,-1.5,7,28.0,34.0,-6.0,62.0,0,0,-7.5,True,HOME,0.5,PUSH
2024_01_TEN_CHI,2024,1,TEN,CHI,0.0,-2.775557561562892e-17,1,1,2.775557561562892e-17,0,0,0,0,0,0,0,0,0.6724154201238071,-4.5,-4.0,45.5,44.0,0.5,-1.5,7,17.0,24.0,-7.0,41.0,1,0,-6.0,True,HOME,-0.5,WIN
2024_01_NE_CIN,2024,1,NE,CIN,-5.551115123125783e-17,-5.551115123125783e-17,1,1,0.0,0,0,0,0,0,0,0,0,0.0124276542453082,-8.5,-7.5,40.5,41.0,1.0,0.5,7,16.0,10.0,6.0,26.0,1,0,-10.0,True,HOME,-1.0,LOSS
2024_01_HOU_IND,2024,1,HOU,IND,0.0,0.0,1,1,0.0,0,0,0,0,0,0,0,0,0.0124276542453082,2.5,3.0,48.5,49.0,0.5,0.5,7,29.0,27.0,2.0,56.0,1,0,1.0,True,HOME,-0.5,WIN
2024_01_JAX_MIA,2024,1,JAX,MIA,-5.551115123125783e-17,-5.551115123125783e-17,1,1,0.0,0,0,0,0,0,1,0,0,0.0124276542453082,-3.5,-3.5,49.5,49.5,0.0,0.0,7,17.0,20.0,-3.0,37.0,0,0,-5.0,True,HOME,0.0,LOSS
2024_01_CAR_NO,2024,1,CAR,NO,-8.326672684688674e-17,-2.775557561562892e-17,1,1,-5.551115123125783e-17,0,0,0,0,0,0,0,0,-1.307547877511689,-4.5,-3.5,40.0,41.5,1.0,1.5,7,10.0,47.0,-37.0,57.0,1,1,-3.0,True,AWAY,1.0,LOSS
2024_01_MIN_NYG,2024,1,MIN,NYG,-4.163336342344337e-17,0.0,1,1,-4.163336342344337e-17,0,0,0,0,0,0,0,0,-0.97755399457244,1.0,1.5,41.5,41.0,0.5,-0.5,7,28.0,6.0,22.0,34.0,1,0,-0.5,True,HOME,-0.5,LOSS
2024_01_LV_LAC,2024,1,LV,LAC,-2.775557561562892e-17,-2.775557561562892e-17,1,1,0.0,0,0,0,0,0,0,0,0,0.0124276542453082,-3.0,-2.5,41.5,40.0,0.5,-1.5,7,10.0,22.0,-12.0,32.0,1,0,-4.5,True,HOME,-0.5,WIN
2024_01_DEN_SEA,2024,1,DEN,SEA,-2.775557561562892e-17,0.0,1,1,-2.775557561562892e-17,0,0,0,0,0,0,0,0,-0.6475601116331906,-5.5,-6.0,42.0,42.0,-0.5,0.0,7,20.0,26.0,-6.0,46.0,0,0,-7.0,True,HOME,0.5,WIN
2024_01_DAL_CLE,2024,1,DAL,CLE,-5.551115123125783e-17,-5.551115123125783e-17,1,1,0.0,0,0,0,0,1,0,0,0,0.0124276542453082,-2.5,-2.5,42.0,41.0,0.0,-1.0,7,33.0,17.0,16.0,50.0,0,0,-4.0,True,HOME,0.0,LOSS
2024_01_WAS_TB,2024,1,WAS,TB,0.0,0.0,1,1,0.0,0,0,0,0,0,0,0,0,0.0124276542453082,-3.5,-4.0,44.0,42.5,-0.5,-1.5,7,20.0,37.0,-17.0,57.0,0,0,-5.0,True,HOME,0.5,WIN
2024_01_NYJ_SF,2024,1,NYJ,SF,0.0,0.0,1,1,0.0,0,0,0,0,0,0,0,0,0.0124276542453082,-3.5,-4.0,43.5,43.0,-0.5,-0.5,8,19.0,32.0,-13.0,51.0,0,0,-5.0,True,HOME,0.5,WIN
2024_02_BUF_MIA,2024,2,BUF,MIA,0.0,0.0,3,4,0.0,0,0,3,2,0,1,0,0,0.0124276542453082,-1.0,-2.5,51.0,48.5,-1.5,-2.5,11,31.0,10.0,21.0,41.0,0,0,-2.5,True,HOME,1.5,LOSS
2024_02_LV_BAL,2024,2,LV,BAL,-5.551115123125783e-17,-4.163336342344337e-17,5,0,-1.3877787807814457e-17,0,1,1,5,0,0,0,0,-0.3175662286939411,-7.5,-9.5,44.5,41.5,-2.0,-3.0,9,26.0,23.0,3.0,49.0,0,1,-6.0,True,AWAY,-2.0,WIN
2024_02_LAC_CAR,2024,2,LAC,CAR,0.0,-2.775557561562892e-17,3,3,2.775557561562892e-17,0,0,3,3,0,0,0,0,0.6724154201238071,3.5,6.5,41.5,39.0,3.0,-2.5,9,26.0,3.0,23.0,29.0,1,0,2.0,True,HOME,-3.0,LOSS
2024_02_NO_DAL,2024,2,NO,DAL,-4.163336342344337e-17,-1.3877787807814457e-17,2,4,-2.775557561562892e-17,0,0,3,2,0,1,0,0,-0.6475601116331906,-6.0,-6.5,44.5,45.5,-0.5,1.0,9,44.0,19.0,25.0,63.0,0,0,-7.5,True,HOME,0.5,LOSS
2024_02_TB_DET,2024,2,TB,DET,-5.551115123125783e-17,0.0,1,0,-5.551115123125783e-17,0,1,4,5,0,0,0,0,-1.307547877511689,-6.5,-7.0,48.5,51.0,-0.5,2.5,9,20.0,16.0,4.0,36.0,0,1,-5.0,True,AWAY,-0.5,WIN
2024_02_IND_GB,2024,2,IND,GB,-4.163336342344337e-17,0.0,0,0,-4.163336342344337e-17,1,1,5,5,0,0,0,0,-0.97755399457244,-4.5,2.5,47.0,40.5,7.0,-6.5,14,10.0,16.0,-6.0,26.0,1,0,-6.0,True,HOME,-7.0,WIN
2024_02_CLE_JAX,2024,2,CLE,JAX,-8.326672684688674e-17,0.0,3,3,-8.326672684688674e-17,0,0,3,3,0,0,0,0,-1.9675356433901885,-2.0,-3.5,44.5,41.5,-1.5,-3.0,9,18.0,13.0,5.0,31.0,0,0,-3.5,True,HOME,1.5,LOSS
2024_02_SF_MIN,2024,2,SF,MIN,-5.551115123125783e-17,0.0,3,3,-5.551115123125783e-17,0,0,3,3,0,0,0,0,-1.307547877511689,6.5,5.5,46.5,45.5,-1.0,-1.0,8,17.0,23.0,-6.0,40.0,0,0,5.0,True,HOME,1.0,WIN
2024_02_SEA_NE,2024,2,SEA,NE,0.0,-5.551115123125783e-17,3,3,5.551115123125783e-17,0,0,3,3,0,0,0,0,1.332403186002306,3.0,3.0,41.0,38.0,0.0,-3.0,9,23.0,20.0,3.0,43.0,0,0,1.5,True,HOME,0.0,PUSH
2024_02_NYJ_TEN,2024,2,NYJ,TEN,-8.326672684688674e-17,0.0,0,1,-8.326672684688674e-17,1,0,5,0,0,0,0,0,-1.9675356433901885,4.0,4.0,43.5,43.5,0.0,0.0,8,24.0,17.0,7.0,41.0,0,0,2.5,True,HOME,0.0,LOSS
2024_02_NYG_WAS,2024,2,NYG,WAS,-2.775557561562892e-17,0.0,0,0,-2.775557561562892e-17,1,1,5,5,0,0,0,0,-0.6475601116331906,-2.5,-2.5,42.0,44.0,0.0,2.0,9,18.0,21.0,-3.0,39.0,0,1,-1.0,True,AWAY,0.0,LOSS
2024_02_PIT_DEN,2024,2,PIT,DEN,-2.775557561562892e-17,-5.551115123125783e-17,3,3,2.775557561562892e-17,0,0,2,3,0,0,0,0,0.6724154201238071,3.0,3.0,40.5,36.5,0.0,-4.0,9,13.0,6.0,7.0,19.0,0,0,1.5,True,HOME,0.0,LOSS
2024_02_CIN_KC,2024,2,CIN,KC,-5.551115123125783e-17,-8.326672684688674e-17,0,0,2.775557561562892e-17,1,1,5,5,0,0,0,0,0.6724154201238071,-3.5,-4.0,48.5,48.5,-0.5,0.0,7,25.0,26.0,-1.0,51.0,0,0,-5.0,True,HOME,0.5,LOSS
2024_02_CHI_HOU,2024,2,CHI,HOU,0.0,0.0,3,5,0.0,0,0,3,0,0,0,0,0,0.0124276542453082,-3.5,-6.5,47.0,45.5,-3.0,-1.5,14,13.0,19.0,-6.0,32.0,0,0,-5.0,True,HOME,3.0,WIN
