week,game,bet_type,side,line,edge,result,profit,actual_margin,predicted_margin,actual_total,predicted_total
7,NYG@DEN,spread,home,-7.0,5.0,WIN,90.9,1.0,12.0,,
7,NYG@DEN,total,over,39.5,21.98996353149414,WIN,90.9,,,65.0,61.48996353149414
7,IND@LAC,spread,away,1.5,7.5,WIN,90.9,-14.0,-6.0,,
7,IND@LAC,total,over,48.5,12.910541534423828,WIN,90.9,,,62.0,61.41054153442383
7,WAS@DAL,spread,home,2.5,10.208671569824219,WIN,90.9,22.0,7.708671569824219,,
7,WAS@DAL,total,over,54.5,23.5,WIN,90.9,,,66.0,78.0
7,GB@ARI,spread,away,-6.5,2.3750979900360107,WIN,90.9,-4.0,-8.87509799003601,,
7,GB@ARI,total,over,45.5,5.756845951080322,WIN,90.9,,,50.0,51.25684595108032
7,ATL@SF,spread,home,-2.5,8.790971755981445,WIN,90.9,10.0,11.290971755981445,,
7,ATL@SF,total,under,47.5,15.0,WIN,90.9,,,30.0,32.5
7,TB@DET,spread,home,-5.5,9.7908935546875,WIN,90.9,15.0,15.2908935546875,,
7,TB@DET,total,under,52.5,12.166666984558105,WIN,90.9,,,33.0,40.333333015441895
7,HOU@SEA,spread,home,-3.0,5.0,WIN,90.9,8.0,8.0,,
7,HOU@SEA,total,under,41.5,3.08772873878479,LOSS,-110.0,,,46.0,38.41227126121521
