away,home,Exp score (away-home),Model spread home-,Spread used (home-),Edge_pts,Model total,Total used,Edge_total_pts,Home win %,Home cover %,Over %,EV_spread,EV_total,Kelly_spread_pct,Kelly_total_pct,Stake_spread,Stake_total,Rec_spread,Rec_total,Best_bet
MIN,LAC,23.9-22.7,-1.2847028346301057,-3.0,1.7152971653698943,46.53321172389611,44.5,2.033211723896109,45.5,35.5,57.4,0.23136363636363644,0.0958181818181818,25.0,10.539999999999997,2500.0,1053.9999999999998,"BET MIN +3.0 @ 25.0% (EV: +23.1%, Prob: 64.5%)","BET OVER 44.5 @ 10.5% (EV: +9.6%, Prob: 57.4%)","SPREAD: BET MIN +3.0 @ 25.0% (EV: +23.1%, Prob: 64.5%)"
MIA,ATL,20.6-17.0,-3.59769941678468,-7.5,3.90230058321532,37.72809101105388,44.5,-6.771908988946123,37.6,16.3,27.6,0.597909090909091,0.3821818181818182,25.0,25.0,2500.0,2500.0,"BET MIA +7.5 @ 25.0% (EV: +59.8%, Prob: 83.7%)","BET UNDER 44.5 @ 25.0% (EV: +38.2%, Prob: 72.4%)","SPREAD: BET MIA +7.5 @ 25.0% (EV: +59.8%, Prob: 83.7%)"
CHI,BAL,24.3-18.6,-5.673548689351224,-6.5,0.8264513106487756,42.95579467138828,47.5,-4.544205328611717,30.7,14.2,34.5,0.638,0.2504545454545456,25.0,25.0,2500.0,2500.0,"BET CHI +6.5 @ 25.0% (EV: +63.8%, Prob: 85.8%)","BET UNDER 47.5 @ 25.0% (EV: +25.0%, Prob: 65.5%)","SPREAD: BET CHI +6.5 @ 25.0% (EV: +63.8%, Prob: 85.8%)"
BUF,CAR,26.2-23.2,-2.960420246172279,7.5,-10.46042024617228,49.355353252732854,47.5,1.8553532527328542,39.7,65.7,56.5,0.25427272727272743,0.07863636363636362,25.0,8.649999999999997,2500.0,864.9999999999997,"BET CAR +7.5 @ 25.0% (EV: +25.4%, Prob: 65.7%)","BET OVER 47.5 @ 8.6% (EV: +7.9%, Prob: 56.5%)","SPREAD: BET CAR +7.5 @ 25.0% (EV: +25.4%, Prob: 65.7%)"
NYJ,CIN,15.2-22.9,7.721457895050163,-6.5,14.221457895050163,38.0412248972239,44.5,-6.458775102776102,75.1,54.1,28.3,0.03281818181818191,0.3688181818181818,3.6100000000000105,25.0,361.000000000001,2500.0,"BET CIN -6.5 @ 3.6% (EV: +3.3%, Prob: 54.1%)","BET UNDER 44.5 @ 25.0% (EV: +36.9%, Prob: 71.7%)","TOTAL: BET UNDER 44.5 @ 25.0% (EV: +36.9%, Prob: 71.7%)"
CLE,NE,13.8-27.2,13.350286433734452,-7.0,20.350286433734453,40.91676671267763,40.5,0.416766712677628,88.1,71.2,51.3,0.3592727272727275,-0.020636363636363564,25.0,0.0,2500.0,0.0,"BET NE -7.0 @ 25.0% (EV: +35.9%, Prob: 71.2%)",SKIP,"SPREAD: BET NE -7.0 @ 25.0% (EV: +35.9%, Prob: 71.2%)"
SF,HOU,19.7-24.0,4.318323096236901,-1.5,5.818323096236901,43.648939498990515,41.5,2.148939498990515,65.0,60.0,57.5,0.1454545454545455,0.09772727272727266,16.000000000000004,10.749999999999991,1600.0000000000002,1074.999999999999,"BET HOU -1.5 @ 16.0% (EV: +14.5%, Prob: 60.0%)","BET OVER 41.5 @ 10.7% (EV: +9.8%, Prob: 57.5%)","SPREAD: BET HOU -1.5 @ 16.0% (EV: +14.5%, Prob: 60.0%)"
NYG,PHI,23.5-25.0,1.5990502323181495,-7.5,9.099050232318149,48.48469945401181,44.0,4.48469945401181,55.5,30.2,65.4,0.3325454545454545,0.24854545454545462,25.0,25.0,2500.0,2500.0,"BET NYG +7.5 @ 25.0% (EV: +33.3%, Prob: 69.8%)","BET OVER 44.0 @ 25.0% (EV: +24.9%, Prob: 65.4%)","SPREAD: BET NYG +7.5 @ 25.0% (EV: +33.3%, Prob: 69.8%)"
TB,NO,25.1-17.6,-7.494616888464095,4.0,-11.494616888464094,42.70863336737582,46.5,-3.7913666326241824,25.1,38.1,37.3,0.18172727272727274,0.19700000000000006,19.99,21.670000000000005,1999.0,2167.0000000000005,"BET TB -4.0 @ 20.0% (EV: +18.2%, Prob: 61.9%)","BET UNDER 46.5 @ 21.7% (EV: +19.7%, Prob: 62.7%)","TOTAL: BET UNDER 46.5 @ 21.7% (EV: +19.7%, Prob: 62.7%)"
DAL,DEN,36.2-24.5,-11.5472836331996,-3.5,-8.0472836331996,60.7418806095366,50.5,10.2418806095366,15.5,9.1,82.0,0.7353636363636364,0.5654545454545454,25.0,25.0,2500.0,2500.0,"BET DAL +3.5 @ 25.0% (EV: +73.5%, Prob: 90.9%)","BET OVER 50.5 @ 25.0% (EV: +56.5%, Prob: 82.0%)","SPREAD: BET DAL +3.5 @ 25.0% (EV: +73.5%, Prob: 90.9%)"
