week,game,bet_type,bet_side,line,edge,stake,result,profit,actual_margin,actual_total,predicted_margin,predicted_total,confidence,clv
1,DAL@PHI,spread,home,-8.5,1.1444301753132677,67.5,WIN,61.3575,4,44,-7.355569824686732,53.08846122182128,0.675,0.0
1,DAL@PHI,total,over,48.5,4.588461221821277,67.5,LOSS,-67.5,4,44,-7.355569824686732,53.08846122182128,0.675,0.0
1,KC@LAC,spread,away,3.0,2.1788842837598494,67.5,LOSS,-67.5,6,48,0.8211157162401506,53.68658864458772,0.675,-0.0
1,KC@LAC,total,over,46.5,7.186588644587722,67.5,WIN,61.3575,6,48,0.8211157162401506,53.68658864458772,0.675,0.0
1,TB@ATL,spread,away,1.5,2.4486360711093442,72.5,WIN,65.9025,-3,43,-0.9486360711093442,47.76385886148759,0.725,-0.0
1,CIN@CLE,spread,away,5.5,4.999143383770689,72.5,WIN,65.9025,-1,33,0.5008566162293109,47.98847647100549,0.725,-0.0
1,MIA@IND,spread,home,-1.5,4.151528934845772,72.5,WIN,65.9025,25,41,2.6515289348457722,54.43184576090579,0.725,0.0
1,MIA@IND,total,over,47.5,6.931845760905787,72.5,LOSS,-72.5,25,41,2.6515289348457722,54.43184576090579,0.725,0.0
1,LV@NE,spread,home,-2.5,5.979435352741796,72.5,LOSS,-72.5,-7,33,3.4794353527417963,45.249475450537176,0.725,0.0
1,LV@NE,total,over,43.5,1.749475450537176,72.5,LOSS,-72.5,-7,33,3.4794353527417963,45.249475450537176,0.725,0.0
1,ARI@NO,spread,away,6.5,4.187407793599082,72.5,WIN,65.9025,-7,33,2.312592206400918,43.94060645703414,0.725,-0.0
1,PIT@NYJ,spread,away,2.5,2.7585031063539422,72.5,WIN,65.9025,-2,66,-0.25850310635394225,41.76556461648893,0.725,-0.0
1,PIT@NYJ,total,over,38.5,3.2655646164889305,72.5,WIN,65.9025,-2,66,-0.25850310635394225,41.76556461648893,0.725,0.0
1,TEN@DEN,spread,home,-8.5,8.505240887448585,72.5,WIN,65.9025,8,32,0.00524088744858453,45.02237220995232,0.725,0.0
1,TEN@DEN,total,over,42.5,2.522372209952323,72.5,LOSS,-72.5,8,32,0.00524088744858453,45.02237220995232,0.725,0.0
1,SF@SEA,spread,home,2.5,2.2882557523072453,72.5,LOSS,-72.5,-4,30,4.788255752307245,47.55719039838253,0.725,0.0
1,SF@SEA,total,over,43.5,4.057190398382531,72.5,LOSS,-72.5,-4,30,4.788255752307245,47.55719039838253,0.725,0.0
1,DET@GB,total,over,47.5,5.961879656555787,67.5,LOSS,-67.5,14,40,-3.1373073145420998,53.46187965655579,0.675,0.0
1,BAL@BUF,spread,home,1.5,3.0738461996777424,72.5,LOSS,-72.5,1,81,4.573846199677742,49.13625863046552,0.725,0.0
2,JAX@CIN,spread,home,-3.5,4.709102441741376,72.5,WIN,65.9025,4,58,1.2091024417413756,51.496146887634346,0.725,0.0
2,JAX@CIN,total,over,48.5,2.996146887634346,72.5,WIN,65.9025,4,58,1.2091024417413756,51.496146887634346,0.725,0.0
2,NYG@DAL,spread,home,-4.5,4.992455174627249,72.5,WIN,65.9025,3,77,0.4924551746272492,51.9621283862791,0.725,0.0
2,NYG@DAL,total,over,44.5,7.4621283862790975,72.5,WIN,65.9025,3,77,0.4924551746272492,51.9621283862791,0.725,0.0
2,CHI@DET,spread,home,-6.0,5.773494180411975,72.5,WIN,65.9025,31,73,-0.2265058195880254,50.78637996460047,0.725,0.0
2,CHI@DET,total,over,46.5,4.286379964600471,72.5,WIN,65.9025,31,73,-0.2265058195880254,50.78637996460047,0.725,0.0
2,NE@MIA,total,over,43.5,5.715804839849156,62.5,WIN,56.8125,-6,60,-1.5510363482282672,49.215804839849156,0.625,0.0
2,SF@NO,spread,away,3.0,2.429925570590364,67.5,WIN,61.3575,-5,47,0.5700744294096358,40.81227320027905,0.675,-0.0
2,BUF@NYJ,spread,away,6.5,3.7855067535498375,72.5,WIN,65.9025,-20,40,2.7144932464501625,47.097758787028326,0.725,-0.0
2,SEA@PIT,spread,home,-3.0,1.5169761965121884,62.5,LOSS,-62.5,-14,48,-1.4830238034878116,47.49775958371764,0.625,0.0
2,SEA@PIT,total,over,39.5,7.997759583717638,62.5,WIN,56.8125,-14,48,-1.4830238034878116,47.49775958371764,0.625,0.0
2,CLE@BAL,spread,home,-11.5,3.824892542610474,62.5,WIN,56.8125,24,58,-7.675107457389526,41.89605604225556,0.625,0.0
2,CLE@BAL,total,under,44.5,2.603943957744441,62.5,LOSS,-62.5,24,58,-7.675107457389526,41.89605604225556,0.625,-0.0
2,DEN@IND,spread,home,1.5,1.8546648269972001,72.5,LOSS,-72.5,1,57,3.3546648269972,52.43805906788772,0.725,0.0
2,DEN@IND,total,over,42.5,9.938059067887721,72.5,WIN,65.9025,1,57,3.3546648269972,52.43805906788772,0.725,0.0
2,CAR@ARI,spread,home,-6.5,3.020978205077427,67.5,WIN,61.3575,5,49,-3.479021794922573,46.07729110908562,0.675,0.0
2,CAR@ARI,total,over,43.5,2.577291109085621,67.5,WIN,61.3575,5,49,-3.479021794922573,46.07729110908562,0.675,0.0
2,PHI@KC,spread,home,1.5,1.5135184086245728,72.5,LOSS,-72.5,-3,37,3.0135184086245728,54.33430267482234,0.725,0.0
2,PHI@KC,total,over,46.5,7.834302674822339,72.5,LOSS,-72.5,-3,37,3.0135184086245728,54.33430267482234,0.725,0.0
2,ATL@MIN,spread,home,-3.5,2.319544175168796,67.5,LOSS,-67.5,-16,28,-1.180455824831204,44.7647725708025,0.675,0.0
2,TB@HOU,spread,home,-2.5,2.1174302471878144,67.5,WIN,61.3575,-1,39,-0.38256975281218564,48.21458021612118,0.675,0.0
2,TB@HOU,total,over,42.5,5.714580216121178,67.5,LOSS,-67.5,-1,39,-0.38256975281218564,48.21458021612118,0.675,0.0
2,LAC@LV,spread,away,3.0,5.324381031942429,72.5,WIN,65.9025,-11,29,-2.324381031942429,47.134061988283314,0.725,0.5
3,MIA@BUF,spread,home,-12.5,4.855450518898084,67.5,WIN,61.3575,10,52,-7.644549481101916,50.63558069332622,0.675,0.0
3,GB@CLE,spread,away,8.5,4.9048978294474574,72.5,WIN,65.9025,3,23,3.5951021705525426,42.07588487929746,0.725,-0.0
3,IND@TEN,spread,away,4.5,8.173848360427126,72.5,WIN,65.9025,-21,61,-3.673848360427126,47.518737720584845,0.725,-0.0
3,IND@TEN,total,over,43.5,4.018737720584845,72.5,WIN,65.9025,-21,61,-3.673848360427126,47.518737720584845,0.725,0.0
3,CIN@MIN,spread,away,-3.0,1.8754623827170853,72.5,LOSS,-72.5,38,58,-4.875462382717085,47.35605365815501,0.725,-0.0
3,CIN@MIN,total,over,42.5,4.856053658155012,72.5,WIN,65.9025,38,58,-4.875462382717085,47.35605365815501,0.725,0.0
3,PIT@NE,total,over,44.5,6.406591112293171,62.5,LOSS,-62.5,-7,35,1.135903892665808,50.90659111229317,0.625,0.0
3,NYJ@TB,spread,home,-7.0,3.8521048466405556,67.5,WIN,61.3575,2,56,-3.1478951533594444,45.137931914305554,0.675,0.0
3,NYJ@TB,total,over,43.5,1.637931914305554,67.5,WIN,61.3575,2,56,-3.1478951533594444,45.137931914305554,0.675,0.0
3,HOU@JAX,spread,away,-1.5,1.7512999854869244,72.5,LOSS,-72.5,7,27,-3.2512999854869244,47.3330377508326,0.725,-0.0
3,HOU@JAX,total,over,43.5,3.8330377508326023,72.5,LOSS,-72.5,7,27,-3.2512999854869244,47.3330377508326,0.725,0.0
3,DEN@LAC,total,over,45.5,6.453625071302049,62.5,LOSS,-62.5,3,43,-2.021427742089266,51.95362507130205,0.625,0.0
3,NO@SEA,spread,home,-7.0,7.203444434281785,72.5,WIN,65.9025,31,57,0.20344443428178494,43.9651627279282,0.725,0.0
3,NO@SEA,total,over,41.5,2.4651627279282025,72.5,WIN,65.9025,31,57,0.20344443428178494,43.9651627279282,0.725,0.0
3,DAL@CHI,spread,away,1.5,4.122664144199474,72.5,LOSS,-72.5,17,45,-2.622664144199474,52.07110163484973,0.725,-0.0
3,DAL@CHI,total,over,50.5,1.5711016348497324,72.5,LOSS,-72.5,17,45,-2.622664144199474,52.07110163484973,0.725,0.0
3,ARI@SF,total,over,44.5,1.955455387173032,55.00000000000001,LOSS,-55.00000000000001,1,31,-2.6067756940013895,46.45545538717303,0.55,0.0
3,KC@NYG,spread,away,6.0,3.939909444864307,72.5,WIN,65.9025,-13,31,2.060090555135693,49.32273277883315,0.725,-0.0
3,KC@NYG,total,over,45.5,3.8227327788331493,72.5,LOSS,-72.5,-13,31,2.060090555135693,49.32273277883315,0.725,0.0
3,DET@BAL,spread,away,-4.5,2.283547193814343,72.5,WIN,65.9025,-8,68,-6.783547193814343,52.171285091524496,0.725,-0.0
4,SEA@ARI,spread,away,1.5,1.7812528223253439,67.5,WIN,61.3575,-3,43,-0.2812528223253439,48.435184242507034,0.675,-0.0
4,SEA@ARI,total,over,43.5,4.9351842425070345,67.5,LOSS,-67.5,-3,43,-0.2812528223253439,48.435184242507034,0.675,0.0
4,MIN@PIT,spread,home,2.5,2.462633105595316,72.5,WIN,65.9025,3,45,4.962633105595316,45.59073092145417,0.725,0.0
4,MIN@PIT,total,over,40.5,5.090730921454167,72.5,WIN,65.9025,3,45,4.962633105595316,45.59073092145417,0.725,0.0
4,NO@BUF,spread,home,-15.5,8.903757854079178,72.5,WIN,65.9025,12,50,-6.596242145920822,46.40753895434509,0.725,0.0
4,CLE@DET,spread,home,-10.0,8.32818077459357,72.5,WIN,65.9025,24,44,-1.6718192254064306,48.11403729265464,0.725,0.0
4,CLE@DET,total,over,44.5,3.6140372926546434,72.5,LOSS,-72.5,24,44,-1.6718192254064306,48.11403729265464,0.725,0.0
4,CAR@NE,spread,home,-4.5,4.203771919493924,72.5,WIN,65.9025,29,55,-0.29622808050607574,47.062060525625505,0.725,0.0
4,CAR@NE,total,over,42.5,4.562060525625505,72.5,WIN,65.9025,29,55,-0.29622808050607574,47.062060525625505,0.725,0.0
4,LAC@NYG,spread,away,6.0,2.0869940798154247,55.00000000000001,WIN,49.99500000000001,3,39,3.9130059201845753,46.35086448789732,0.55,-0.0
4,LAC@NYG,total,over,43.5,2.8508644878973186,55.00000000000001,LOSS,-55.00000000000001,3,39,3.9130059201845753,46.35086448789732,0.55,0.0
4,PHI@TB,spread,away,3.5,1.9697465249414914,67.5,WIN,61.3575,-6,56,1.5302534750585086,47.73476426676126,0.675,-0.0
4,PHI@TB,total,over,43.5,4.23476426676126,67.5,WIN,61.3575,-6,56,1.5302534750585086,47.73476426676126,0.675,0.0
4,TEN@HOU,spread,home,-7.0,7.528866966440207,72.5,WIN,65.9025,26,26,0.5288669664402068,41.30521191346318,0.725,0.0
4,TEN@HOU,total,over,38.5,2.8052119134631823,72.5,LOSS,-72.5,26,26,0.5288669664402068,41.30521191346318,0.725,0.0
