away,home,Model spread home-,Spread used (home-),Edge_pts,Model total,Total used,Edge_total_pts
BAL,MIA,11.300598638239434,11.30765438079834,-0.007055742558906175,38.08440378123987,38.10102462768555,-0.016620846445675852
ATL,NE,9.606822249346084,9.675575256347656,-0.06875300700157183,44.116951281375165,44.16025924682617,-0.04330796545100668
CAR,GB,11.74904115364787,11.751344680786133,-0.002303527138263206,50.740820281260476,50.821990966796875,-0.08117068553639939
CHI,CIN,12.175828983430776,12.261096954345703,-0.0852679709149271,48.28497378041487,48.44495391845703,-0.15998013804215816
DEN,HOU,0.6291737352935373,0.59954833984375,0.029625395449787262,56.64761174267407,56.42878723144531,0.21882451122876034
MIN,DET,10.978527165005298,11.031707763671875,-0.053180598666576984,47.58933681046922,47.52513122558594,0.06420558488328254
IND,PIT,-5.538917891631654,-5.430337905883789,-0.10857998574786532,60.98625434804578,60.95165252685547,0.0346018211903143
LAC,TEN,-12.453645294775361,-12.470685958862305,0.01704066408694338,38.98720111533293,39.022857666015625,-0.035656550682695354
SF,NYG,6.965596168468572,6.95343017578125,0.012165992687322102,40.15153405143634,40.139625549316406,0.01190850211993677
JAX,LV,-4.433374371458375,-4.51662540435791,0.08325103289953528,31.1664154773888,31.336414337158203,-0.16999885976940377
NO,LA,16.976568652779612,17.01442527770996,-0.037856624930348914,43.72669303345154,43.71844482421875,0.00824820923278935
KC,BUF,-5.644006391021525,-5.596426010131836,-0.047580380889688634,55.83836186103803,55.76702880859375,0.07133305244428101
SEA,WAS,-0.3540457850617705,-0.23898696899414062,-0.11505881606762985,51.259695931632514,51.24150466918945,0.018191262443060907
ARI,DAL,12.39976564196502,12.393411636352539,0.006354005612481117,55.32487907829231,55.247222900390625,0.07765617790168733
