away,home,Model spread home-,Spread used (home-),Edge_pts,Model total,Total used,Edge_total_pts
MIN,LAC,-1.2847028346301057,-3.0,1.7152971653698943,46.53321172389611,44.5,2.033211723896109
MIA,ATL,-3.59769941678468,-7.5,3.90230058321532,37.72809101105388,44.5,-6.771908988946123
CHI,BAL,-5.673548689351224,-6.5,0.8264513106487756,42.95579467138828,47.5,-4.544205328611717
BUF,CAR,-2.960420246172279,7.5,-10.46042024617228,49.355353252732854,47.5,1.8553532527328542
NYJ,CIN,7.721457895050163,-6.5,14.221457895050163,38.0412248972239,44.5,-6.458775102776102
CLE,NE,13.350286433734452,-7.0,20.350286433734453,40.91676671267763,40.5,0.416766712677628
SF,HOU,4.318323096236901,-1.5,5.818323096236901,43.648939498990515,41.5,2.148939498990515
NYG,PHI,1.5990502323181495,-7.5,9.099050232318149,48.48469945401181,44.0,4.48469945401181
TB,NO,-7.494616888464095,4.0,-11.494616888464094,42.70863336737582,46.5,-3.7913666326241824
DAL,DEN,-11.5472836331996,-3.5,-8.0472836331996,60.7418806095366,50.5,10.2418806095366
TEN,IND,20.954517340722315,-14.0,34.95451734072232,40.50185892908519,47.5,-6.998141070914812
GB,PIT,3.317416513119343,3.0,0.31741651311934316,52.07706800332977,45.5,6.577068003329771
WAS,KC,7.200127799710332,-12.5,19.70012779971033,56.67038988194213,47.5,9.170389881942128
