week,game,bet_type,side,line,edge,result,profit,actual_margin,predicted_margin,opening_line,closing_line,clv,actual_total,predicted_total
7,NE@TEN,spread,away,-6.5,12.59749698638916,WIN,90.9,-18.0,-19.09749698638916,-7.0,-6.5,0.5,,
7,NE@TEN,total,over,41.5,2.1666667461395264,WIN,90.9,,,41.5,41.5,0.0,44.0,43.666666746139526
7,LV@KC,spread,home,-13.5,17.5,WIN,90.9,31.0,31.0,-11.5,-13.5,-2.0,,
7,LV@KC,total,under,44.5,8.304914474487305,WIN,90.9,,,45.5,44.5,1.0,31.0,36.195085525512695
7,PHI@MIN,spread,away,-2.5,9.0,WIN,90.9,-6.0,-11.5,-1.5,-2.5,-1.0,,
7,PHI@MIN,total,over,43.5,8.5,WIN,90.9,,,43.5,43.5,0.0,50.0,52.0
7,CAR@NYJ,spread,home,1.5,4.5,LOSS,-110.0,-7.0,3.0,1.5,1.5,0.0,,
7,CAR@NYJ,total,under,40.5,13.166666984558105,WIN,90.9,,,42.5,40.5,2.0,19.0,27.333333015441895
7,NYG@DEN,spread,home,-7.5,1.894362211227417,WIN,90.9,1.0,9.394362211227417,-7.0,-7.5,-0.5,,
7,NYG@DEN,total,over,39.5,24.0,WIN,90.9,,,39.5,39.5,0.0,65.0,63.5
7,IND@LAC,spread,away,2.5,7.333333492279053,WIN,90.9,-14.0,-4.833333492279053,1.5,2.5,1.0,,
7,IND@LAC,total,over,48.5,13.729948997497559,WIN,90.9,,,48.5,48.5,0.0,62.0,62.22994899749756
7,WAS@DAL,spread,home,-1.5,8.833333015441895,WIN,90.9,22.0,10.333333015441895,2.5,-1.5,-4.0,,
7,WAS@DAL,total,over,54.5,21.839319229125977,WIN,90.9,,,54.5,54.5,0.0,66.0,76.33931922912598
7,GB@ARI,spread,away,-7.0,2.2514359951019287,WIN,90.9,-4.0,-9.251435995101929,-6.5,-7.0,-0.5,,
7,GB@ARI,total,over,44.5,5.758788108825684,WIN,90.9,,,45.5,44.5,-1.0,50.0,50.258788108825684
7,ATL@SF,spread,home,-1.5,8.833333015441895,WIN,90.9,10.0,10.333333015441895,-2.5,-1.5,1.0,,
7,ATL@SF,total,under,46.5,13.46928882598877,WIN,90.9,,,47.5,46.5,1.0,30.0,33.03071117401123
7,TB@DET,spread,home,-6.0,8.833333015441895,WIN,90.9,15.0,14.833333015441895,-5.5,-6.0,-0.5,,
7,TB@DET,total,under,54.5,12.5,WIN,90.9,,,52.5,54.5,-2.0,33.0,42.0
7,HOU@SEA,spread,home,-3.0,4.5,WIN,90.9,8.0,7.5,-3.0,-3.0,0.0,,
7,HOU@SEA,total,under,41.5,3.4171366691589355,LOSS,-110.0,,,41.5,41.5,0.0,46.0,38.082863330841064
