week,game,bet_type,side,line,edge,result,profit,actual_margin,predicted_margin,opening_line,closing_line,clv,actual_total,predicted_total
5,SF@LAR,spread,away,8.5,4.301366806030273,LOSS,-110.0,-3.0,4.198633193969727,8.5,8.5,0.0,,
5,SF@LAR,total,over,43.5,4.047769069671631,WIN,90.9,,,43.5,43.5,0.0,49.0,47.54776906967163
5,MIN@CLE,total,under,35.5,5.166666507720947,LOSS,-110.0,,,36.5,35.5,1.0,38.0,30.333333492279053
5,LV@IND,spread,home,-7.0,22.709665298461914,WIN,90.9,34.0,29.709665298461914,-7.0,-7.0,0.0,,
5,LV@IND,total,over,47.5,9.494779586791992,LOSS,-110.0,,,47.5,47.5,0.0,46.0,56.99477958679199
5,NYG@NO,spread,home,-1.5,14.2633056640625,WIN,90.9,12.0,15.7633056640625,-1.5,-1.5,0.0,,
5,NYG@NO,total,under,41.5,5.166666507720947,WIN,90.9,,,42.5,41.5,1.0,40.0,36.33333349227905
5,DAL@NYJ,spread,away,-1.5,7.333333492279053,WIN,90.9,-15.0,-8.833333492279053,-2.5,-1.5,1.0,,
5,DAL@NYJ,total,over,48.5,13.669391632080078,WIN,90.9,,,47.5,48.5,1.0,59.0,62.16939163208008
5,DEN@PHI,spread,away,4.5,9.0,LOSS,-110.0,-4.0,-4.5,3.5,4.5,1.0,,
5,DEN@PHI,total,under,44.5,8.648130416870117,WIN,90.9,,,43.5,44.5,-1.0,38.0,35.85186958312988
5,MIA@CAR,spread,home,1.5,4.5,WIN,90.9,3.0,3.0,1.5,1.5,0.0,,
5,MIA@CAR,total,over,44.5,3.5,WIN,90.9,,,45.5,44.5,-1.0,51.0,48.0
5,HOU@BAL,spread,away,-2.5,11.379323959350586,WIN,90.9,-34.0,-13.879323959350586,-2.5,-2.5,0.0,,
5,HOU@BAL,total,over,40.5,4.729532241821289,WIN,90.9,,,40.5,40.5,0.0,54.0,45.22953224182129
5,TEN@ARI,spread,away,7.5,2.0,LOSS,-110.0,-1.0,5.5,7.5,7.5,0.0,,
5,TB@SEA,spread,home,-3.5,4.3260955810546875,WIN,90.9,-3.0,7.8260955810546875,-3.5,-3.5,0.0,,
5,TB@SEA,total,over,44.5,24.0,WIN,90.9,,,44.5,44.5,0.0,73.0,68.5
5,DET@CIN,spread,away,-10.5,2.5,WIN,90.9,-13.0,-13.0,-10.5,-10.5,0.0,,
5,DET@CIN,total,over,49.5,13.552448272705078,WIN,90.9,,,49.5,49.5,0.0,61.0,63.05244827270508
5,WAS@LAC,spread,away,2.5,7.333333492279053,WIN,90.9,-17.0,-4.833333492279053,2.5,2.5,0.0,,
5,NE@BUF,spread,away,7.5,5.275742053985596,LOSS,-110.0,-3.0,2.2242579460144043,8.5,7.5,-1.0,,
5,KC@JAX,spread,home,3.5,1.0,LOSS,-110.0,3.0,-2.5,3.5,3.5,0.0,,
5,KC@JAX,total,over,45.5,8.150032043457031,WIN,90.9,,,46.5,45.5,-1.0,59.0,53.65003204345703
6,PHI@NYG,spread,home,7.0,12.74221134185791,WIN,90.9,17.0,5.74221134185791,7.0,7.0,0.0,,
6,PHI@NYG,total,over,40.5,6.1847686767578125,WIN,90.9,,,40.5,40.5,0.0,51.0,46.68476867675781
6,DEN@NYJ,total,under,43.5,15.0,WIN,90.9,,,43.5,43.5,0.0,24.0,28.5
6,ARI@IND,total,over,46.5,8.796759605407715,WIN,90.9,,,46.5,46.5,0.0,58.0,55.296759605407715
6,LAC@MIA,spread,away,-3.5,2.259721279144287,WIN,90.9,-2.0,-5.759721279144287,-4.5,-3.5,1.0,,
6,LAC@MIA,total,over,45.5,8.5,WIN,90.9,,,44.5,45.5,1.0,56.0,54.0
6,NE@NO,spread,away,-3.5,3.9778060913085938,WIN,90.9,-6.0,-7.477806091308594,-3.5,-3.5,0.0,,
6,NE@NO,total,over,46.5,2.1666667461395264,LOSS,-110.0,,,45.5,46.5,1.0,44.0,48.666666746139526
6,CLE@PIT,spread,home,-6.0,8.833333015441895,WIN,90.9,14.0,14.833333015441895,-5.5,-6.0,-0.5,,
6,CLE@PIT,total,under,37.5,8.473468780517578,WIN,90.9,,,37.5,37.5,0.0,32.0,29.026531219482422
6,DAL@CAR,total,over,47.5,8.059284210205078,WIN,90.9,,,49.5,47.5,-2.0,57.0,55.55928421020508
6,SEA@JAX,spread,away,-1.5,3.5,WIN,90.9,-8.0,-5.0,-1.5,-1.5,0.0,,
6,SEA@JAX,total,under,47.5,15.0,WIN,90.9,,,47.5,47.5,0.0,32.0,32.5
6,LAR@BAL,spread,away,-7.0,3.5,WIN,90.9,-14.0,-10.5,-7.5,-7.0,0.5,,
6,LAR@BAL,total,under,43.5,15.0,WIN,90.9,,,44.5,43.5,1.0,20.0,28.5
6,TEN@LV,spread,home,-3.5,8.833333015441895,WIN,90.9,10.0,12.333333015441895,-3.5,-3.5,0.0,,
6,TEN@LV,total,under,41.5,9.084455490112305,WIN,90.9,,,41.5,41.5,0.0,30.0,32.415544509887695
6,CIN@GB,spread,home,-14.0,2.3658714294433594,WIN,90.9,9.0,16.36587142944336,-14.0,-14.0,0.0,,
6,CIN@GB,total,under,44.5,3.5,LOSS,-110.0,,,44.5,44.5,0.0,45.0,41.0
6,SF@TB,spread,home,-3.5,2.8301095962524414,WIN,90.9,11.0,6.330109596252441,-3.0,-3.5,-0.5,,
6,DET@KC,spread,home,-2.5,12.0,WIN,90.9,13.0,14.5,-2.5,-2.5,0.0,,
6,DET@KC,total,under,51.5,5.713231086730957,WIN,90.9,,,52.5,51.5,1.0,47.0,45.78676891326904
6,BUF@ATL,spread,home,4.5,8.470008850097656,WIN,90.9,10.0,3.9700088500976562,4.5,4.5,0.0,,
6,BUF@ATL,total,under,49.5,8.170544624328613,WIN,90.9,,,49.5,49.5,0.0,38.0,41.32945537567139
6,CHI@WAS,spread,away,5.5,3.5,LOSS,-110.0,-1.0,2.0,4.5,5.5,1.0,,
6,CHI@WAS,total,over,49.5,5.584264278411865,LOSS,-110.0,,,49.5,49.5,0.0,49.0,55.084264278411865
7,PIT@CIN,spread,home,5.5,2.423441171646118,LOSS,-110.0,2.0,-3.076558828353882,5.5,5.5,0.0,,
7,PIT@CIN,total,over,45.5,24.0,WIN,90.9,,,44.5,45.5,1.0,64.0,69.5
7,LAR@JAX,spread,away,-3.0,7.333333492279053,WIN,90.9,-28.0,-10.333333492279053,-3.0,-3.0,0.0,,
7,LAR@JAX,total,over,44.5,3.5,LOSS,-110.0,,,44.5,44.5,0.0,42.0,48.0
7,NO@CHI,spread,home,-4.5,11.5,WIN,90.9,12.0,16.0,-4.5,-4.5,0.0,,
7,NO@CHI,total,under,44.5,6.964813232421875,WIN,90.9,,,46.5,44.5,2.0,40.0,37.535186767578125
7,MIA@CLE,spread,home,-2.5,23.5,WIN,90.9,25.0,26.0,-2.5,-2.5,0.0,,
7,MIA@CLE,total,under,34.5,8.744781494140625,LOSS,-110.0,,,37.5,34.5,3.0,37.0,25.755218505859375
