week,away,home,spread,total,commence_time
1,WAS,LAC,-1.1666666666666667,47.5,2025-10-05T20:25:00Z
1,NE,BUF,-8.5,46.5,2025-10-06T00:20:00Z
1,KC,JAX,4.666666666666667,47.0,2025-10-07T00:15:00Z
1,PHI,NYG,7.0,44.0,2025-10-10T00:15:00Z
1,DEN,NYJ,6.25,42.0,2025-10-12T13:30:00Z
1,ARI,IND,1.1666666666666667,47.25,2025-10-12T17:00:00Z
1,LA,BAL,-5.333333333333333,49.0,2025-10-12T17:00:00Z
1,DAL,CAR,1.25,46.5,2025-10-12T17:00:00Z
1,CLE,PIT,-6.333333333333333,42.0,2025-10-12T17:00:00Z
1,SEA,JAX,-1.1666666666666667,46.5,2025-10-12T17:00:00Z
1,LAC,MIA,1.8333333333333333,45.5,2025-10-12T17:00:00Z
1,SF,TB,-1.1666666666666667,48.5,2025-10-12T17:00:00Z
1,TEN,LV,-3.1666666666666665,44.5,2025-10-12T20:05:00Z
1,CIN,GB,-2.8333333333333335,49.0,2025-10-12T20:25:00Z
1,NE,NO,3.1666666666666665,43.0,2025-10-12T20:25:00Z
1,DET,KC,-3.0,48.5,2025-10-13T00:20:00Z
1,BUF,ATL,5.5,48.5,2025-10-13T23:15:00Z
1,CHI,WAS,-4.25,49.0,2025-10-14T00:15:00Z
1,PIT,CIN,-4.5,46.25,2025-10-17T00:15:00Z
1,LA,JAX,4.0,47.25,2025-10-19T13:30:00Z
1,CAR,NYJ,-1.5,43.5,2025-10-19T17:00:00Z
1,NO,CHI,-8.0,44.5,2025-10-19T17:00:00Z
1,MIA,CLE,1.3333333333333333,43.25,2025-10-19T17:00:00Z
1,LV,KC,-9.333333333333334,45.25,2025-10-19T17:00:00Z
1,PHI,MIN,2.8333333333333335,44.75,2025-10-19T17:00:00Z
1,NE,TEN,1.6666666666666667,44.5,2025-10-19T17:00:00Z
1,NYG,DEN,-7.166666666666667,42.5,2025-10-19T20:05:00Z
1,IND,LAC,-6.166666666666667,45.25,2025-10-19T20:05:00Z
1,GB,ARI,1.6666666666666667,47.5,2025-10-19T20:25:00Z
1,WAS,DAL,2.6666666666666665,49.0,2025-10-19T20:25:00Z
1,ATL,SF,-6.333333333333333,47.5,2025-10-20T00:20:00Z
1,TB,DET,-3.75,50.0,2025-10-20T23:00:00Z
1,HOU,SEA,-0.5,44.5,2025-10-21T02:00:00Z
1,MIN,LAC,-2.6666666666666665,44.5,2025-10-24T00:15:00Z
1,MIA,ATL,-1.25,46.75,2025-10-26T17:00:00Z
1,CHI,BAL,-6.75,49.5,2025-10-26T17:00:00Z
1,BUF,CAR,7.0,47.5,2025-10-26T17:00:00Z
1,NYJ,CIN,-7.75,45.5,2025-10-26T17:00:00Z
1,CLE,NE,-5.666666666666667,42.0,2025-10-26T17:00:00Z
1,SF,HOU,0.5,45.25,2025-10-26T17:00:00Z
1,NYG,PHI,-10.5,43.5,2025-10-26T17:00:00Z
1,TB,NO,6.0,45.5,2025-10-26T20:05:00Z
1,DAL,DEN,-4.666666666666667,45.5,2025-10-26T20:25:00Z
1,TEN,IND,-3.6666666666666665,44.5,2025-10-26T20:25:00Z
1,GB,PIT,1.6666666666666667,44.5,2025-10-27T00:20:00Z
1,WAS,KC,-3.3333333333333335,48.5,2025-10-28T00:15:00Z
1,BAL,MIA,5.5,48.0,2025-10-31T00:15:00Z
1,ATL,NE,-2.8333333333333335,44.75,2025-11-02T18:00:00Z
1,CAR,GB,-7.5,45.5,2025-11-02T18:00:00Z
1,CHI,CIN,-3.25,49.0,2025-11-02T18:00:00Z
1,DEN,HOU,1.3333333333333333,45.0,2025-11-02T18:00:00Z
1,MIN,DET,-4.25,47.5,2025-11-02T18:00:00Z
1,IND,PIT,-3.5,44.25,2025-11-02T18:00:00Z
1,LAC,TEN,4.5,44.5,2025-11-02T18:00:00Z
1,SF,NYG,3.5,44.75,2025-11-02T18:00:00Z
1,JAX,LV,-1.1666666666666667,45.5,2025-11-02T21:05:00Z
1,NO,LA,-9.833333333333334,44.5,2025-11-02T21:05:00Z
1,KC,BUF,-2.5,48.25,2025-11-02T21:25:00Z
1,SEA,WAS,-5.333333333333333,47.5,2025-11-03T01:20:00Z
1,ARI,DAL,-1.3333333333333333,48.0,2025-11-04T01:15:00Z
1,LV,DEN,-6.5,43.5,2025-11-07T01:15:00Z
1,ATL,IND,1.25,45.0,2025-11-09T14:30:00Z
1,BAL,MIN,3.1666666666666665,47.0,2025-11-09T18:00:00Z
1,BUF,MIA,5.5,49.0,2025-11-09T18:00:00Z
1,NO,CAR,-4.5,43.5,2025-11-09T18:00:00Z
1,NYG,CHI,-5.0,44.0,2025-11-09T18:00:00Z
1,CLE,NYJ,-2.5,40.5,2025-11-09T18:00:00Z
1,JAX,HOU,-3.75,45.5,2025-11-09T18:00:00Z
1,NE,TB,-4.833333333333333,46.5,2025-11-09T18:00:00Z
1,ARI,SEA,-1.3333333333333333,45.5,2025-11-09T21:05:00Z
1,DET,WAS,-1.25,50.0,2025-11-09T21:25:00Z
1,LA,SF,-1.3333333333333333,46.5,2025-11-09T21:25:00Z
1,PIT,LAC,-4.333333333333333,43.0,2025-11-10T01:20:00Z
1,PHI,GB,1.6666666666666667,45.5,2025-11-11T01:15:00Z
1,NYJ,NE,-5.25,42.5,2025-11-14T01:15:00Z
1,WAS,MIA,4.0,48.75,2025-11-16T14:30:00Z
1,CAR,ATL,-3.0,45.5,2025-11-16T18:00:00Z
1,TB,BUF,-5.75,50.0,2025-11-16T18:00:00Z
1,CHI,MIN,-2.75,45.5,2025-11-16T18:00:00Z
1,CIN,PIT,1.3333333333333333,46.0,2025-11-16T18:00:00Z
1,GB,NYG,4.5,44.0,2025-11-16T18:00:00Z
1,HOU,TEN,3.25,43.5,2025-11-16T18:00:00Z
1,LAC,JAX,1.5,46.0,2025-11-16T18:00:00Z
1,SF,ARI,1.3333333333333333,47.5,2025-11-16T21:05:00Z
1,SEA,LA,-4.833333333333333,45.5,2025-11-16T21:05:00Z
1,BAL,CLE,8.666666666666666,44.5,2025-11-16T21:25:00Z
1,KC,DEN,1.25,45.5,2025-11-16T21:25:00Z
1,DET,PHI,-3.25,47.5,2025-11-17T01:20:00Z
1,DAL,LV,1.5,45.5,2025-11-18T01:15:00Z
1,BUF,HOU,3.5,46.5,2025-11-21T01:15:00Z
1,NYJ,BAL,-11.5,44.5,2025-11-23T18:00:00Z
1,PIT,CHI,-2.5,44.5,2025-11-23T18:00:00Z
1,NE,CIN,-4.833333333333333,47.5,2025-11-23T18:00:00Z
1,NYG,DET,-9.0,46.0,2025-11-23T18:00:00Z
1,MIN,GB,-3.3333333333333335,45.5,2025-11-23T18:00:00Z
1,IND,KC,-9.166666666666666,45.5,2025-11-23T18:00:00Z
1,SEA,TEN,1.5,44.5,2025-11-23T18:00:00Z
1,JAX,ARI,-3.0,47.5,2025-11-23T21:05:00Z
1,CLE,LV,-3.5,41.5,2025-11-23T21:05:00Z
1,ATL,NO,2.25,43.75,2025-11-23T21:25:00Z
1,PHI,DAL,5.0,46.5,2025-11-23T21:25:00Z
1,TB,LA,-2.8333333333333335,47.5,2025-11-24T01:20:00Z
1,CAR,SF,-7.0,46.5,2025-11-25T01:15:00Z
1,GB,DET,-2.6666666666666665,48.5,2025-11-27T18:00:00Z
1,KC,DAL,5.166666666666667,47.5,2025-11-27T21:30:00Z
1,CIN,BAL,-5.25,49.5,2025-11-28T01:20:00Z
1,CHI,PHI,-6.666666666666667,46.333333333333336,2025-11-28T20:00:00Z
1,ARI,TB,-3.5,48.5,2025-11-30T18:00:00Z
1,ATL,NYJ,1.5,43.5,2025-11-30T18:00:00Z
1,LA,CAR,3.5,45.5,2025-11-30T18:00:00Z
1,SF,CLE,5.833333333333333,43.0,2025-11-30T18:00:00Z
1,HOU,IND,1.5,44.5,2025-11-30T18:00:00Z
1,JAX,TEN,1.1666666666666667,45.5,2025-11-30T18:00:00Z
1,NO,MIA,-6.5,44.5,2025-11-30T18:00:00Z
1,MIN,SEA,-0.3333333333333333,44.0,2025-11-30T21:05:00Z
1,BUF,PIT,4.5,46.5,2025-11-30T21:25:00Z
1,LV,LAC,-6.333333333333333,44.5,2025-11-30T21:25:00Z
1,DEN,WAS,-2.5,46.5,2025-12-01T01:20:00Z
1,NYG,NE,-3.0,42.5,2025-12-02T01:15:00Z
1,DAL,DET,-6.0,49.0,2025-12-05T01:15:00Z
1,SEA,ATL,-1.5,45.5,2025-12-07T18:00:00Z
1,PIT,BAL,-8.333333333333334,46.5,2025-12-07T18:00:00Z
1,CHI,GB,-3.5,46.5,2025-12-07T18:00:00Z
1,TEN,CLE,-1.3333333333333333,41.5,2025-12-07T18:00:00Z
1,IND,JAX,-2.8333333333333335,46.5,2025-12-07T18:00:00Z
1,MIA,NYJ,1.5,43.5,2025-12-07T18:00:00Z
1,WAS,MIN,1.1666666666666667,46.5,2025-12-07T18:00:00Z
1,NO,TB,-9.5,45.5,2025-12-07T18:00:00Z
1,DEN,LV,3.5,43.0,2025-12-07T21:05:00Z
1,LA,ARI,1.3333333333333333,47.5,2025-12-07T21:25:00Z
1,CIN,BUF,-5.25,50.0,2025-12-07T21:25:00Z
1,HOU,KC,-6.5,45.5,2025-12-08T01:20:00Z
1,PHI,LAC,2.5,45.5,2025-12-09T01:15:00Z
1,ATL,TB,-5.0,48.0,2025-12-12T01:15:00Z
1,ARI,HOU,-2.75,45.5,2025-12-14T18:00:00Z
1,BAL,CIN,2.5,50.5,2025-12-14T18:00:00Z
1,BUF,NE,5.0,47.0,2025-12-14T18:00:00Z
1,CLE,CHI,-7.0,42.5,2025-12-14T18:00:00Z
1,NYJ,JAX,-4.25,43.5,2025-12-14T18:00:00Z
1,LAC,KC,-4.5,45.0,2025-12-14T18:00:00Z
1,LV,PHI,-10.166666666666666,44.5,2025-12-14T18:00:00Z
1,WAS,NYG,4.5,45.5,2025-12-14T18:00:00Z
1,CAR,NO,1.25,43.5,2025-12-14T21:25:00Z
1,GB,DEN,-1.5,44.5,2025-12-14T21:25:00Z
1,DET,LA,1.25,48.5,2025-12-14T21:25:00Z
1,IND,SEA,-3.3333333333333335,44.5,2025-12-14T21:25:00Z
1,TEN,SF,-7.5,45.5,2025-12-14T21:25:00Z
1,MIN,DAL,1.75,45.5,2025-12-15T01:20:00Z
1,MIA,PIT,-3.0,44.5,2025-12-16T01:15:00Z
1,LA,SEA,2.0,44.5,2025-12-19T01:15:00Z
1,GB,CHI,1.75,45.25,2025-12-20T18:00:00Z
1,PHI,WAS,1.1666666666666667,48.25,2025-12-20T20:00:00Z
1,NE,BAL,-8.833333333333334,46.5,2025-12-21T18:00:00Z
1,BUF,CLE,8.5,43.5,2025-12-21T18:00:00Z
1,TB,CAR,3.5,47.5,2025-12-21T18:00:00Z
1,LAC,DAL,1.75,46.5,2025-12-21T18:00:00Z
1,KC,TEN,7.0,44.5,2025-12-21T18:00:00Z
1,MIN,NYG,2.75,42.5,2025-12-21T18:00:00Z
1,NYJ,NO,-1.25,41.5,2025-12-21T18:00:00Z
1,ATL,ARI,-3.25,46.5,2025-12-21T21:05:00Z
1,JAX,DEN,-5.75,45.0,2025-12-21T21:05:00Z
1,PIT,DET,-6.25,45.5,2025-12-21T21:25:00Z
1,LV,HOU,-4.5,43.5,2025-12-21T21:25:00Z
1,CIN,MIA,2.0,48.5,2025-12-22T01:20:00Z
1,SF,IND,3.0,46.0,2025-12-23T01:15:00Z
1,DAL,WAS,-5.166666666666667,49.166666666666664,2025-12-25T18:00:00Z
1,DET,MIN,2.1666666666666665,47.5,2025-12-25T21:30:00Z
1,DEN,KC,-4.5,44.333333333333336,2025-12-26T01:15:00Z
1,ARI,CIN,-3.5,47.5,2025-12-28T18:00:00Z
1,BAL,GB,1.25,46.5,2025-12-28T18:00:00Z
1,SEA,CAR,1.25,43.5,2025-12-28T18:00:00Z
1,PIT,CLE,2.5,40.5,2025-12-28T18:00:00Z
1,HOU,LAC,-3.5,43.5,2025-12-28T18:00:00Z
1,JAX,IND,-1.3333333333333333,45.5,2025-12-28T18:00:00Z
1,TB,MIA,1.25,48.0,2025-12-28T18:00:00Z
1,NE,NYJ,1.5,41.5,2025-12-28T18:00:00Z
1,NO,TEN,-3.5,42.5,2025-12-28T18:00:00Z
1,PHI,BUF,-1.5,47.0,2025-12-28T21:25:00Z
1,NYG,LV,-2.5,42.5,2025-12-28T21:25:00Z
1,CHI,SF,-3.25,46.5,2025-12-29T01:20:00Z
1,LA,ATL,2.75,46.5,2025-12-30T01:20:00Z
1,ARI,LA,-4.0,45.5,2026-01-04T18:00:00Z
1,CAR,TB,-7.0,46.5,2026-01-04T18:00:00Z
1,CLE,CIN,-8.75,43.5,2026-01-04T18:00:00Z
1,GB,MIN,1.25,44.5,2026-01-04T18:00:00Z
1,TEN,JAX,-4.5,43.5,2026-01-04T18:00:00Z
1,SEA,SF,-4.5,44.5,2026-01-04T18:00:00Z
1,LAC,DEN,-2.5,42.5,2026-01-04T21:05:00Z
2,WAS,GB,-3.1818181818181817,48.86363636363637,2025-09-12T00:16:00Z
2,CHI,DET,-6.045454545454546,46.68181818181818,2025-09-14T17:00:00Z
2,JAX,CIN,-3.3636363636363638,49.0,2025-09-14T17:00:00Z
2,NYG,DAL,-5.181818181818182,44.5,2025-09-14T17:00:00Z
2,NE,MIA,-1.1818181818181819,43.18181818181818,2025-09-14T17:00:00Z
2,CLE,BAL,-11.636363636363637,45.0,2025-09-14T17:01:00Z
2,BUF,NYJ,6.2272727272727275,46.54545454545455,2025-09-14T17:01:00Z
2,LA,TEN,5.454545454545454,41.36363636363637,2025-09-14T17:01:00Z
2,SF,NO,3.0,40.54545454545455,2025-09-14T17:01:00Z
2,SEA,PIT,-3.0,39.90909090909091,2025-09-14T17:01:00Z
2,CAR,ARI,-6.545454545454546,43.81818181818182,2025-09-14T20:05:00Z
2,DEN,IND,1.3636363636363635,43.31818181818182,2025-09-14T20:06:00Z
2,PHI,KC,0.9090909090909091,46.86363636363637,2025-09-14T20:25:00Z
2,ATL,MIN,-3.5,44.54545454545455,2025-09-15T00:20:00Z
2,TB,HOU,-2.409090909090909,42.63636363636363,2025-09-15T23:01:00Z
