away,home,Model spread home-,Spread used (home-),Edge_pts,Model total,Total used,Edge_total_pts
PIT,CIN,-4.168333375362616,-3.9419177418443,-0.22641563351831628,51.70956148786306,51.64451965935873,0.06504182850433438
LA,JAX,-4.242504744247131,3.0,-7.242504744247131,47.79022273960941,44.5,3.290222739609412
LV,KC,11.064110708908705,-12.0,23.064110708908707,49.72440181179751,45.5,4.224401811797513
MIA,CLE,-10.762433269626177,-2.5,-8.262433269626177,32.92466813541863,35.0,-2.075331864581372
NE,TEN,-14.11372598867775,7.0,-21.11372598867775,37.85477133219951,42.5,-4.645228667800488
NO,CHI,11.345993687820476,-4.0,15.345993687820476,44.12804831083586,44.5,-0.3719516891641419
PHI,MIN,-0.5449389484682042,2.0,-2.544938948468204,49.67982222334532,43.5,6.179822223345319
CAR,NYJ,-3.4616004469709427,1.0,-4.461600446970943,46.58820505094056,41.0,5.588205050940559
IND,LAC,-8.277660752442603,-2.0,-6.277660752442603,51.62540273691359,48.5,3.1254027369135926
NYG,DEN,3.447937093221081,-7.5,10.947937093221082,40.915855679243236,40.5,0.4158556792432364
WAS,DAL,4.888747399140225,-1.5,6.388747399140225,61.88877224381573,54.0,7.88877224381573
GB,ARI,-4.886100576858021,7.0,-11.88610057685802,47.85801110488791,44.5,3.3580111048879075
ATL,SF,4.5393974197944615,-1.5,6.0393974197944615,39.936292642859506,47.0,-7.063707357140494
TB,DET,4.384360845598262,-6.0,10.384360845598263,63.37718544439986,53.0,10.377185444399863
HOU,SEA,6.339692743643955,-3.0,9.339692743643955,56.48587964627582,41.0,15.48587964627582
