week,game,bet_type,side,line,edge,result,profit,actual_margin,predicted_margin,opening_line,closing_line,clv,actual_total,predicted_total
5,SF@LAR,spread,away,8.5,5.696249485015869,LOSS,-110.0,-3.0,2.803750514984131,8.5,8.5,0.0,,
5,SF@LAR,total,over,43.5,4.038684844970703,WIN,90.9,,,43.5,43.5,0.0,49.0,47.5386848449707
5,MIN@CLE,spread,home,3.5,2.688277244567871,LOSS,-110.0,-4.0,-0.8117227554321289,4.5,3.5,-1.0,,
5,MIN@CLE,total,under,35.5,6.647790908813477,LOSS,-110.0,,,36.5,35.5,1.0,38.0,28.852209091186523
5,LV@IND,spread,home,-7.0,23.875,WIN,90.9,34.0,30.875,-7.0,-7.0,0.0,,
5,LV@IND,total,over,47.5,7.029250144958496,LOSS,-110.0,,,47.5,47.5,0.0,46.0,54.529250144958496
5,NYG@NO,spread,home,-1.5,11.5,WIN,90.9,12.0,13.0,-1.5,-1.5,0.0,,
5,NYG@NO,total,under,41.5,2.5,WIN,90.9,,,42.5,41.5,1.0,40.0,39.0
5,DAL@NYJ,spread,away,-1.5,8.044718742370605,WIN,90.9,-15.0,-9.544718742370605,-2.5,-1.5,1.0,,
5,DAL@NYJ,total,over,48.5,13.213475227355957,WIN,90.9,,,47.5,48.5,1.0,59.0,61.71347522735596
5,DEN@PHI,spread,away,4.5,7.194258213043213,LOSS,-110.0,-4.0,-2.694258213043213,3.5,4.5,1.0,,
5,DEN@PHI,total,under,44.5,5.657273292541504,WIN,90.9,,,43.5,44.5,-1.0,38.0,38.842726707458496
5,MIA@CAR,spread,home,1.5,2.4000000953674316,WIN,90.9,3.0,0.9000000953674316,1.5,1.5,0.0,,
5,MIA@CAR,total,over,44.5,1.2100083827972412,WIN,90.9,,,45.5,44.5,-1.0,51.0,45.71000838279724
5,HOU@BAL,spread,away,-2.5,13.047863006591797,WIN,90.9,-34.0,-15.547863006591797,-2.5,-2.5,0.0,,
5,HOU@BAL,total,over,40.5,6.744227409362793,WIN,90.9,,,40.5,40.5,0.0,54.0,47.24422740936279
5,TEN@ARI,spread,away,7.5,1.1666666269302368,LOSS,-110.0,-1.0,6.333333373069763,7.5,7.5,0.0,,
5,TB@SEA,spread,home,-3.5,3.505892753601074,WIN,90.9,-3.0,7.005892753601074,-3.5,-3.5,0.0,,
5,TB@SEA,total,over,44.5,20.454437255859375,WIN,90.9,,,44.5,44.5,0.0,73.0,64.95443725585938
5,DET@CIN,spread,away,-10.5,4.5,WIN,90.9,-13.0,-15.0,-10.5,-10.5,0.0,,
5,DET@CIN,total,over,49.5,13.75,WIN,90.9,,,49.5,49.5,0.0,61.0,63.25
5,WAS@LAC,spread,away,2.5,4.5,WIN,90.9,-17.0,-2.0,2.5,2.5,0.0,,
5,WAS@LAC,total,over,47.5,1.1675347089767456,LOSS,-110.0,,,47.5,47.5,0.0,37.0,48.667534708976746
5,NE@BUF,spread,away,7.5,7.661445140838623,LOSS,-110.0,-3.0,-0.16144514083862305,8.5,7.5,-1.0,,
5,NE@BUF,total,over,49.5,3.749415874481201,LOSS,-110.0,,,49.5,49.5,0.0,43.0,53.2494158744812
5,KC@JAX,spread,home,3.5,3.8647525310516357,LOSS,-110.0,3.0,0.36475253105163574,3.5,3.5,0.0,,
5,KC@JAX,total,over,45.5,6.5298075675964355,WIN,90.9,,,46.5,45.5,-1.0,59.0,52.029807567596436
6,PHI@NYG,spread,home,7.0,13.46664810180664,WIN,90.9,17.0,6.466648101806641,7.0,7.0,0.0,,
6,PHI@NYG,total,over,40.5,4.744675636291504,WIN,90.9,,,40.5,40.5,0.0,51.0,45.244675636291504
6,DEN@NYJ,spread,home,7.5,2.4000000953674316,LOSS,-110.0,-2.0,-5.099999904632568,7.5,7.5,0.0,,
