season,week,away_team,home_team,away_pred,home_pred,total_pred,margin_pred,home_win_prob,away_score,home_score,total,margin
2025,1,ARI,NO,18.36220724314314,11.410550308591684,29.772757551734824,-6.951656934551455,0.26995,32,13,45,-19
2025,1,ATL,TB,16.18268642279825,27.726860946728543,43.90954736952679,11.544174523930295,0.84645,26,41,67,15
2025,1,BAL,BUF,26.26359157443234,22.717421630031733,48.98101320446408,-3.5461699444006065,0.3833,52,53,105,1
2025,1,CAR,JAX,19.662344416447326,15.097810204333909,34.760154620781236,-4.564534212113417,0.34335,16,32,48,16
2025,1,CHI,MIN,11.110589385164523,19.21193783248927,30.322527217653793,8.101348447324746,0.76225,30,41,71,11
2025,1,CIN,CLE,23.265492180650316,7.358289575297868,30.623781755948183,-15.907202605352449,0.078,23,22,45,-1
2025,1,DAL,PHI,14.705675822742702,22.55847037302419,37.26414619576689,7.852794550281487,0.756,20,24,44,4
2025,1,DEN,TEN,24.42203964987876,16.719021237577408,41.14106088745616,-7.7030184123013505,0.253,26,12,38,-14
2025,1,DET,GB,28.277913243300972,19.341110825971423,47.6190240692724,-8.936802417329549,0.2176,19,39,58,20
2025,1,HOU,LA,12.473178671994772,13.868071032674322,26.341249704669096,1.3948923606795507,0.5572,9,20,29,11
2025,1,IND,MIA,17.20842467121599,16.35584148728963,33.56426615850562,-0.8525831839263596,0.47055,39,16,55,-23
2025,1,KC,LAC,15.319638130811393,23.391262444594435,38.71090057540583,8.071624313783042,0.7602,27,45,72,18
2025,1,LV,NE,13.542079633612152,14.001769518082193,27.543849151694346,0.4596898844700412,0.52305,26,19,45,-7
2025,1,NYG,WAS,14.634460365652261,24.116768316046684,38.75122868169895,9.482307950394423,0.80135,6,27,33,21
2025,1,NYJ,PIT,19.110935983640683,13.137081837405468,32.24801782104615,-5.973854146235215,0.29465,38,58,96,20
2025,1,SEA,SF,15.131346771181079,16.708215763194616,31.839562534375695,1.5768689920135373,0.55385,13,29,42,16
2025,2,ARI,CAR,18.359469027944492,20.45589821554507,38.81536724348956,2.0964291876005774,0.57705,27,40,67,13
2025,2,ATL,MIN,16.18230269604162,19.21173645152927,35.39403914757089,3.0294337554876485,0.6029,22,6,28,-16
2025,2,BAL,CLE,26.26744609267329,7.358476380242045,33.625922472915335,-18.908969712431244,0.0458,59,29,88,-30
2025,2,BUF,NYJ,21.919527057831274,19.901860617672284,41.82138767550356,-2.0176664401589903,0.4358,30,16,46,-14
2025,2,CHI,DET,11.106900497165185,29.07537140899027,40.18227190615546,17.968470911825086,0.94245,33,82,115,49
2025,2,CIN,JAX,23.26332992813998,15.09758370152074,38.36091362966072,-8.165746226619241,0.23175,49,45,94,-4
2025,2,DAL,NYG,14.706645988811049,15.430419063844903,30.137065052655952,0.7237730750338542,0.5208,52,55,107,3
2025,2,DEN,IND,24.419596108182205,17.99992789818951,42.41952400637172,-6.419668209992693,0.28635,46,35,81,-11
2025,2,GB,WAS,18.544070616983404,24.11721875134271,42.66128936832611,5.573148134359304,0.6903,39,32,71,-7
2025,2,HOU,TB,12.4701220388435,27.728323456181485,40.198445495024984,15.258201417337984,0.90885,25,32,57,7
2025,2,KC,PHI,15.318465012896693,22.559517876232924,37.87798288912962,7.241052863336231,0.7346,23,20,43,-3
2025,2,LA,TEN,13.074305732070776,16.72353379134527,29.797839523416048,3.6492280592744955,0.6296,45,25,70,-20
2025,2,LAC,LV,22.59577463136114,14.334632792807382,36.93040742416852,-8.26114183855376,0.231,32,9,41,-23
2025,2,MIA,NE,15.563849507376425,14.003664624441678,29.5675141318181,-1.560184882934747,0.44535,39,45,84,6
2025,2,NO,SF,10.617953547594343,16.712573092042376,27.33052663963672,6.094619544448033,0.70085,39,44,83,5
2025,2,PIT,SEA,12.344979016084652,15.927611878072115,28.272590894156767,3.582632861987463,0.62885,25,43,68,18
2025,3,ARI,SF,18.360104024051825,16.711896494880513,35.07200051893234,-1.6482075291713123,0.44435,21,22,43,1
2025,3,ATL,CAR,16.18653424356768,20.451143890427197,36.63767813399488,4.264609646859515,0.64695,0,30,30,30
2025,3,BAL,DET,26.265867472151786,29.07725709284769,55.34312456499948,2.8113896206959055,0.5991,48,44,92,-4
2025,3,BUF,MIA,21.919165127833523,16.361257422946874,38.2804225507804,-5.557907704886649,0.3136,49,33,82,-16
2025,3,CHI,DAL,11.108635685193324,15.5010106604492,26.609646345642524,4.392374975255876,0.65325,55,22,77,-33
2025,3,CIN,MIN,23.261043226256174,19.21751695410649,42.47856018036266,-4.043526272149684,0.3643,16,54,70,38
2025,3,CLE,GB,6.5632349500106315,19.338049518496057,25.901284468506688,12.774814568485425,0.86965,13,16,29,3
2025,3,DEN,LAC,24.42150261118696,23.39522367440663,47.81672628559359,-1.0262789367803293,0.4645,26,29,55,3
2025,3,HOU,JAX,12.469340085910773,15.102661578632022,27.572001664542796,2.633321492721249,0.5988,16,17,33,1
2025,3,IND,TEN,17.206622622207952,16.71897519713612,33.92559781934408,-0.487647425071831,0.4814,47,26,73,-21
2025,3,KC,NYG,15.317860052281029,15.431807884616946,30.749667936897975,0.1139478323359171,0.5075,28,9,37,-19
2025,3,LA,PHI,13.0715868588519,22.558600814449985,35.63018767330188,9.487013955598085,0.79345,38,51,89,13
2025,3,LV,WAS,13.542719718987343,24.11525309628814,37.657972815275485,10.572533377300797,0.8223,44,47,91,3
2025,3,NE,PIT,13.203784890425114,13.140435283238379,26.344220173663494,-0.06334960718673521,0.49705,26,33,59,7
