season,week,away,home,away_score,home_score,game_date,game_id
2020,6,BAL,PHI,30,28,2020-10-18T17:00Z,401220263
2020,6,CLE,PIT,7,38,2020-10-18T17:00Z,401220172
2020,6,CHI,CAR,23,16,2020-10-18T17:00Z,401220317
2020,6,DET,JAX,34,16,2020-10-18T17:00Z,401220200
2020,6,NYJ,MIA,0,24,2020-10-18T20:05Z,401220124
2020,6,GB,TB,10,38,2020-10-18T20:25Z,401220331
2020,6,LAR,SF,16,24,2020-10-19T00:20Z,401220353
2020,6,KC,BUF,26,17,2020-10-19T21:00Z,401220117
2020,6,ARI,DAL,38,10,2020-10-20T00:15Z,401220245
2020,7,NYG,PHI,21,22,2020-10-23T00:20Z,401220259
2020,7,DET,ATL,23,22,2020-10-25T17:00Z,401220310
2020,7,CLE,CIN,37,34,2020-10-25T17:00Z,401220155
2020,7,PIT,TEN,27,24,2020-10-25T17:00Z,401249063
2020,7,CAR,NO,24,27,2020-10-25T17:00Z,401220322
2020,7,BUF,NYJ,18,10,2020-10-25T17:00Z,401220138
2020,7,DAL,WAS,3,25,2020-10-25T17:00Z,401220266
2020,7,GB,HOU,35,20,2020-10-25T17:00Z,401220183
2020,7,TB,LV,45,20,2020-10-25T20:05Z,401220232
2020,7,KC,DEN,43,16,2020-10-25T20:25Z,401220210
2020,7,SF,NE,33,6,2020-10-25T20:25Z,401220136
2020,7,JAX,LAC,29,39,2020-10-25T20:25Z,401220241
2020,7,SEA,ARI,34,37,2020-10-26T00:20Z,401220338
2020,7,CHI,LAR,10,24,2020-10-27T00:15Z,401220351
2020,8,ATL,CAR,25,17,2020-10-30T00:20Z,401220314
2020,8,NE,BUF,21,24,2020-11-01T18:00Z,401220115
2020,8,TEN,CIN,20,31,2020-11-01T18:00Z,401220158
2020,8,LV,CLE,16,6,2020-11-01T18:00Z,401220169
2020,8,IND,DET,41,21,2020-11-01T18:00Z,401220288
2020,8,MIN,GB,28,22,2020-11-01T18:00Z,401220292
2020,8,NYJ,KC,9,35,2020-11-01T18:00Z,401220222
2020,8,LAR,MIA,17,28,2020-11-01T18:00Z,401220127
2020,8,PIT,BAL,28,24,2020-11-01T18:00Z,401220148
2020,8,LAC,DEN,30,31,2020-11-01T21:05Z,401220212
2020,8,NO,CHI,26,23,2020-11-01T21:25Z,401220277
2020,8,SF,SEA,27,37,2020-11-01T21:25Z,401220361
2020,8,DAL,PHI,9,23,2020-11-02T01:20Z,401220258
2020,8,TB,NYG,25,23,2020-11-03T01:15Z,401220257
2020,9,GB,SF,34,17,2020-11-06T01:20Z,401220359
2020,9,DEN,ATL,27,34,2020-11-08T18:00Z,401220311
2020,9,SEA,BUF,34,44,2020-11-08T18:00Z,401220120
2020,9,CHI,TEN,17,24,2020-11-08T18:00Z,401220207
2020,9,BAL,IND,24,10,2020-11-08T18:00Z,401220189
2020,9,CAR,KC,31,33,2020-11-08T18:00Z,401220224
2020,9,DET,MIN,20,34,2020-11-08T18:00Z,401220299
2020,9,NYG,WAS,23,20,2020-11-08T18:00Z,401220267
2020,9,HOU,JAX,27,25,2020-11-08T18:00Z,401220194
2020,9,LV,LAC,31,26,2020-11-08T21:05Z,401220236
2020,9,PIT,DAL,24,19,2020-11-08T21:25Z,401220248
2020,9,MIA,ARI,34,31,2020-11-08T21:25Z,401220342
2020,9,NO,TB,38,3,2020-11-09T01:20Z,401220330
2020,9,NE,NYJ,30,27,2020-11-10T01:15Z,401220140
2020,10,IND,TEN,34,17,2020-11-13T01:20Z,401220203
2020,10,HOU,CLE,7,10,2020-11-15T18:00Z,401220165
2020,10,WAS,DET,27,30,2020-11-15T18:00Z,401220289
2020,10,JAX,GB,20,24,2020-11-15T18:00Z,401220295
2020,10,PHI,NYG,17,27,2020-11-15T18:00Z,401220251
2020,10,TB,CAR,46,23,2020-11-15T18:00Z,401220368
2020,10,DEN,LV,12,37,2020-11-15T21:05Z,401220226
2020,10,LAC,MIA,21,29,2020-11-15T21:05Z,401220126
2020,10,BUF,ARI,30,32,2020-11-15T21:05Z,401220341
2020,10,SEA,LAR,16,23,2020-11-15T21:25Z,401220346
2020,10,SF,NO,13,27,2020-11-15T21:25Z,401220327
2020,10,CIN,PIT,10,36,2020-11-15T21:25Z,401220171
2020,10,BAL,NE,17,23,2020-11-16T01:20Z,401220137
2020,10,MIN,CHI,19,13,2020-11-17T01:15Z,401220276
2020,11,ARI,SEA,21,28,2020-11-20T01:20Z,401220360
2020,11,PHI,CLE,17,22,2020-11-22T18:00Z,401220167
2020,11,ATL,NO,9,24,2020-11-22T18:00Z,401220321
2020,11,CIN,WAS,9,20,2020-11-22T18:00Z,401220272
2020,11,DET,CAR,0,20,2020-11-22T18:00Z,401220318
2020,11,PIT,JAX,27,3,2020-11-22T18:00Z,401220198
2020,11,TEN,BAL,30,24,2020-11-22T18:00Z,401220150
2020,11,NE,HOU,20,27,2020-11-22T18:00Z,401220185
2020,11,MIA,DEN,13,20,2020-11-22T21:05Z,401220214
2020,11,NYJ,LAC,28,34,2020-11-22T21:05Z,401220238
2020,11,GB,IND,31,34,2020-11-22T21:25Z,401220191
2020,11,DAL,MIN,31,28,2020-11-22T21:25Z,401220305
2020,11,KC,LV,35,31,2020-11-23T01:20Z,401220227
2020,11,LAR,TB,27,24,2020-11-24T01:15Z,401220335
2020,12,HOU,DET,41,25,2020-11-26T17:30Z,401220287
2020,12,WAS,DAL,41,16,2020-11-26T21:30Z,401220244
2020,12,LV,ATL,6,43,2020-11-29T18:00Z,401220312
2020,12,LAC,BUF,17,27,2020-11-29T18:00Z,401220118
2020,12,NYG,CIN,19,17,2020-11-29T18:00Z,401220160
2020,12,TEN,IND,45,26,2020-11-29T18:00Z,401220188
2020,12,CAR,MIN,27,28,2020-11-29T18:00Z,401220302
2020,12,ARI,NE,17,20,2020-11-29T18:00Z,401220135
2020,12,MIA,NYJ,20,3,2020-11-29T18:00Z,401220139
2020,12,CLE,JAX,27,25,2020-11-29T18:00Z,401220197
2020,12,NO,DEN,31,3,2020-11-29T21:05Z,401220215
2020,12,SF,LAR,23,20,2020-11-29T21:05Z,401220345
2020,12,KC,TB,27,24,2020-11-29T21:25Z,401220333
2020,12,CHI,GB,25,41,2020-11-30T01:20Z,401220290
2020,12,SEA,PHI,23,17,2020-12-01T01:15Z,401220262
2020,12,BAL,PIT,14,19,2020-12-02T20:40Z,401220170
2020,13,NO,ATL,21,16,2020-12-06T18:00Z,401220307
2020,13,DET,CHI,34,30,2020-12-06T18:00Z,401220274
2020,13,CLE,TEN,41,35,2020-12-06T18:00Z,401220205
2020,13,CIN,MIA,7,19,2020-12-06T18:00Z,401220129
2020,13,JAX,MIN,24,27,2020-12-06T18:00Z,401220303
2020,13,LV,NYJ,31,28,2020-12-06T18:00Z,401220142
2020,13,IND,HOU,26,20,2020-12-06T18:00Z,401220178
2020,13,LAR,ARI,38,28,2020-12-06T21:05Z,401220336
2020,13,NYG,SEA,17,12,2020-12-06T21:05Z,401220364
2020,13,PHI,GB,16,30,2020-12-06T21:25Z,401220297
2020,13,NE,LAC,45,0,2020-12-06T21:25Z,401220237
2020,13,DEN,KC,16,22,2020-12-07T01:20Z,401220218
2020,13,WAS,PIT,23,17,2020-12-07T22:00Z,401220176
2020,13,BUF,SF,34,24,2020-12-08T01:15Z,401220357
2020,13,DAL,BAL,17,34,2020-12-09T01:05Z,401220151
2020,14,NE,LAR,3,24,2020-12-11T01:20Z,401220349
2020,14,HOU,CHI,7,36,2020-12-13T18:00Z,401220279
2020,14,DAL,CIN,30,7,2020-12-13T18:00Z,401220159
2020,14,KC,MIA,33,27,2020-12-13T18:00Z,401220125
2020,14,ARI,NYG,26,7,2020-12-13T18:00Z,401220253
2020,14,MIN,TB,14,26,2020-12-13T18:00Z,401220332
2020,14,DEN,CAR,32,27,2020-12-13T18:00Z,401220319
2020,14,TEN,JAX,31,10,2020-12-13T18:00Z,401220196
2020,14,IND,LV,44,27,2020-12-13T21:05Z,401220233
2020,14,NYJ,SEA,3,40,2020-12-13T21:05Z,401220366
2020,14,GB,DET,31,24,2020-12-13T21:25Z,401220283
2020,14,NO,PHI,21,24,2020-12-13T21:25Z,401220265
2020,14,ATL,LAC,17,20,2020-12-13T21:25Z,401220239
2020,14,WAS,SF,23,15,2020-12-13T21:25Z,401220356
2020,14,PIT,BUF,15,26,2020-12-14T01:20Z,401220121
2020,14,BAL,CLE,47,42,2020-12-15T01:15Z,401220162
2020,15,LAC,LV,30,27,2020-12-18T01:20Z,401220228
2020,15,BUF,DEN,48,19,2020-12-19T21:30Z,401220213
2020,15,CAR,GB,16,24,2020-12-20T01:15Z,401220294
2020,15,TB,ATL,31,27,2020-12-20T18:00Z,401220308
2020,15,SF,DAL,33,41,2020-12-20T18:00Z,401220246
2020,15,DET,TEN,25,46,2020-12-20T18:00Z,401220208
2020,15,HOU,IND,20,27,2020-12-20T18:00Z,401220186
2020,15,NE,MIA,12,22,2020-12-20T18:00Z,401220123
2020,15,CHI,MIN,33,27,2020-12-20T18:00Z,401220298
2020,15,SEA,WAS,20,15,2020-12-20T18:00Z,401220270
2020,15,JAX,BAL,14,40,2020-12-20T18:00Z,401220149
2020,15,NYJ,LAR,23,20,2020-12-20T21:05Z,401220350
2020,15,PHI,ARI,26,33,2020-12-20T21:05Z,401220339
2020,15,KC,NO,32,29,2020-12-20T21:25Z,401220325
2020,15,CLE,NYG,20,6,2020-12-21T01:20Z,401220255
2020,15,PIT,CIN,17,27,2020-12-22T01:15Z,401220156
2020,16,MIN,NO,33,52,2020-12-25T21:30Z,401220324
2020,16,TB,DET,47,7,2020-12-26T18:00Z,401220286
