away,home,away_OFF_EPA,home_DEF_EPA,home_OFF_EPA,away_DEF_EPA,away_OFF_SR,home_DEF_SR,home_OFF_SR,away_DEF_SR,away_PF,home_PF,away_PF_adj,home_PF_adj,wind_kph,is_dome,away_injury,home_injury
BAL,MIA,-0.03887906274402192,-0.005057886054813448,-0.09607784506362238,0.05549087716475173,0.09881071912639953,0.10530249251724753,0.060500022085644124,0.0406222261519166,26.509999999999998,26.286666666666665,22.93115,22.737966666666665,27.7,0,0.0,0.0
ATL,NE,-0.07362663566050463,-0.1,0.09594717270218939,0.0055593778585802285,0.03679259495187842,0.15027939935956974,0.09892769652685021,0.03482314586261967,24.205,40.96,24.205,40.96,15.8,0,0.0,0.0
CAR,GB,-0.051675825178334585,0.009173287092192029,0.1,0.07656976850117651,0.05662448593467741,0.03988242912382099,0.16533818580249054,0.06420007739895038,23.466666666666665,33.77,23.466666666666665,33.77,23.5,0,0.0,0.0
CHI,CIN,0.1,0.1,0.1,0.020207790157249977,0.16405455207183356,0.0006826951534456638,0.20366173755156974,0.09071789720928494,36.075,48.67333333333333,36.075,48.67333333333333,20.9,0,0.0,0.0
DEN,HOU,0.08195031817106735,-0.1,0.02258874498153731,-0.09798583638191213,0.11184548482079894,0.16025507148552345,0.13528461595456598,0.14230937835651702,41.42666666666667,34.22,41.42666666666667,34.22,7.6,1,0.0,0.0
MIN,DET,-0.1,-0.06827633868580935,0.040806103474686176,0.09403158348317942,0.010896973217729256,0.12439626149628277,0.07351094581354341,0.013212222593904503,27.89,39.525,27.89,39.525,22.9,1,0.0,0.0
IND,PIT,0.1,0.06881598003965086,0.08005359039686415,0.003939362318986407,0.22520826260964194,0.074260035780065,0.11921557762959527,0.04055756688290316,43.95333333333333,39.790000000000006,43.95333333333333,39.790000000000006,22.7,0,0.0,0.0
LAC,TEN,0.1,0.1,-0.1,-0.03215367850022046,0.12938856038890298,0.051344461036952414,0.0,0.1481382887211533,43.24666666666666,18.553333333333335,43.10526116072087,18.553333333333335,17.0,0,0.0,0.0
SF,NYG,0.03998613506261293,0.1,0.1,0.1,0.07030152742567457,0.0033438298991869918,0.13718522627799815,0.02950723691701021,28.840000000000003,37.10666666666666,28.340000000000003,37.10666666666666,21.0,0,0.0,0.0
JAX,LV,-0.02370241840933949,0.02265624834251172,-0.1,0.05621738329485582,0.022219191391689284,0.10329653508350287,0.002891379083600612,0.018176213561071925,26.74857142857143,17.48,26.51445105416508,17.48,17.3,1,0.0,0.0
NO,LA,-0.1,-0.05858611706419793,0.043426576301406054,-0.03948537778405113,0.026175776237339,0.09939132199467746,0.05791014919345033,0.08383190628210443,18.830000000000002,43.02857142857143,18.743525538054044,43.02857142857143,9.7,1,0.0,0.0
KC,BUF,0.1,-0.04888512329435476,0.1,-0.1,0.21409988861110385,0.10937167192633342,0.15371637166108215,0.2050056457578977,43.68,37.12285714285714,37.128,31.55442857142857,32.5,0,0.0,0.0
SEA,WAS,0.05493810054134192,0.1,-0.044519639632127704,-0.009097368083662582,0.11295215045722434,0.015025468194792365,0.06747290076028549,0.10456107302064287,38.20285714285715,29.465,37.78890250898688,29.465,19.9,0,0.0,0.0
ARI,DAL,-0.025264017424756424,0.08127285253917496,0.1,0.054381220360915,0.024198833767814523,0.052008208753071127,0.15948891806883939,0.02028492135084021,31.48857142857143,48.78,31.48857142857143,48.78,20.2,1,0.0,0.0
