away,home,Model spread home-,Spread used (home-),Edge_pts,Model total,Total used,Edge_total_pts
BAL,MIA,12.598804815577445,12.69371223449707,-0.09490741891962529,48.72790502867822,48.68028259277344,0.047622435904784766
CHI,CIN,14.250932578184182,2.0,12.250932578184182,59.856515868230304,52.5,7.356515868230304
MIN,DET,14.3645373804517,-8.5,22.8645373804517,59.96512649024864,47.75,12.215126490248643
CAR,GB,14.216895581285359,-12.5,26.716895581285357,63.11072062076901,44.0,19.11072062076901
LAC,TEN,-14.79025033219424,10.0,-24.79025033219424,49.5622423015283,42.5,7.0622423015283005
ATL,NE,12.605231225565385,-5.5,18.105231225565383,55.02314250209251,45.0,10.023142502092512
SF,NYG,7.9081277001591745,2.5,5.4081277001591745,50.37858050527113,48.5,1.878580505271131
IND,PIT,-6.584247450880515,3.0,-9.584247450880515,75.68747745982354,49.5,26.18747745982354
DEN,HOU,-0.25425072271903937,1.0,-1.2542507227190394,68.96093311400696,39.5,29.460933114006963
JAX,LV,-6.2822656054492745,3.0,-9.282265605449275,39.31944949053128,44.5,-5.180550509468723
NO,LA,20.493691951478212,-13.5,33.99369195147821,54.53958994812597,44.5,10.039589948125972
KC,BUF,-6.069940717782845,-6.14744758605957,0.0775068682767257,69.37016532406473,69.32865142822266,0.04151389584207266
SEA,WAS,0.005181022775404026,3.5,-3.494818977224596,63.555432788955976,45.5,18.055432788955976
ARI,DAL,14.915260743362309,-3.0,17.91526074336231,68.53685831298864,53.5,15.036858312988642
