away,home,Model spread home-,Spread used (home-),Edge_pts,Model total,Total used,Edge_total_pts
PIT,CIN,2.745867367175297,2.6894454956054688,0.05642187156982814,68.00904540275194,68.00189971923828,0.007145683513655854
LA,JAX,-10.961952559545335,-10.932849884033203,-0.029102675512131526,59.98690985347475,59.850582122802734,0.13632773067201498
NO,CHI,6.49979907229923,6.499849319458008,-5.024715877777197e-05,36.96007947100239,37.07355499267578,-0.11347552167339359
MIA,CLE,-6.995055886913356,-6.90611457824707,-0.08894130866628558,42.69034613990541,42.65948486328125,0.03086127662415805
NE,TEN,-15.092879031036588,-15.074172973632812,-0.018706057403775844,49.32033897660839,49.345458984375,-0.02512000776660983
LV,KC,23.829450715259114,23.815481185913086,0.013969529346027798,55.263733013018765,55.218849182128906,0.0448838308898587
PHI,MIN,-8.469230441017,-8.412040710449219,-0.05718973056778154,57.912431294611864,57.887969970703125,0.024461323908738564
CAR,NYJ,0.4214727109972509,0.4258441925048828,-0.004371481507631891,41.78414357920828,41.85126495361328,-0.06712137440499788
NYG,DEN,6.73765240236236,6.742641448974609,-0.004989046612249304,64.08751332754645,64.15786743164062,-0.07035410409417864
IND,LAC,-7.034311539575773,-6.982913970947266,-0.05139756862850753,73.23376195188416,73.19155883789062,0.042203113993537045
WAS,DAL,10.244221200855225,10.171932220458984,0.07228898039624099,71.0043458238631,70.9422607421875,0.06208508167560467
GB,ARI,-2.5837546711724326,-2.5888004302978516,0.005045759125418936,57.729015787726254,57.847023010253906,-0.11800722252765183
ATL,SF,4.19188440324989,4.249179840087891,-0.05729543683800031,45.23626601224531,45.363319396972656,-0.12705338472734695
TB,DET,8.58941397380243,8.603857040405273,-0.014443066602844112,65.48383563928806,65.52446746826172,-0.04063182897365891
HOU,SEA,2.007891974037516,2.0747814178466797,-0.06688944380916384,65.18793540389656,65.11548614501953,0.07244925887702891
