season,week,away,home,spread_line,total_line,gameday,away_score,home_score
2025,5,KC,JAX,-3.5,45.5,2025-10-06,28.0,31.0
2025,6,PHI,NYG,-7.0,40.5,2025-10-09,17.0,34.0
2025,6,DEN,NYJ,-7.5,43.5,2025-10-12,13.0,11.0
2025,6,LAR,BAL,-7.0,43.5,2025-10-12,17.0,3.0
2025,6,DAL,CAR,-3.0,47.5,2025-10-12,27.0,30.0
2025,6,ARI,IND,8.5,46.5,2025-10-12,27.0,31.0
2025,6,SEA,JAX,-1.5,47.5,2025-10-12,20.0,12.0
2025,6,LAC,MIA,-3.5,45.5,2025-10-12,29.0,27.0
2025,6,NE,NO,-3.5,46.5,2025-10-12,25.0,19.0
2025,6,CLE,PIT,5.5,37.5,2025-10-12,9.0,23.0
2025,6,TEN,LV,3.5,41.5,2025-10-12,10.0,20.0
2025,6,CIN,GB,14.0,44.5,2025-10-12,18.0,27.0
2025,6,SF,TB,3.5,46.5,2025-10-12,19.0,30.0
2025,6,DET,KC,2.5,51.5,2025-10-12,17.0,30.0
2025,6,BUF,ATL,-3.5,49.5,2025-10-13,14.0,24.0
2025,6,CHI,WAS,5.5,49.5,2025-10-13,25.0,24.0
2025,7,PIT,CIN,-5.5,45.5,2025-10-16,31.0,33.0
2025,7,LAR,JAX,-3.0,44.5,2025-10-19,35.0,7.0
2025,7,NO,CHI,4.5,43.5,2025-10-19,14.0,26.0
2025,7,MIA,CLE,2.5,34.5,2025-10-19,6.0,31.0
2025,7,LV,KC,13.5,44.5,2025-10-19,0.0,31.0
2025,7,PHI,MIN,-2.5,43.5,2025-10-19,28.0,22.0
2025,7,CAR,NYJ,1.5,39.5,2025-10-19,13.0,6.0
2025,7,NE,TEN,-6.5,40.5,2025-10-19,31.0,13.0
2025,7,NYG,DEN,7.5,39.5,2025-10-19,32.0,33.0
2025,7,IND,LAC,2.5,48.5,2025-10-19,38.0,24.0
2025,7,GB,ARI,-7.0,44.5,2025-10-19,27.0,23.0
2025,7,WAS,DAL,1.5,54.5,2025-10-19,22.0,44.0
2025,7,ATL,SF,1.5,46.5,2025-10-19,10.0,20.0
2025,7,TB,DET,6.0,54.5,2025-10-20,9.0,24.0
2025,7,HOU,SEA,3.0,41.5,2025-10-20,19.0,27.0
2025,8,MIN,LAC,3.0,45.5,2025-10-23,10.0,37.0
2025,8,MIA,ATL,7.0,44.5,2025-10-26,34.0,10.0
2025,8,CHI,BAL,2.5,45.5,2025-10-26,16.0,30.0
2025,8,BUF,CAR,-7.0,47.5,2025-10-26,40.0,9.0
2025,8,NYJ,CIN,5.5,43.5,2025-10-26,39.0,38.0
2025,8,SF,HOU,2.5,41.5,2025-10-26,15.0,26.0
2025,8,CLE,NE,7.0,40.5,2025-10-26,13.0,32.0
2025,8,NYG,PHI,7.0,43.5,2025-10-26,20.0,38.0
2025,8,TB,NO,-4.5,46.5,2025-10-26,23.0,3.0
2025,8,DAL,DEN,3.5,51.5,2025-10-26,24.0,44.0
2025,8,TEN,IND,15.5,47.5,2025-10-26,14.0,38.0
2025,8,GB,PIT,-3.0,46.5,2025-10-26,35.0,25.0
2025,8,WAS,KC,10.5,48.5,2025-10-27,7.0,28.0
2025,9,BAL,MIA,-7.5,51.5,2025-10-30,,
2025,9,CHI,CIN,-3.0,51.5,2025-11-02,,
2025,9,MIN,DET,8.5,48.5,2025-11-02,,
2025,9,CAR,GB,13.5,44.5,2025-11-02,,
2025,9,DEN,HOU,1.5,39.5,2025-11-02,,
2025,9,ATL,NE,5.5,44.5,2025-11-02,,
2025,9,SF,NYG,-2.5,48.5,2025-11-02,,
2025,9,IND,PIT,-3.0,50.5,2025-11-02,,
2025,9,LAC,TEN,-8.5,43.5,2025-11-02,,
2025,9,NO,LAR,14.0,43.5,2025-11-02,,
2025,9,JAX,LV,-3.5,45.5,2025-11-02,,
2025,9,KC,BUF,-2.5,52.5,2025-11-02,,
2025,9,SEA,WAS,-3.0,47.5,2025-11-02,,
2025,9,ARI,DAL,2.5,54.5,2025-11-03,,
2025,10,LV,DEN,10.5,42.5,2025-11-06,,
2025,10,ATL,IND,6.5,48.5,2025-11-09,,
2025,10,NO,CAR,3.5,42.5,2025-11-09,,
2025,10,NYG,CHI,3.0,47.5,2025-11-09,,
2025,10,JAX,HOU,3.0,42.5,2025-11-09,,
2025,10,BUF,MIA,-8.5,50.5,2025-11-09,,
2025,10,BAL,MIN,-3.5,47.5,2025-11-09,,
2025,10,CLE,NYJ,1.5,38.5,2025-11-09,,
2025,10,NE,TB,2.5,48.5,2025-11-09,,
2025,10,ARI,SEA,6.5,45.5,2025-11-09,,
2025,10,LAR,SF,-3.0,48.5,2025-11-09,,
2025,10,DET,WAS,-3.0,51.5,2025-11-09,,
2025,10,PIT,LAC,4.5,46.5,2025-11-09,,
2025,10,PHI,GB,3.0,45.5,2025-11-10,,
2025,11,NYJ,NE,,,2025-11-13,,
2025,11,WAS,MIA,,,2025-11-16,,
2025,11,CAR,ATL,,,2025-11-16,,
2025,11,TB,BUF,,,2025-11-16,,
2025,11,LAC,JAX,,,2025-11-16,,
2025,11,CHI,MIN,,,2025-11-16,,
2025,11,GB,NYG,,,2025-11-16,,
2025,11,CIN,PIT,,,2025-11-16,,
2025,11,HOU,TEN,,,2025-11-16,,
2025,11,SF,ARI,,,2025-11-16,,
2025,11,SEA,LAR,,,2025-11-16,,
2025,11,BAL,CLE,,,2025-11-16,,
2025,11,KC,DEN,,,2025-11-16,,
2025,11,DET,PHI,,,2025-11-16,,
2025,11,DAL,LV,,,2025-11-17,,
2025,12,BUF,HOU,,,2025-11-20,,
2025,12,NYJ,BAL,,,2025-11-23,,
2025,12,PIT,CHI,,,2025-11-23,,
2025,12,NE,CIN,,,2025-11-23,,
2025,12,NYG,DET,,,2025-11-23,,
2025,12,MIN,GB,,,2025-11-23,,
2025,12,IND,KC,,,2025-11-23,,
2025,12,SEA,TEN,,,2025-11-23,,
2025,12,JAX,ARI,,,2025-11-23,,
2025,12,CLE,LV,,,2025-11-23,,
2025,12,PHI,DAL,,,2025-11-23,,
2025,12,ATL,NO,,,2025-11-23,,
2025,12,TB,LAR,,,2025-11-23,,
2025,12,CAR,SF,,,2025-11-24,,
2025,13,GB,DET,,,2025-11-27,,
2025,13,KC,DAL,,,2025-11-27,,
2025,13,CIN,BAL,,,2025-11-27,,
2025,13,CHI,PHI,,,2025-11-28,,
2025,13,LAR,CAR,,,2025-11-30,,
2025,13,SF,CLE,,,2025-11-30,,
2025,13,HOU,IND,,,2025-11-30,,
2025,13,NO,MIA,,,2025-11-30,,
2025,13,ATL,NYJ,,,2025-11-30,,
2025,13,ARI,TB,,,2025-11-30,,
2025,13,JAX,TEN,,,2025-11-30,,
2025,13,MIN,SEA,,,2025-11-30,,
2025,13,LV,LAC,,,2025-11-30,,
2025,13,BUF,PIT,,,2025-11-30,,
2025,13,DEN,WAS,,,2025-11-30,,
2025,13,NYG,NE,,,2025-12-01,,
2025,14,DAL,DET,,,2025-12-04,,
2025,14,SEA,ATL,,,2025-12-07,,
2025,14,PIT,BAL,,,2025-12-07,,
2025,14,TEN,CLE,,,2025-12-07,,
2025,14,CHI,GB,,,2025-12-07,,
2025,14,IND,JAX,,,2025-12-07,,
2025,14,WAS,MIN,,,2025-12-07,,
2025,14,MIA,NYJ,,,2025-12-07,,
2025,14,NO,TB,,,2025-12-07,,
2025,14,DEN,LV,,,2025-12-07,,
2025,14,LAR,ARI,,,2025-12-07,,
2025,14,CIN,BUF,,,2025-12-07,,
2025,14,HOU,KC,,,2025-12-07,,
2025,14,PHI,LAC,,,2025-12-08,,
2025,15,ATL,TB,,,2025-12-11,,
2025,15,CLE,CHI,,,2025-12-14,,
2025,15,BAL,CIN,,,2025-12-14,,
2025,15,ARI,HOU,,,2025-12-14,,
2025,15,NYJ,JAX,,,2025-12-14,,
2025,15,LAC,KC,,,2025-12-14,,
2025,15,BUF,NE,,,2025-12-14,,
2025,15,WAS,NYG,,,2025-12-14,,
2025,15,LV,PHI,,,2025-12-14,,
2025,15,GB,DEN,,,2025-12-14,,
2025,15,DET,LAR,,,2025-12-14,,
2025,15,CAR,NO,,,2025-12-14,,
2025,15,IND,SEA,,,2025-12-14,,
2025,15,TEN,SF,,,2025-12-14,,
2025,15,MIN,DAL,,,2025-12-14,,
2025,15,MIA,PIT,,,2025-12-15,,
2025,16,LAR,SEA,,,2025-12-18,,
2025,16,GB,CHI,,,2025-12-19,,
2025,16,PHI,WAS,,,2025-12-19,,
2025,16,NE,BAL,,,2025-12-21,,
2025,16,TB,CAR,,,2025-12-21,,
2025,16,BUF,CLE,,,2025-12-21,,
2025,16,LAC,DAL,,,2025-12-21,,
2025,16,NYJ,NO,,,2025-12-21,,
2025,16,MIN,NYG,,,2025-12-21,,
2025,16,KC,TEN,,,2025-12-21,,
2025,16,ATL,ARI,,,2025-12-21,,
2025,16,JAX,DEN,,,2025-12-21,,
2025,16,PIT,DET,,,2025-12-21,,
2025,16,LV,HOU,,,2025-12-21,,
2025,16,CIN,MIA,,,2025-12-21,,
2025,16,SF,IND,,,2025-12-22,,
2025,17,DAL,WAS,,,2025-12-25,,
2025,17,DET,MIN,,,2025-12-25,,
2025,17,DEN,KC,,,2025-12-25,,
2025,17,SEA,CAR,,,2025-12-28,,
2025,17,ARI,CIN,,,2025-12-28,,
2025,17,PIT,CLE,,,2025-12-28,,
2025,17,BAL,GB,,,2025-12-28,,
2025,17,JAX,IND,,,2025-12-28,,
2025,17,HOU,LAC,,,2025-12-28,,
2025,17,NYG,LV,,,2025-12-28,,
2025,17,TB,MIA,,,2025-12-28,,
2025,17,NE,NYJ,,,2025-12-28,,
2025,17,NO,TEN,,,2025-12-28,,
2025,17,PHI,BUF,,,2025-12-28,,
2025,17,CHI,SF,,,2025-12-28,,
2025,17,LAR,ATL,,,2025-12-29,,
2025,18,NO,ATL,,,2026-01-04,,
2025,18,NYJ,BUF,,,2026-01-04,,
2025,18,DET,CHI,,,2026-01-04,,
